,,,,,,,
,,,,,,,
USTORE INVENTORY REPORT,,,,,,,
,,,,,,,
,,,,,,,
MAIN STORAGE INVENTORY                                                                                                                                                                                                                      DATE: 11/09/2024,,,,,,,
NO.,PRICE,ITEM,QUANTITY,,PICTURES,TAKEN ITEMS,
1,200,Bucket Hat ,213 pcs.,,,ALL STOCKS ARE TAKEN  12/12/2024,
2,"1,750",Forward Back Pack ,24 pcs.,,,,
3,"1,460",Yellow Laptop Bag ,24 pcs.,,,,
4,"1,450",Pure Black Laptop Bag,35 pcs.,,,10 pcs. 12/11/2024,
5,"1,750",Artic Back Pack ,41 pcs.,,,5 pcs. 11/27/2024,
,750,Small Tiger ,30 pcs.,,,"6pcs. 04/02/25,  the rest of the stocks are taken 04/03/25","March 24,2025"
,850,Big Tiger,175 pcs.,,,"16pcs. 04/02/25, 11 pcs. 05/06/25, 20 pcs. THE REST OF THE STOCKS ARE TAKEN ",
,350,Thomasian Kit ,251 pcs.,,,"10 pcs. 03-25-25,  90pcs. 05/06/25",
,650,Yellow Golf Umbrella ,37 pcs.,,,ALL STOCKS ARE TAKEN ,
,650,Black Golf Umbrella,41 pcs.,,,"4 pcs.( 04 - 23 - 2025), ALL STOCKS ARE TAKEN ",
,350,Umbrella,840 pcs.,,,"1 box 04/02/25 , l box ( 04 - 23 -2025) ",
,250,Utensils ,936 pcs.,,,"72 pcs. 03/24/25, 60 pcs. ( 04 - 23 - 2025), 48pcs. (05-15-25)",
,350,One For UST tote,188 pcs.,,,"20pcs. (03-05), 20 ( 05 -09 ), 20 pcs. ( 05 - 21 - 25 )",
,350,Viva Tote Bag ,658 pcs.,,,"10 pcs. 05/06/25, 20 (5 - 09 ) , 20 pcs ( 05 - 21- 25 ), 10pcs. (05-27-25)",
,30,Bookmarks ,"3,600 pcs.",,,,
,50,Notelets,"1,025 pcs.",,,"120 pcs. 03/24/25, 400 pcs. 05/02/25, 20 pcs. 05-20-25",
,18,Clappers,"9,980 pcs.",,,,
NO.,PRICE,ITEM,SIZE,QUANTITY,PICTURES,TAKEN ITEMS,
6,800,3 Color Polo Shirt ,Small,10 pcs.,,"2XL - 9 pcs. 12/11/2024, L- 5 (005-13-25)",
,,,Medium,20 pcs.,,,
,,,Large,40 pcs,,,
,,,XL,30 pcs.,,,
,,,2XL,29 pcs.,,,
7,800, 2 Color Polo Shirt (tiger pattern color),Small,17 pcs.,,"S&2xl 10 pcs. 12/11/2024, XL-5 2XL-5 (05-13-25)",
,,,Medium,38 pcs.,,,
,,,Large,30 pcs.,,,
,,,XL,40 pcs.,,,
,,,2XL,30 pcs.,,,
8,800,2 Color Polo Shirt (white w/black scratch),Small,11 pcs. ,,"S,M,L,2XL -  5 each (05-13-25)",
,,,Medium,39 pcs.,,,
,,,Large,35 pcs.,,,
,,,XL,40 pcs.,,,
,,,2XL,30 pcs.,,,
9,800,2 Color Polo Shirt (yelow w/black scratch),Small,8 pcs.,,"medium -2xl , M- 5 (05-13-25)",
,,,Medium,49 pcs.,,all sizes for 10 pcs.,
,,,Large,49pcs.,,12/11/2024,
,,,XL,50 pcs.,,,
,,,2XL,30 pcs.,,,
10,800,2 Color Polo Shirt (white w/yellow collar),Medium,48 pcs. ,,10 pcs. - 11/16/2024,
11,800,2 Color Polo Shirt (white w/yellow sleeves),Small,6 pcs.,,L-5 (05-13-25),
,,,Medium,40 pcs.,,,
,,,Large ,46 pcs. ,,,
12,800,2 Color Polo Shirt (white w/black collar),Medium,40 pcs.,,,
,,,Large,30 pcs.,,,
13,800,2 Color Polo Shirt (white w/black sleeves),Medium,30 pcs.,,L-5(05-13-25),
,,,Large,38 pcs.,,,
,,,XL,40 pcs.,,,
14,800,2 Color Polo Shirt (white w/black top w/yellow line),Medium,40 pcs.,,Medium - 20 pcs. (03-18-25),
,,,Large,40 pcs.,,Large - 5 pcs. (05-13-25),
,,,XL,40 pcs. ,,XL - 20 pcs. (03-17-25),
15,800,2 Color Polo Shirt (yellow w/black collar),Medium,26 pcs.,,,
,,,Large,28 pcs.,,,
,,,XL,38 pcs.,,,
16,1650,Windbreaker,Large,32 pcs.,,XL - 16 pcs. and L - 17 pcs. 12/14/2024,
,,,XL,16 pcs.,,L - 15 pcs. 01/16/2025,
17,"1,900",Napoliz Hoodie (black/yellow/green inside),Medium,5 pcs.,,ALL SIZES,
,,,Large,14 pcs.,,ARE TAKEN ,
,,,XL,13 pcs. ,,12/02/2024,
18,"1,900",Napoliz Jacket (black/yellow/green inside,Medium,25 pcs.,,"M- 3pcs. , m - 5 (05-13-25)",
,,,Large ,10 pcs.,,ALL LARGE AND XL SIZES ARE TAKEN,
,,,XL,12 pcs.,,"12/02/2024, m-3 (03/05)",
