canonical_item_name,Date,quantity_sold,cumulative_monthly_units,daily_depletion_rate,selling_days_in_interval,prev_obs_date,first_obs_flag,long_gap_flag,tally_date_flag,imputation_flag,n_source_rows
0.50L B1T1 Tumbler (MCX-A501) Push Button Lid,2026-03-18,1,1,0.0667,15,,1,0,1,0,1
1.2L Tumbler (MTA-T120) for Carbonated drinks,2025-12-03,2,2,0.6667,3,,1,0,1,0,1
1.2L Tumbler (MTA-T120) for Carbonated drinks,2025-12-10,2,4,0.3333,6,2025-12-03,0,0,1,0,1
1.2L Tumbler (MTA-T120) for Carbonated drinks,2026-03-24,1,1,,88,2025-12-10,0,1,1,0,1
1.5 Tumbler (MTA-T150) for Carbonated Drinks,2025-12-11,2,2,0.2,10,,1,0,1,0,1
280ml Desk Mug,2025-11-28,1,1,0.04,25,,1,0,1,0,1
280ml Desk Mug,2025-12-10,1,1,0.0909,11,2025-11-28,0,0,1,0,1
280ml Desk Mug / MCIA028,2026-01-10,1,1,0.125,8,,1,0,1,0,1
280ml Desk Mug / MCIA028,2026-01-30,1,2,0.0556,18,2026-01-10,0,0,1,0,1
280ml Desk Mug / MCIA028,2026-03-12,2,2,,34,2026-01-30,0,1,1,0,1
3 Color Polo Shirt,2024-05-02,3,3,3.0,1,,1,0,1,1,1
3 Color Polo Shirt,2024-05-03,2,5,2.0,1,2024-05-02,0,0,1,1,1
3 Color Polo Shirt,2024-05-06,1,6,0.5,2,2024-05-03,0,0,1,1,1
3 Color Polo Shirt,2024-05-08,1,7,0.5,2,2024-05-06,0,0,1,1,1
3 Color Polo Shirt,2024-05-09,1,8,1.0,1,2024-05-08,0,0,1,1,1
3 Color Polo Shirt,2024-05-10,1,9,1.0,1,2024-05-09,0,0,1,1,1
3 Color Polo Shirt,2024-05-13,1,10,0.5,2,2024-05-10,0,0,1,1,1
3 Color Polo Shirt,2024-05-15,2,12,1.0,2,2024-05-13,0,0,1,1,1
3 Color Polo Shirt,2024-05-20,1,13,0.25,4,2024-05-15,0,0,1,1,1
3 Color Polo Shirt,2024-05-23,1,14,0.3333,3,2024-05-20,0,0,1,1,1
3 Color Polo Shirt,2024-05-24,2,16,2.0,1,2024-05-23,0,0,1,1,1
3 Color Polo Shirt,2024-05-27,3,19,1.5,2,2024-05-24,0,0,1,1,1
3 Color Polo Shirt,2024-05-31,1,20,0.25,4,2024-05-27,0,0,1,1,1
480ml Tumbler (MKA-KO48)Push Botton Lid Anti Bacterial,2025-12-03,2,2,0.6667,3,,1,0,1,0,1
480ml Tumbler (MKA-KO48)Push Botton Lid Anti Bacterial,2025-12-12,2,4,0.25,8,2025-12-03,0,0,1,0,1
500ml Tumbler (MTA-T050) for Carbonated drinks,2026-01-30,1,1,0.0385,26,,1,0,1,0,1
5M Magnetic Pin,2025-05-10,3,3,0.375,8,,1,0,1,0,1
5M Magnetic Pin,2025-05-14,5,8,1.6667,3,2025-05-10,0,0,1,0,1
5M Magnetic Pin,2025-05-15,4,12,4.0,1,2025-05-14,0,0,1,0,1
