Category,Date,No,Item,Size,Location,Classification,Price,Quantity,OPEX,Notes
MAIN STORAGE,09/11/2024,1,Bucket Hat,,,,200,213,,ALL STOCKS ARE TAKEN  12/12/2024
MAIN STORAGE,09/11/2024,2,Forward Back Pack,,,,1750,24,,
MAIN STORAGE,09/11/2024,3,Yellow Laptop Bag,,,,1460,24,,
MAIN STORAGE,09/11/2024,4,Pure Black Laptop Bag,,,,1450,35,,10 pcs. 12/11/2024
MAIN STORAGE,09/11/2024,5,Artic Back Pack,,,,1750,41,,5 pcs. 11/27/2024
MAIN STORAGE,09/11/2024,,Small Tiger,,,,750,30,,"6pcs. 04/02/25,  the rest of the stocks are taken 04/03/25"
MAIN STORAGE,09/11/2024,,Big Tiger,,,,850,175,,"16pcs. 04/02/25, 11 pcs. 05/06/25, 20 pcs. THE REST OF THE STOCKS ARE TAKEN"
MAIN STORAGE,09/11/2024,,Thomasian Kit,,,,350,251,,"10 pcs. 03-25-25,  90pcs. 05/06/25"
MAIN STORAGE,09/11/2024,,Yellow Golf Umbrella,,,,650,37,,ALL STOCKS ARE TAKEN
MAIN STORAGE,09/11/2024,,Black Golf Umbrella,,,,650,41,,"4 pcs.( 04 - 23 - 2025), ALL STOCKS ARE TAKEN"
MAIN STORAGE,09/11/2024,,Umbrella,,,,350,840,,"1 box 04/02/25 , l box ( 04 - 23 -2025)"
MAIN STORAGE,09/11/2024,,Utensils,,,,250,936,,"72 pcs. 03/24/25, 60 pcs. ( 04 - 23 - 2025), 48pcs. (05-15-25)"
MAIN STORAGE,09/11/2024,,One For UST tote,,,,350,188,,"20pcs. (03-05), 20 ( 05 -09 ), 20 pcs. ( 05 - 21 - 25 )"
MAIN STORAGE,09/11/2024,,Viva Tote Bag,,,,350,658,,"10 pcs. 05/06/25, 20 (5 - 09 ) , 20 pcs ( 05 - 21- 25 ), 10pcs. (05-27-25)"
MAIN STORAGE,09/11/2024,,Bookmarks,,,,30,3600,,
MAIN STORAGE,09/11/2024,,Notelets,,,,50,1025,,"120 pcs. 03/24/25, 400 pcs. 05/02/25, 20 pcs. 05-20-25"
MAIN STORAGE,09/11/2024,,Clappers,,,,18,9980,,
MAIN STORAGE,09/11/2024,6,3 Color Polo Shirt,Small,,,800,10,,"2XL - 9 pcs. 12/11/2024, L- 5 (005-13-25)"
MAIN STORAGE,09/11/2024,6,3 Color Polo Shirt,Medium,,,800,20,,
MAIN STORAGE,09/11/2024,6,3 Color Polo Shirt,Large,,,800,40,,
MAIN STORAGE,09/11/2024,6,3 Color Polo Shirt,XL,,,800,30,,
MAIN STORAGE,09/11/2024,6,3 Color Polo Shirt,2XL,,,800,29,,
MAIN STORAGE,09/11/2024,7,2 Color Polo Shirt (tiger pattern color),Small,,,800,17,,"S&2xl 10 pcs. 12/11/2024, XL-5 2XL-5 (05-13-25)"
MAIN STORAGE,09/11/2024,7,2 Color Polo Shirt (tiger pattern color),Medium,,,800,38,,
MAIN STORAGE,09/11/2024,7,2 Color Polo Shirt (tiger pattern color),Large,,,800,30,,
MAIN STORAGE,09/11/2024,7,2 Color Polo Shirt (tiger pattern color),XL,,,800,40,,
MAIN STORAGE,09/11/2024,7,2 Color Polo Shirt (tiger pattern color),2XL,,,800,30,,
MAIN STORAGE,09/11/2024,8,2 Color Polo Shirt (white w/black scratch),Small,,,800,11,,"S,M,L,2XL -  5 each (05-13-25)"
MAIN STORAGE,09/11/2024,8,2 Color Polo Shirt (white w/black scratch),Medium,,,800,39,,
MAIN STORAGE,09/11/2024,8,2 Color Polo Shirt (white w/black scratch),Large,,,800,35,,
MAIN STORAGE,09/11/2024,8,2 Color Polo Shirt (white w/black scratch),XL,,,800,40,,
MAIN STORAGE,09/11/2024,8,2 Color Polo Shirt (white w/black scratch),2XL,,,800,30,,
MAIN STORAGE,09/11/2024,9,2 Color Polo Shirt (yelow w/black scratch),Small,,,800,8,,"medium -2xl , M- 5 (05-13-25)"
MAIN STORAGE,09/11/2024,9,2 Color Polo Shirt (yelow w/black scratch),Medium,,,800,49,,all sizes for 10 pcs.
MAIN STORAGE,09/11/2024,9,2 Color Polo Shirt (yelow w/black scratch),Large,,,800,49,,11/12/2024 0:00
MAIN STORAGE,09/11/2024,9,2 Color Polo Shirt (yelow w/black scratch),XL,,,800,50,,
MAIN STORAGE,09/11/2024,9,2 Color Polo Shirt (yelow w/black scratch),2XL,,,800,30,,
MAIN STORAGE,09/11/2024,10,2 Color Polo Shirt (white w/yellow collar),Medium,,,800,48,,10 pcs. - 11/16/2024
MAIN STORAGE,09/11/2024,11,2 Color Polo Shirt (white w/yellow sleeves),Small,,,800,6,,L-5 (05-13-25)
MAIN STORAGE,09/11/2024,11,2 Color Polo Shirt (white w/yellow sleeves),Medium,,,800,40,,
MAIN STORAGE,09/11/2024,11,2 Color Polo Shirt (white w/yellow sleeves),Large,,,800,46,,
MAIN STORAGE,09/11/2024,12,2 Color Polo Shirt (white w/black collar),Medium,,,800,40,,
MAIN STORAGE,09/11/2024,12,2 Color Polo Shirt (white w/black collar),Large,,,800,30,,
