Date,Item,Total Quantity,Supplier
06/08/2024,UST College ID Lace,8,JUC
06/08/2024,UST OAT Hoodie Jacket,2,JUC
06/08/2024,UST OAT T-Shirt Y/B/COLLEGE,12,JUC
06/08/2024,UST T-Shirt Santo Tomas Shirt/UST T-Shirt Tiger Pattern/HAPPY,26,JUC
06/08/2024,UST T-Shirt Sporty,12,JUC
06/08/2024,Jacket,2,JYL ATHLETICA
06/08/2024,Poloshirt 123456 @860,2,JYL ATHLETICA
06/08/2024,VB Jersey without Sig @1500,2,JYL ATHLETICA
06/08/2024,Back pack,1,NAPOLIZ ENTERPRISES
06/08/2024,Hoodies Breaker,1,NAPOLIZ ENTERPRISES
06/08/2024,Laptop Bag,1,NAPOLIZ ENTERPRISES
06/08/2024,Shirts,23,NAPOLIZ ENTERPRISES
06/08/2024,Keychain,1,NEW TRENDS
06/08/2024,Long Sticker,5,NEW TRENDS
06/08/2024,Shirts,7,NEW TRENDS
06/08/2024,Eco Bag @80,1,TET AND DARS
06/08/2024,Pen @ 50,4,TET AND DARS
06/08/2024,Sticker @20,3,TET AND DARS
06/08/2024,C. Keychain,11,USTORE
06/08/2024,Eco Bag CGEEE!,4,USTORE
06/08/2024,Lanyard @180,3,USTORE
06/08/2024,Lanyard @190,7,USTORE
06/08/2024,New Tiger Plushie Big,2,USTORE
06/08/2024,New Tiger Plushie Small,1,USTORE
06/08/2024,Sash Small,2,USTORE
06/08/2024,Tote (One For UST),5,USTORE
06/08/2024,Tote Bag Canvas White,1,USTORE
06/08/2024,Umb (One For UST),1,USTORE
09/08/2024,Polo Shirt @800,1,BLAZE
09/08/2024,UST College ID Lace,2,JUC
09/08/2024,UST OAT T-Shirt Y/B/COLLEGE,3,JUC
09/08/2024,UST T-Shirt Santo Tomas Shirt/UST T-Shirt Tiger Pattern/HAPPY,5,JUC
09/08/2024,Jacket,6,JYL ATHLETICA
09/08/2024,Hoodies Breaker,2,NAPOLIZ ENTERPRISES
09/08/2024,Shirts,1,NAPOLIZ ENTERPRISES
09/08/2024,Varsity Jacket,1,NEW TRENDS
09/08/2024,C. Keychain,2,USTORE
09/08/2024,Eco Bag CGEEE!,6,USTORE
09/08/2024,Tumbler,6,USTORE
09/08/2024,Umb (One For UST),2,USTORE
13/08/2024,Polo Shirt @800,6,BLAZE
13/08/2024,IPEA Shirt,3,IPEA
13/08/2024,UST College ID Lace,19,JUC
13/08/2024,UST OAT Hoodie Jacket,5,JUC
13/08/2024,UST OAT T-Shirt Y/B/COLLEGE,36,JUC
13/08/2024,UST Sweatshirt Sporty,1,JUC
13/08/2024,UST T-Shirt Santo Tomas Shirt/UST T-Shirt Tiger Pattern/HAPPY,27,JUC
13/08/2024,UST T-Shirt Sporty,9,JUC
13/08/2024,BASE BALL SHIRT,3,JYL ATHLETICA
13/08/2024,Corp Jacket,6,JYL ATHLETICA
13/08/2024,Jacket,5,JYL ATHLETICA
13/08/2024,Poloshirt 123456 @860,5,JYL ATHLETICA
13/08/2024,VB Jersey without Sig @1500,3,JYL ATHLETICA
13/08/2024,Hoodies Breaker,8,NAPOLIZ ENTERPRISES
13/08/2024,Shirts,13,NAPOLIZ ENTERPRISES
13/08/2024,Long Sticker,3,NEW TRENDS
13/08/2024,Shirts,1,NEW TRENDS
13/08/2024,Varsity Jacket,3,NEW TRENDS
13/08/2024,Eco Bag @80,1,TET AND DARS
13/08/2024,Pen @ 50,5,TET AND DARS
13/08/2024,Pen @30,1,TET AND DARS
13/08/2024,Sticker @20,2,TET AND DARS
13/08/2024,C. Keychain,16,USTORE
13/08/2024,Lanyard @180,1,USTORE
13/08/2024,Lanyard @190,4,USTORE
13/08/2024,New Tiger Plushie Small,4,USTORE
13/08/2024,Sash Small,1,USTORE
13/08/2024,Tote (One For UST),4,USTORE
13/08/2024,Umb (One For UST),1,USTORE
13/08/2024,Utensil,1,USTORE
16/08/2024,Polo Shirt @800,4,BLAZE
16/08/2024,UST College ID Lace,16,JUC
16/08/2024,UST OAT Hoodie Jacket,1,JUC
16/08/2024,UST OAT T-Shirt Y/B/COLLEGE,28,JUC
16/08/2024,UST T-Shirt Santo Tomas Shirt/UST T-Shirt Tiger Pattern/HAPPY,23,JUC
16/08/2024,GT 375,1,JYL ATHLETICA
16/08/2024,Poloshirt 123456 @860,1,JYL ATHLETICA
16/08/2024,Poloshirt @800,2,JYL ATHLETICA
16/08/2024,Hoodies Breaker,5,NAPOLIZ ENTERPRISES
16/08/2024,Shirts,4,NAPOLIZ ENTERPRISES
16/08/2024,Caps,1,NEW TRENDS
16/08/2024,Long Sticker,4,NEW TRENDS
16/08/2024,Shirts,7,NEW TRENDS
16/08/2024,Keychain @160,9,TET AND DARS
16/08/2024,Mug @170,2,TET AND DARS
16/08/2024,C. Keychain,23,USTORE
16/08/2024,Lanyard @180,4,USTORE
16/08/2024,Lanyard @190,2,USTORE
16/08/2024,Sash Small,1,USTORE
16/08/2024,Shabby Hat,1,USTORE
16/08/2024,Tote (One For UST),4,USTORE
16/08/2024,Umb (One For UST),1,USTORE
22/08/2024,UST College ID Lace,3,JUC
22/08/2024,UST OAT T-Shirt Y/B/COLLEGE,1,JUC
22/08/2024,UST T-Shirt Santo Tomas Shirt/UST T-Shirt Tiger Pattern/HAPPY,1,JUC
22/08/2024,BASE BALL SHIRT,1,JYL ATHLETICA
22/08/2024,Jacket,1,JYL ATHLETICA
22/08/2024,Hoodies Breaker,1,NAPOLIZ ENTERPRISES
22/08/2024,Keychain @160,1,TET AND DARS
22/08/2024,C. Keychain,1,USTORE
22/08/2024,New Tiger Plushie Big,1,USTORE
22/08/2024,New Tiger Plushie Small,2,USTORE
22/08/2024,Tote (One For UST),3,USTORE
22/08/2024,Tote Bag Canvas White,1,USTORE
17/09/2024,Bomber Jacket,1,JUC
17/09/2024,UST College ID Lace,4,JUC
17/09/2024,UST OAT T-Shirt Y/B/COLLEGE,6,JUC
17/09/2024,UST T-Shirt Santo Tomas Shirt/UST T-Shirt Tiger Pattern/HAPPY,9,JUC
17/09/2024,UST T-Shirt Sporty,3,JUC
17/09/2024,Hoodies Breaker,2,NAPOLIZ ENTERPRISES
17/09/2024,Shirts,2,NAPOLIZ ENTERPRISES
17/09/2024,C. Keychain,1,USTORE
17/09/2024,Lanyard @180,10,USTORE
