Date,Item,Total Quantity,Supplier
2024-05-02,Polo Shirt,4,BLAZE
2024-05-02,Subli. Shirt,16,CENTRAL SEMINARY
2024-05-02,UST OAT Hoodie Jacket,1,JUC
2024-05-02,UST T-Shirt Sports,9,JUC
2024-05-02,UST T-Shirt Tiger Pattern,2,JUC
2024-05-02,Jacket,3,JYL
2024-05-02,Poloshirt 123456,5,JYL
2024-05-02,VB Jersey w/o sig.,3,JYL
2024-05-02,Sling Bag,94,NAPOLIZ
2024-05-02,University of Santo Tomas (B),4,NAPOLIZ
2024-05-02,White Tote Bag,181,NAPOLIZ
2024-05-02,Wind Breaker,2,NAPOLIZ
2024-05-02,Eco Bag CGEEE!,3,USTORE
2024-05-02,Keychain,2,USTORE
2024-05-02,Lanyard,3,USTORE
2024-05-02,NB,260,USTORE
2024-05-02,Shabby Hat,13,USTORE
2024-05-02,Tiger Stuff Toy Small Grad,5,USTORE
2024-05-02,Tote (One For UST),112,USTORE
2024-05-02,Tote Bag Canvas White,250,USTORE
2024-05-02,Tumbler,127,USTORE
2024-05-02,Umb (One For UST),60,USTORE
2024-05-02,Utensil,260,USTORE
2024-05-03,Polo Shirt,2,BLAZE
2024-05-03,Subli. Shirt,4,CENTRAL SEMINARY
2024-05-03,UST T-Shirt Sports,10,JUC
2024-05-03,Poloshirt 123456,1,JYL
2024-05-03,Side Tiger Hoodie,1,NAPOLIZ
2024-05-03,University of Santo Tomas (B),15,NAPOLIZ
2024-05-03,UST Tiger Front and Back Graphic (W),2,NAPOLIZ
2024-05-03,White Tote Bag,3,NAPOLIZ
2024-05-03,Wind Breaker,3,NAPOLIZ
2024-05-03,Main Building,1,TET AND DARS
2024-05-03,Mug,1,TET AND DARS
2024-05-03,Sticker,3,TET AND DARS
2024-05-03,Keychain,3,USTORE
2024-05-03,NB,1,USTORE
2024-05-03,Sash Small,1,USTORE
2024-05-03,Shabby Hat,4,USTORE
2024-05-03,Tiger Stuff Toy Small Grad,26,USTORE
2024-05-03,Tote (One For UST),2,USTORE
2024-05-03,Tote Bag Canvas White,8,USTORE
2024-05-03,Tumbler,4,USTORE
2024-05-03,Umb (One For UST),16,USTORE
2024-05-04,Subli. Shirt,2,CENTRAL SEMINARY
2024-05-04,UST Happy Tiger,6,JUC
2024-05-04,UST OAT Hoodie Jacket,2,JUC
2024-05-04,UST T-Shirt Sports,3,JUC
2024-05-04,UST T-Shirt Tiger Pattern,1,JUC
2024-05-04,Front Tiger Hoodie,1,NAPOLIZ
2024-05-04,Script Santo Tomas with Tiger Back (B),4,NAPOLIZ
2024-05-04,UST Tiger Front and Back Graphic (W),1,NAPOLIZ
2024-05-04,Wind Breaker,1,NAPOLIZ
2024-05-04,Keychain,1,USTORE
2024-05-04,Lanyard,1,USTORE
2024-05-04,Sash Big,2,USTORE
2024-05-04,Sash Small,2,USTORE
2024-05-04,Tiger Stuff Toy Small Grad,4,USTORE
2024-05-04,Tote (One For UST),1,USTORE
2024-05-04,Tote Bag Canvas White,1,USTORE
2024-05-04,Tumbler,2,USTORE
2024-05-04,Lanyard,2,VARSITY LIFE STYLE
2024-05-06,Polo Shirt,1,BLAZE
2024-05-06,Subli. Shirt,7,CENTRAL SEMINARY
2024-05-06,UST Happy Tiger,2,JUC
2024-05-06,UST OAT Hoodie Jacket,1,JUC
2024-05-06,UST OAT MUG,2,JUC
2024-05-06,UST OAT MUG (WE) Inside,1,JUC
2024-05-06,UST T-Shirt Sports,5,JUC
2024-05-06,Jacket,3,JYL
2024-05-06,Poloshirt 123456,1,JYL
2024-05-06,Front Tiger Hoodie,1,NAPOLIZ
2024-05-06,Side Tiger Hoodie,1,NAPOLIZ
2024-05-06,University of Santo Tomas (B),1,NAPOLIZ
2024-05-06,White Tote Bag,2,NAPOLIZ
2024-05-06,Wind Breaker,1,NAPOLIZ
2024-05-06,Sticker,2,TET AND DARS
2024-05-06,Keychain,2,USTORE
2024-05-06,Lanyard,10,USTORE
2024-05-06,NB,2,USTORE
2024-05-06,Shabby Hat,3,USTORE
2024-05-06,Tiger Stuff Toy Small Grad,4,USTORE
2024-05-06,Tote Bag Canvas White,3,USTORE
2024-05-07,Subli. Shirt,1,CENTRAL SEMINARY
2024-05-07,UST Happy Tiger,2,JUC
2024-05-07,UST OAT Hoodie Jacket,3,JUC
2024-05-07,UST OAT MUG,13,JUC
2024-05-07,UST OAT MUG (WE) Inside,7,JUC
2024-05-07,UST OAT T-Shirt,1,JUC
2024-05-07,UST T-Shirt Sports,4,JUC
2024-05-07,UST T-Shirt Tiger Pattern,4,JUC
2024-05-07,Jacket,2,JYL
2024-05-07,Backpack Bag,1,NAPOLIZ
2024-05-07,Script Santo Tomas with Tiger Back (B),1,NAPOLIZ
2024-05-07,University of Santo Tomas (B),1,NAPOLIZ
2024-05-07,Wind Breaker,2,NAPOLIZ
2024-05-07,Arch,12,TET AND DARS
2024-05-07,Bag,26,USTORE
2024-05-07,Keychain,6,USTORE
2024-05-07,Lanyard,3,USTORE
2024-05-07,Old Umbrella,41,USTORE
2024-05-07,Sash Small,26,USTORE
2024-05-07,Shabby Hat,1,USTORE
2024-05-07,Tiger Stuff Toy Small Grad,2,USTORE
2024-05-07,Tote (One For UST),4,USTORE
2024-05-07,Tote Bag Canvas White,1,USTORE
2024-05-07,Umb (One For UST),2,USTORE
2024-05-07,Caps,1,VARSITY LIFE STYLE
2024-05-07,Lanyard,1,VARSITY LIFE STYLE
2024-05-08,Polo Shirt,1,BLAZE
2024-05-08,Subli. Shirt,8,CENTRAL SEMINARY
2024-05-08,UST Happy Tiger,11,JUC
2024-05-08,UST OAT MUG,2,JUC
2024-05-08,UST OAT MUG (WE) Inside,1,JUC
2024-05-08,UST OAT T-Shirt,2,JUC
2024-05-08,UST T-Shirt Sports,17,JUC
2024-05-08,UST T-Shirt Tiger Pattern,14,JUC
2024-05-08,Jacket,1,JYL
2024-05-08,Script Santo Tomas with Tiger Back (B),2,NAPOLIZ
2024-05-08,Side Tiger Hoodie,1,NAPOLIZ
2024-05-08,University of Santo Tomas (B),15,NAPOLIZ
2024-05-08,UST Tiger Front and Back Graphic (W),1,NAPOLIZ
2024-05-08,Wind Breaker,6,NAPOLIZ
2024-05-08,Arch,3,TET AND DARS
2024-05-08,Eco Bag,2,TET AND DARS
2024-05-08,Sticker,2,TET AND DARS
2024-05-08,Keychain,10,USTORE
2024-05-08,Lanyard,10,USTORE
2024-05-08,Tiger Stuff Toy Small Grad,3,USTORE
2024-05-08,Tote (One For UST),1,USTORE
2024-05-08,Tote Bag Canvas White,1,USTORE
2024-05-08,Umb (One For UST),3,USTORE
2024-05-08,Baller,5,VARSITY LIFE STYLE
2024-05-08,Lanyard,3,VARSITY LIFE STYLE
2024-05-09,Polo Shirt,1,BLAZE
2024-05-09,Subli. Shirt,5,CENTRAL SEMINARY
2024-05-09,UST Happy Tiger,15,JUC
2024-05-09,UST OAT Hoodie Jacket,2,JUC
2024-05-09,UST OAT MUG,2,JUC
2024-05-09,UST OAT MUG (WE) Inside,1,JUC
2024-05-09,UST T-Shirt Sports,16,JUC
2024-05-09,UST T-Shirt Tiger Pattern,12,JUC
2024-05-09,Jacket,4,JYL
2024-05-09,Poloshirt 123456,1,JYL
2024-05-09,VB Jersey w/o sig.,2,JYL
2024-05-09,Front Tiger Hoodie,1,NAPOLIZ
2024-05-09,Script Santo Tomas with Tiger Back (B),4,NAPOLIZ
2024-05-09,University of Santo Tomas (B),6,NAPOLIZ
2024-05-09,UST Tiger Front and Back Graphic (W),7,NAPOLIZ
