Date,Item,Total Quantity,Supplier,imputation_flag,weight
02/05/2024,3 Color Polo Shirt,3,BLAZE,1,0.5
02/05/2024,White Blaze Polo Shirt,1,BLAZE,1,0.5
02/05/2024,Subli. Shirt,16,CENTRAL SEMINARY,0,1
02/05/2024,UST OAT Hoodie Jacket,1,JUC,0,1
02/05/2024,UST T-Shirt Sports,9,JUC,0,1
02/05/2024,UST T-Shirt Tiger Pattern,2,JUC,0,1
02/05/2024,Jacket,3,JYL,0,1
02/05/2024,Poloshirt 123456,5,JYL,0,1
02/05/2024,VB Jersey w/o sig.,3,JYL,0,1
02/05/2024,Sling Bag,94,NAPOLIZ,0,1
02/05/2024,University of Santo Tomas (B),4,NAPOLIZ,0,1
02/05/2024,White Tote Bag,181,NAPOLIZ,0,1
02/05/2024,Wind Breaker,2,NAPOLIZ,0,1
02/05/2024,Black Lanyard,3,USTORE,1,0.5
02/05/2024,Eco Bag CGEEE!,3,USTORE,0,1
02/05/2024,NB,260,USTORE,0,1
02/05/2024,New Keychain,2,USTORE,1,0.5
02/05/2024,Shabby Hat,13,USTORE,0,1
02/05/2024,Tiger Stuff Toy Small Grad,5,USTORE,0,1
02/05/2024,Tote (One For UST),112,USTORE,0,1
02/05/2024,Tote Bag Canvas White,250,USTORE,0,1
02/05/2024,Tumbler,127,USTORE,0,1
02/05/2024,Umb (One For UST),60,USTORE,0,1
02/05/2024,Utensil,260,USTORE,0,1
03/05/2024,3 Color Polo Shirt,2,BLAZE,1,0.5
03/05/2024,Subli. Shirt,4,CENTRAL SEMINARY,0,1
03/05/2024,UST T-Shirt Sports,10,JUC,0,1
03/05/2024,Poloshirt 123456,1,JYL,0,1
03/05/2024,Side Tiger Hoodie,1,NAPOLIZ,0,1
03/05/2024,University of Santo Tomas (B),15,NAPOLIZ,0,1
03/05/2024,UST Tiger Front and Back Graphic (W),2,NAPOLIZ,0,1
03/05/2024,White Tote Bag,3,NAPOLIZ,0,1
03/05/2024,Wind Breaker,3,NAPOLIZ,0,1
03/05/2024,Main Building,1,TET AND DARS,0,1
03/05/2024,Mug,1,TET AND DARS,0,1
03/05/2024,Sticker,3,TET AND DARS,0,1
03/05/2024,NB,1,USTORE,0,1
03/05/2024,New Keychain,3,USTORE,1,0.5
03/05/2024,Sash Small,1,USTORE,0,1
03/05/2024,Shabby Hat,4,USTORE,0,1
03/05/2024,Tiger Stuff Toy Small Grad,26,USTORE,0,1
03/05/2024,Tote (One For UST),2,USTORE,0,1
03/05/2024,Tote Bag Canvas White,8,USTORE,0,1
03/05/2024,Tumbler,4,USTORE,0,1
03/05/2024,Umb (One For UST),16,USTORE,0,1
04/05/2024,Subli. Shirt,2,CENTRAL SEMINARY,0,1
04/05/2024,Black Happy Tiger,3,JUC,1,0.5
04/05/2024,UST OAT Hoodie Jacket,2,JUC,0,1
04/05/2024,UST T-Shirt Sports,3,JUC,0,1
04/05/2024,UST T-Shirt Tiger Pattern,1,JUC,0,1
04/05/2024,Yellow Happy Tiger,3,JUC,1,0.5
04/05/2024,Front Tiger Hoodie,1,NAPOLIZ,0,1
04/05/2024,Script Santo Tomas with Tiger Back (B),4,NAPOLIZ,0,1
04/05/2024,UST Tiger Front and Back Graphic (W),1,NAPOLIZ,0,1
04/05/2024,Wind Breaker,1,NAPOLIZ,0,1
04/05/2024,Black Lanyard,1,USTORE,1,0.5
04/05/2024,New Keychain,1,USTORE,1,0.5
04/05/2024,Sash Big,2,USTORE,0,1
04/05/2024,Sash Small,2,USTORE,0,1
04/05/2024,Tiger Stuff Toy Small Grad,4,USTORE,0,1
04/05/2024,Tote (One For UST),1,USTORE,0,1
04/05/2024,Tote Bag Canvas White,1,USTORE,0,1
04/05/2024,Tumbler,2,USTORE,0,1
04/05/2024,Black Lanyard,2,VARSITY LIFE STYLE,1,0.5
06/05/2024,3 Color Polo Shirt,1,BLAZE,1,0.5
06/05/2024,Subli. Shirt,7,CENTRAL SEMINARY,0,1
06/05/2024,Black Happy Tiger,1,JUC,1,0.5
06/05/2024,UST OAT Hoodie Jacket,1,JUC,0,1
06/05/2024,UST OAT MUG (WE) Inside,1,JUC,0,1
06/05/2024,UST T-Shirt Sports,5,JUC,0,1
06/05/2024,White Oat Mug,1,JUC,1,0.5
06/05/2024,Yellow Happy Tiger,1,JUC,1,0.5
06/05/2024,Yellow Oat Mug,1,JUC,1,0.5
06/05/2024,Jacket,3,JYL,0,1
