Date,Item,Total Quantity,Supplier
02/05/2024,Crew Neck Shirt @475,0,BLAZE
02/05/2024,Polo Shirt @800,4,BLAZE
02/05/2024,Socks @375,0,BLAZE
02/05/2024,Sublimation Shirt,16,CENTRAL SEMINARY
02/05/2024,OAT Tote Bag (Phased Out),0,JUC
02/05/2024,UST College ID Lace,0,JUC
02/05/2024,UST OAT Hoodie Jacket,1,JUC
02/05/2024,UST OAT MUG (W inside),0,JUC
02/05/2024,UST OAT MUG (Y/B inside),0,JUC
02/05/2024,UST Santo Tomas Script T-Shirt,0,JUC
02/05/2024,UST T-Shirt (College Shirt),0,JUC
02/05/2024,UST T-Shirt Happy Tiger,0,JUC
02/05/2024,UST T-Shirt Sporty,9,JUC
02/05/2024,UST T-Shirt Tiger Pattern,2,JUC
02/05/2024,GT 375,0,JYL ATHLETICA
02/05/2024,Jacket @1900,3,JYL ATHLETICA
02/05/2024,Poloshirt 123456 @860,5,JYL ATHLETICA
02/05/2024,Poloshirt 3 Colors @800,0,JYL ATHLETICA
02/05/2024,VB Jersey with Sig. @1800,0,JYL ATHLETICA
02/05/2024,VB Jersey with Sig. @2800,0,JYL ATHLETICA
02/05/2024,VB Jersey without Sig @1000,0,JYL ATHLETICA
02/05/2024,VB Jersey without Sig @1500,3,JYL ATHLETICA
02/05/2024,VB Jersey without Sig @2000,0,JYL ATHLETICA
02/05/2024,Retractable @25,0,MITSUI
02/05/2024,Stylus pen @45,0,MITSUI
02/05/2024,Back pack,0,NAPOLIZ ENTERPRISES
02/05/2024,Cane Umbrella,0,NAPOLIZ ENTERPRISES
02/05/2024,Hoodies Breaker,2,NAPOLIZ ENTERPRISES
02/05/2024,Laptop Bag,0,NAPOLIZ ENTERPRISES
02/05/2024,Shirts,4,NAPOLIZ ENTERPRISES
02/05/2024,Sling Bag,94,NAPOLIZ ENTERPRISES
02/05/2024,Tote Bag Black,0,NAPOLIZ ENTERPRISES
02/05/2024,Tote Bag White,181,NAPOLIZ ENTERPRISES
02/05/2024,Arch @320,0,TET AND DARS
02/05/2024,Eco Bag @ 130,0,TET AND DARS
02/05/2024,Eco Bag @80,0,TET AND DARS
02/05/2024,Keychain @160,0,TET AND DARS
02/05/2024,Main Building,0,TET AND DARS
02/05/2024,Mug @170,0,TET AND DARS
02/05/2024,Notebook @220,0,TET AND DARS
