Date,Item,Total Quantity,Supplier,canonical_item_name
2024-05-02,Crew Neck Shirt @475,0,BLAZE,Crew Neck Shirt @475
2024-05-02,Polo Shirt @800,4,BLAZE,Polo Shirt @800
2024-05-02,Socks @375,0,BLAZE,Socks @375
2024-05-02,Sublimation Shirt,16,CENTRAL SEMINARY,Subli. Shirt
2024-05-02,OAT Tote Bag (Phased Out),0,JUC,OAT Tote Bag (Phased Out)
2024-05-02,UST College ID Lace,0,JUC,UST College ID Lace
2024-05-02,UST OAT Hoodie Jacket,1,JUC,UST OAT Hoodie Jacket
2024-05-02,UST OAT MUG (W inside),0,JUC,UST OAT MUG (W inside)
2024-05-02,UST OAT MUG (Y/B inside),0,JUC,UST OAT MUG (Y/B inside)
2024-05-02,UST Santo Tomas Script T-Shirt,0,JUC,UST Santo Tomas Script T-Shirt
2024-05-02,UST T-Shirt (College Shirt),0,JUC,UST T-Shirt (College Shirt)
2024-05-02,UST T-Shirt Happy Tiger,0,JUC,UST T-Shirt Happy Tiger
2024-05-02,UST T-Shirt Sporty,9,JUC,UST T-Shirt Sporty
2024-05-02,UST T-Shirt Tiger Pattern,2,JUC,UST T-Shirt Tiger Pattern
2024-05-02,GT 375,0,JYL ATHLETICA,GT 375
2024-05-02,Jacket @1900,3,JYL ATHLETICA,Jacket
2024-05-02,Poloshirt 123456 @860,5,JYL ATHLETICA,Poloshirt 123456 @860
2024-05-02,Poloshirt 3 Colors @800,0,JYL ATHLETICA,Poloshirt 3 Colors
2024-05-02,VB Jersey with Sig. @1800,0,JYL ATHLETICA,VB Jersey with Sig. @1800
2024-05-02,VB Jersey with Sig. @2800,0,JYL ATHLETICA,VB Jersey with Sig. @2800
2024-05-02,VB Jersey without Sig @1000,0,JYL ATHLETICA,VB Jersey without Sig @1000
2024-05-02,VB Jersey without Sig @1500,3,JYL ATHLETICA,VB Jersey without Sig @1500
2024-05-02,VB Jersey without Sig @2000,0,JYL ATHLETICA,VB Jersey without Sig @2000
2024-05-02,Retractable @25,0,MITSUI,Retractable @25
2024-05-02,Stylus pen @45,0,MITSUI,Stylus pen @45
2024-05-02,Back pack,0,NAPOLIZ ENTERPRISES,Back pack
2024-05-02,Cane Umbrella,0,NAPOLIZ ENTERPRISES,Cane Umbrella
2024-05-02,Hoodies Breaker,2,NAPOLIZ ENTERPRISES,Hoodies Breaker
2024-05-02,Laptop Bag,0,NAPOLIZ ENTERPRISES,Laptop Bag
2024-05-02,Shirts,4,NAPOLIZ ENTERPRISES,Shirts
2024-05-02,Sling Bag,94,NAPOLIZ ENTERPRISES,Sling Bag
2024-05-02,Tote Bag Black,0,NAPOLIZ ENTERPRISES,Tote Bag Black
2024-05-02,Tote Bag White,181,NAPOLIZ ENTERPRISES,White Tote Bag
2024-05-02,Arch @320,0,TET AND DARS,Arch @320
2024-05-02,Eco Bag @ 130,0,TET AND DARS,Eco Bag @ 130
2024-05-02,Eco Bag @80,0,TET AND DARS,Eco Bag @80
2024-05-02,Keychain @160,0,TET AND DARS,Keychain @160
2024-05-02,Main Building,0,TET AND DARS,Main Building
