Date,GroupLabel,GroupQty,Constituent,StockWeight,WeightBasis,Allocated,Supplier
25/03/2026,800ml Sports Tumbler (MCZ-2080) screw lid anti bacterial,1,800ml Sports Tumbler (MCZ-S040) screw lid antibacterial,5,exact_month,0,TIGER FLASK
25/03/2026,800ml Sports Tumbler (MCZ-2080) screw lid anti bacterial,1,800ml Sports Tumbler (MCZ-S080) screw lid antibacterial,6,exact_month,1,TIGER FLASK
06/08/2024,Back pack,1,Forward Back Pack,39,nearest_month(+3mo),0,NAPOLIZ ENTERPRISES
06/08/2024,Back pack,1,Artic Back Pack,41,nearest_month(+3mo),1,NAPOLIZ ENTERPRISES
13/11/2024,Back pack,2,Forward Back Pack,39,exact_month,1,NAPOLIZ
13/11/2024,Back pack,2,Artic Back Pack,41,exact_month,1,NAPOLIZ
14/11/2024,Back pack,1,Forward Back Pack,39,exact_month,0,NAPOLIZ
14/11/2024,Back pack,1,Artic Back Pack,41,exact_month,1,NAPOLIZ
15/12/2024,Back pack,2,Forward Back Pack,16,exact_month,1,NAPOLIZ ENTERPRISES
15/12/2024,Back pack,2,Artic Back Pack,6,exact_month,1,NAPOLIZ ENTERPRISES
19/12/2024,Back pack,1,Forward Back Pack,16,exact_month,1,NAPOLIZ ENTERPRISES
19/12/2024,Back pack,1,Artic Back Pack,6,exact_month,0,NAPOLIZ ENTERPRISES
12/01/2025,Back pack,2,Forward Back Pack,5,exact_month,1,NAPOLIZ ENTERPRISES
12/01/2025,Back pack,2,Artic Back Pack,4,exact_month,1,NAPOLIZ ENTERPRISES
14/02/2025,Back pack,1,Forward Back Pack,13,exact_month,1,NAPOLIZ ENTERPRISES
14/02/2025,Back pack,1,Artic Back Pack,3,exact_month,0,NAPOLIZ ENTERPRISES
13/06/2025,Back pack,1,Forward Back Pack,16,exact_month,1,NAPOLIZ ENTERPRISES
13/06/2025,Back pack,1,Artic Back Pack,2,exact_month,0,NAPOLIZ ENTERPRISES
18/06/2025,Back pack,1,Forward Back Pack,16,exact_month,1,NAPOLIZ ENTERPRISES
18/06/2025,Back pack,1,Artic Back Pack,2,exact_month,0,NAPOLIZ ENTERPRISES
11/09/2025,Back pack,1,Forward Back Pack,14,exact_month,1,NAPOLIZ ENTERPRISES
11/09/2025,Back pack,1,Artic Back Pack,2,exact_month,0,NAPOLIZ ENTERPRISES
01/10/2025,Back pack,1,Forward Back Pack,13,exact_month,1,NAPOLIZ ENTERPRISES
01/10/2025,Back pack,1,Artic Back Pack,5,exact_month,0,NAPOLIZ ENTERPRISES
03/10/2025,Back pack,1,Forward Back Pack,13,exact_month,1,NAPOLIZ ENTERPRISES
03/10/2025,Back pack,1,Artic Back Pack,5,exact_month,0,NAPOLIZ ENTERPRISES
07/11/2025,"Baseball Shirt (Y,W)",2,Yellow Baseball Shirt,76,nearest_month(-12mo),1,JYL ATHLETICA (CONSIGNMENT)
07/11/2025,"Baseball Shirt (Y,W)",2,Gold Baseball Shirt,2,exact_month,0,JYL ATHLETICA (CONSIGNMENT)
07/11/2025,"Baseball Shirt (Y,W)",2,White Baseball Shirt,30,exact_month,1,JYL ATHLETICA (CONSIGNMENT)
12/11/2025,"Baseball Shirt (Y,W)",1,Yellow Baseball Shirt,76,nearest_month(-12mo),1,JYL ATHLETICA (CONSIGNMENT)
12/11/2025,"Baseball Shirt (Y,W)",1,Gold Baseball Shirt,2,exact_month,0,JYL ATHLETICA (CONSIGNMENT)
12/11/2025,"Baseball Shirt (Y,W)",1,White Baseball Shirt,30,exact_month,0,JYL ATHLETICA (CONSIGNMENT)
14/11/2025,"Baseball Shirt (Y,W)",1,Yellow Baseball Shirt,76,nearest_month(-12mo),1,JYL ATHLETICA (CONSIGNMENT)
14/11/2025,"Baseball Shirt (Y,W)",1,Gold Baseball Shirt,2,exact_month,0,JYL ATHLETICA (CONSIGNMENT)
14/11/2025,"Baseball Shirt (Y,W)",1,White Baseball Shirt,30,exact_month,0,JYL ATHLETICA (CONSIGNMENT)
22/11/2025,"Baseball Shirt (Y,W)",1,Yellow Baseball Shirt,76,nearest_month(-12mo),1,JYL ATHLETICA (CONSIGNMENT)
22/11/2025,"Baseball Shirt (Y,W)",1,Gold Baseball Shirt,2,exact_month,0,JYL ATHLETICA (CONSIGNMENT)
22/11/2025,"Baseball Shirt (Y,W)",1,White Baseball Shirt,30,exact_month,0,JYL ATHLETICA (CONSIGNMENT)
30/11/2025,"Baseball Shirt (Y,W)",2,Yellow Baseball Shirt,76,nearest_month(-12mo),1,JYL ATHLETICA (CONSIGNMENT)
30/11/2025,"Baseball Shirt (Y,W)",2,Gold Baseball Shirt,2,exact_month,0,JYL ATHLETICA (CONSIGNMENT)
30/11/2025,"Baseball Shirt (Y,W)",2,White Baseball Shirt,30,exact_month,1,JYL ATHLETICA (CONSIGNMENT)
10/12/2025,"Baseball Shirt (Y,W)",1,Yellow Baseball Shirt,76,nearest_month(-13mo),1,JYL ATHLETICA (CONSIGNMENT)
10/12/2025,"Baseball Shirt (Y,W)",1,Gold Baseball Shirt,35,exact_month,0,JYL ATHLETICA (CONSIGNMENT)
10/12/2025,"Baseball Shirt (Y,W)",1,White Baseball Shirt,35,exact_month,0,JYL ATHLETICA (CONSIGNMENT)
11/12/2025,"Baseball Shirt (Y,W)",1,Yellow Baseball Shirt,76,nearest_month(-13mo),1,JYL ATHLETICA (CONSIGNMENT)
11/12/2025,"Baseball Shirt (Y,W)",1,Gold Baseball Shirt,35,exact_month,0,JYL ATHLETICA (CONSIGNMENT)
11/12/2025,"Baseball Shirt (Y,W)",1,White Baseball Shirt,35,exact_month,0,JYL ATHLETICA (CONSIGNMENT)
12/12/2025,"Baseball Shirt (Y,W)",1,Yellow Baseball Shirt,76,nearest_month(-13mo),1,JYL ATHLETICA (CONSIGNMENT)
12/12/2025,"Baseball Shirt (Y,W)",1,Gold Baseball Shirt,35,exact_month,0,JYL ATHLETICA (CONSIGNMENT)
12/12/2025,"Baseball Shirt (Y,W)",1,White Baseball Shirt,35,exact_month,0,JYL ATHLETICA (CONSIGNMENT)
15/12/2025,"Baseball Shirt (Y,W)",3,Yellow Baseball Shirt,76,nearest_month(-13mo),1,JYL ATHLETICA (CONSIGNMENT)
15/12/2025,"Baseball Shirt (Y,W)",3,Gold Baseball Shirt,35,exact_month,1,JYL ATHLETICA (CONSIGNMENT)
15/12/2025,"Baseball Shirt (Y,W)",3,White Baseball Shirt,35,exact_month,1,JYL ATHLETICA (CONSIGNMENT)
16/12/2025,"Baseball Shirt (Y,W)",3,Yellow Baseball Shirt,76,nearest_month(-13mo),1,JYL ATHLETICA (CONSIGNMENT)
16/12/2025,"Baseball Shirt (Y,W)",3,Gold Baseball Shirt,35,exact_month,1,JYL ATHLETICA (CONSIGNMENT)
16/12/2025,"Baseball Shirt (Y,W)",3,White Baseball Shirt,35,exact_month,1,JYL ATHLETICA (CONSIGNMENT)
17/12/2025,"Baseball Shirt (Y,W)",2,Yellow Baseball Shirt,76,nearest_month(-13mo),1,JYL ATHLETICA (CONSIGNMENT)
17/12/2025,"Baseball Shirt (Y,W)",2,Gold Baseball Shirt,35,exact_month,1,JYL ATHLETICA (CONSIGNMENT)
17/12/2025,"Baseball Shirt (Y,W)",2,White Baseball Shirt,35,exact_month,0,JYL ATHLETICA (CONSIGNMENT)
18/12/2025,"Baseball Shirt (Y,W)",3,Yellow Baseball Shirt,76,nearest_month(-13mo),1,JYL ATHLETICA (CONSIGNMENT)
18/12/2025,"Baseball Shirt (Y,W)",3,Gold Baseball Shirt,35,exact_month,1,JYL ATHLETICA (CONSIGNMENT)
18/12/2025,"Baseball Shirt (Y,W)",3,White Baseball Shirt,35,exact_month,1,JYL ATHLETICA (CONSIGNMENT)
08/01/2026,"Baseball Shirt (Y,W)",1,Yellow Baseball Shirt,76,nearest_month(-14mo),1,JYL ATHLETICA (CONSIGNMENT)
08/01/2026,"Baseball Shirt (Y,W)",1,Gold Baseball Shirt,25,exact_month,0,JYL ATHLETICA (CONSIGNMENT)
08/01/2026,"Baseball Shirt (Y,W)",1,White Baseball Shirt,32,exact_month,0,JYL ATHLETICA (CONSIGNMENT)
14/01/2026,"Baseball Shirt (Y,W)",1,Yellow Baseball Shirt,76,nearest_month(-14mo),1,JYL ATHLETICA (CONSIGNMENT)
14/01/2026,"Baseball Shirt (Y,W)",1,Gold Baseball Shirt,25,exact_month,0,JYL ATHLETICA (CONSIGNMENT)
14/01/2026,"Baseball Shirt (Y,W)",1,White Baseball Shirt,32,exact_month,0,JYL ATHLETICA (CONSIGNMENT)
16/01/2026,"Baseball Shirt (Y,W)",1,Yellow Baseball Shirt,76,nearest_month(-14mo),1,JYL ATHLETICA (CONSIGNMENT)
16/01/2026,"Baseball Shirt (Y,W)",1,Gold Baseball Shirt,25,exact_month,0,JYL ATHLETICA (CONSIGNMENT)
16/01/2026,"Baseball Shirt (Y,W)",1,White Baseball Shirt,32,exact_month,0,JYL ATHLETICA (CONSIGNMENT)
20/01/2026,"Baseball Shirt (Y,W)",1,Yellow Baseball Shirt,76,nearest_month(-14mo),1,JYL ATHLETICA (CONSIGNMENT)
20/01/2026,"Baseball Shirt (Y,W)",1,Gold Baseball Shirt,25,exact_month,0,JYL ATHLETICA (CONSIGNMENT)
20/01/2026,"Baseball Shirt (Y,W)",1,White Baseball Shirt,32,exact_month,0,JYL ATHLETICA (CONSIGNMENT)
22/01/2026,"Baseball Shirt (Y,W)",1,Yellow Baseball Shirt,76,nearest_month(-14mo),1,JYL ATHLETICA (CONSIGNMENT)
22/01/2026,"Baseball Shirt (Y,W)",1,Gold Baseball Shirt,25,exact_month,0,JYL ATHLETICA (CONSIGNMENT)
22/01/2026,"Baseball Shirt (Y,W)",1,White Baseball Shirt,32,exact_month,0,JYL ATHLETICA (CONSIGNMENT)
27/01/2026,"Baseball Shirt (Y,W)",1,Yellow Baseball Shirt,76,nearest_month(-14mo),1,JYL ATHLETICA (CONSIGNMENT)
27/01/2026,"Baseball Shirt (Y,W)",1,Gold Baseball Shirt,25,exact_month,0,JYL ATHLETICA (CONSIGNMENT)
27/01/2026,"Baseball Shirt (Y,W)",1,White Baseball Shirt,32,exact_month,0,JYL ATHLETICA (CONSIGNMENT)
30/01/2026,"Baseball Shirt (Y,W)",2,Yellow Baseball Shirt,76,nearest_month(-14mo),1,JYL ATHLETICA (CONSIGNMENT)
30/01/2026,"Baseball Shirt (Y,W)",2,Gold Baseball Shirt,25,exact_month,0,JYL ATHLETICA (CONSIGNMENT)
30/01/2026,"Baseball Shirt (Y,W)",2,White Baseball Shirt,32,exact_month,1,JYL ATHLETICA (CONSIGNMENT)
09/02/2026,"Baseball Shirt (Y,W)",1,Yellow Baseball Shirt,76,nearest_month(-15mo),1,JYL ATHLETICA (CONSIGNMENT)
09/02/2026,"Baseball Shirt (Y,W)",1,Gold Baseball Shirt,22,exact_month,0,JYL ATHLETICA (CONSIGNMENT)
09/02/2026,"Baseball Shirt (Y,W)",1,White Baseball Shirt,26,exact_month,0,JYL ATHLETICA (CONSIGNMENT)
13/02/2026,"Baseball Shirt (Y,W)",1,Yellow Baseball Shirt,76,nearest_month(-15mo),1,JYL ATHLETICA (CONSIGNMENT)
