inventory_variant,category,latest_qty,generic_sales_name,sales_row_count,shared_words,match_score,CONFIRM_belongs (yes/no)
800ml Sports Tumbler (MCZ-S040) screw lid antibacterial,NON-APPAREL,5.0,800ml Sports Tumbler (MCZ-2080) screw lid anti bacterial,1.0,800ml lid mcz screw sports tumbler,0.545,
800ml Sports Tumbler (MCZ-S080) screw lid antibacterial,NON-APPAREL,2.0,800ml Sports Tumbler (MCZ-2080) screw lid anti bacterial,1.0,800ml lid mcz screw sports tumbler,0.545,
Forward Back Pack,NON-APPAREL,11.0,Back pack,17.0,back pack,0.667,
Artic Back Pack,NON-APPAREL,5.0,Back pack,17.0,back pack,0.667,
Yellow Baseball Shirt,MAIN STORAGE,20.0,"Baseball Shirt (Y,W)",48.0,baseball shirt,0.5,
Gold Baseball Shirt,APPAREL,,"Baseball Shirt (Y,W)",48.0,baseball shirt,0.5,
White Baseball Shirt,APPAREL,,"Baseball Shirt (Y,W)",48.0,baseball shirt,0.5,
Black Embro Oversized Shirt,APPAREL,,Black Embro,102.0,black embro,0.5,
Black Hoodie Embro,APPAREL,,Black Embro,102.0,black embro,0.667,
Tripple Embro Black Shirt,APPAREL,,Black Embro,102.0,black embro,0.5,
Corp Jacket v.2,APPAREL,0.0,Corp Jacket,139.0,corp jacket,0.5,
Corp Jacket v.3,APPAREL,,Corp Jacket,139.0,corp jacket,0.5,
JUC Corp Jacket,APPAREL,,Corp Jacket,139.0,corp jacket,0.667,
Corp Black Windbreaker,APPAREL,,Corp Windbreaker,65.0,corp windbreaker,0.667,
Windbreaker,APPAREL,,Corp Windbreaker,65.0,windbreaker,0.5,
Black Double Canopy Umbrella,NON-APPAREL,,Double Canopy,44.0,canopy double,0.5,
Yellow Double Canopy Umbrella,NON-APPAREL,,Double Canopy,44.0,canopy double,0.5,
New Keychain,NON-APPAREL,50.0,Keychain,109.0,keychain,0.5,
College Keychain,NON-APPAREL,,Keychain,109.0,keychain,0.5,
Varsity Lanyard,NON-APPAREL,13.0,Lanyard,137.0,lanyard,0.5,
Black Lanyard,NON-APPAREL,,Lanyard,137.0,lanyard,0.5,
Generic Lanyard,NON-APPAREL,,Lanyard,137.0,lanyard,0.5,
Pure Black Laptop Bag,MAIN STORAGE,35.0,Laptop Bag,19.0,bag laptop,0.5,
Yellow Laptop Bag,MAIN STORAGE,24.0,Laptop Bag,19.0,bag laptop,0.667,
Black Laptop Bag,NON-APPAREL,6.0,Laptop Bag,19.0,bag laptop,0.667,
Yelow Laptop Bag,NON-APPAREL,3.0,Laptop Bag,19.0,bag laptop,0.667,
College Long Sticker,NON-APPAREL,,Long Sticker,64.0,long sticker,0.667,
UST Long Sticker,NON-APPAREL,,Long Sticker,64.0,long sticker,0.667,
Varsity Long Sticker,NON-APPAREL,,Long Sticker,64.0,long sticker,0.667,
3 Color Polo Shirt,APPAREL,,Polo Shirt,13.0,polo shirt,0.5,
Black Blaze Polo Shirt,APPAREL,,Polo Shirt,13.0,polo shirt,0.5,
White Blaze Polo Shirt,APPAREL,,Polo Shirt,13.0,polo shirt,0.5,
Quiana Black Subli Shirt,APPAREL,,QUIANA SUBLI SHIRT (B&Y),180.0,quiana shirt subli,0.5,
Quiana Yelloow Subli Shirt,APPAREL,,QUIANA SUBLI SHIRT (B&Y),180.0,quiana shirt subli,0.5,
New UST Keychain,NON-APPAREL,0.0,UST 3D Keychain,37.0,keychain ust,0.5,
UST Keychain,NON-APPAREL,,UST 3D Keychain,37.0,keychain ust,0.667,
Varsity UST Keychain,NON-APPAREL,,UST 3D Keychain,37.0,keychain ust,0.5,
Black Happy Tiger,APPAREL,,UST Happy Tiger,18.0,happy tiger,0.5,
Yellow Happy Tiger,APPAREL,,UST Happy Tiger,18.0,happy tiger,0.5,
White Oat Mug,NON-APPAREL,0.0,UST OAT MUG,9.0,mug oat,0.5,
Yellow Oat Mug,NON-APPAREL,,UST OAT MUG,9.0,mug oat,0.5,
Black Wearable Blanket,NON-APPAREL,,Wearable Blanket,47.0,blanket wearable,0.667,
Yellow Wearable Blanket,NON-APPAREL,,Wearable Blanket,47.0,blanket wearable,0.667,
Yellow/Black Lanyard,NON-APPAREL,0.0,Yellow Lanyard,93.0,lanyard yellow,0.667,
Yellow Id Lanyard,NON-APPAREL,,Yellow Lanyard,93.0,lanyard yellow,0.667,
