start_date,end_date,flag,semester_id,event_name
2023-01-09,2023-01-09,is_store_closed,AY2223-T2,Traslacion of the Black Nazarene
2023-01-10,2023-01-16,is_enrollment_period,AY2223-T2,Start of Registration to Start of 2nd Term
2023-01-28,2023-01-28,is_event_day,AY2223-T2,Feast of St. Thomas Aquinas
2023-02-25,2023-02-25,is_store_closed,AY2223-T2,EDSA Revolution Day
2023-03-17,2023-03-19,is_exam_week,AY2223-T2,Preliminary Examinations begin (interrupted by Academic Break)
2023-03-20,2023-03-21,is_sem_break,AY2223-T2,Academic Break
2023-04-02,2023-04-10,is_sem_break,AY2223-T2,Easter Break
2023-04-09,2023-04-09,is_store_closed,AY2223-T2,Araw ng Kagitingan
2023-05-01,2023-05-01,is_store_closed,AY2223-T2,Labor Day
2023-05-12,2023-05-18,is_exam_week,AY2223-T2,Final Examinations for Graduating Students begin
2023-05-26,2023-05-26,is_event_day,AY2223-T2,Student Awards Day
2023-05-27,2023-06-02,is_exam_week,AY2223-T2,Final Examinations begin
2023-05-30,2023-05-30,is_event_day,AY2223-T2,Baccalaureate Mass
2023-06-01,2023-06-01,is_event_day,AY2223-T2,Solemn Investitures
2023-06-03,2023-06-12,is_sem_break,AY2223-T2,Inter-term Break (before Special Term)
2023-06-12,2023-06-12,is_store_closed,AY2223-ST,Independence Day
2023-06-13,2023-06-14,is_enrollment_period,AY2223-ST,Special Term Registration
2023-06-15,2023-06-15,is_event_day,AY2223-ST,Special Term Classes Begin
2023-06-30,2023-07-05,is_exam_week,AY2223-ST,Special Term Preliminary Examinations
2023-07-20,2023-07-24,is_exam_week,AY2223-ST,Special Term Final Examinations
2023-07-25,2023-07-31,is_sem_break,AY2223-ST,Post-Special-Term Break
2023-08-01,2023-08-04,is_event_day,AY2324-T1,Freshmen Orientation Activities / Thomasian Welcome Walk / Mass of the Holy Spirit
2023-08-08,2023-08-08,is_store_closed,AY2324-T1,Feast of St. Dominic de Guzman
2023-08-09,2023-08-09,is_event_day,AY2324-T1,Start of Regular Classes
2023-08-21,2023-08-21,is_store_closed,AY2324-T1,Ninoy Aquino Day
2023-08-28,2023-08-28,is_store_closed,AY2324-T1,National Heroes Day
2023-10-09,2023-10-14,is_exam_week,AY2324-T1,Preliminary Examinations begin
2023-10-30,2023-11-06,is_sem_break,AY2324-T1,Undas Break
2023-11-27,2023-11-27,is_store_closed,AY2324-T1,Bonifacio Day (observed)
2023-12-08,2023-12-08,is_store_closed,AY2324-T1,Feast of the Immaculate Conception
2023-12-16,2023-12-22,is_exam_week,AY2324-T1,Final Examinations begin
2023-12-21,2023-12-21,is_event_day,AY2324-T1,Paskuhan Festivities
2023-12-23,2024-01-09,is_sem_break,AY2324-T1,Christmas / Semestral Break
2024-01-09,2024-01-09,is_store_closed,AY2324-T2,Traslacion of the Black Nazarene
2024-01-10,2024-01-15,is_enrollment_period,AY2324-T2,Start of Registration to Start of Second Term
2024-01-28,2024-01-28,is_event_day,AY2324-T2,Feast of St. Thomas Aquinas
2024-02-25,2024-02-25,is_store_closed,AY2324-T2,EDSA Revolution Day
2024-03-13,2024-03-18,is_exam_week,AY2324-T2,Preliminary Examinations begin
2024-03-25,2024-04-01,is_sem_break,AY2324-T2,Easter Break
2024-04-09,2024-04-09,is_store_closed,AY2324-T2,Araw ng Kagitingan
2024-05-01,2024-05-01,is_store_closed,AY2324-T2,Labor Day
2024-05-10,2024-05-16,is_exam_week,AY2324-T2,Final Examinations for Graduating Students begin
2024-05-21,2024-05-27,is_exam_week,AY2324-T2,Final Examinations begin
2024-05-24,2024-05-24,is_event_day,AY2324-T2,Student Awards Day
2024-05-31,2024-05-31,is_event_day,AY2324-T2,Baccalaureate Mass
2024-06-01,2024-06-01,is_event_day,AY2324-T2,Solemn Investitures
2024-06-02,2024-06-05,is_sem_break,AY2324-T2,Inter-term Break (before Special Term)
2024-06-06,2024-06-07,is_enrollment_period,AY2324-ST,Special Term Registration
2024-06-10,2024-06-10,is_event_day,AY2324-ST,Special Term Classes Begin
2024-06-12,2024-06-12,is_store_closed,AY2324-ST,Independence Day
2024-06-27,2024-07-02,is_exam_week,AY2324-ST,Special Term Preliminary Examinations
2024-07-17,2024-07-21,is_exam_week,AY2324-ST,Special Term Final Examinations
2024-07-22,2024-07-31,is_sem_break,AY2324-ST,Post-Special-Term Break
2024-08-01,2024-08-05,is_event_day,AY2425-T1,UST Cloud Campus Orientation / Freshmen Orientation / Misa y Discurso de Apertura / Virtual & In-Person RoArientation
2024-08-07,2024-08-07,is_event_day,AY2425-T1,Institutional Mass in Honor of St. Dominic
2024-08-08,2024-08-08,is_store_closed,AY2425-T1,Feast of St. Dominic (School Holiday)
2024-08-09,2024-08-09,is_event_day,AY2425-T1,Start of Regular Classes
2024-08-21,2024-08-21,is_store_closed,AY2425-T1,Ninoy Aquino Day
2024-08-26,2024-08-26,is_store_closed,AY2425-T1,National Heroes Day
2024-10-09,2024-10-14,is_exam_week,AY2425-T1,Preliminary Examinations begin
2024-10-28,2024-11-03,is_sem_break,AY2425-T1,Undas Break
2024-11-30,2024-11-30,is_store_closed,AY2425-T1,Bonifacio Day
2024-12-08,2024-12-08,is_store_closed,AY2425-T1,Feast of the Immaculate Conception
2024-12-16,2024-12-22,is_exam_week,AY2425-T1,Final Examinations begin
2024-12-20,2024-12-20,is_event_day,AY2425-T1,Paskuhan Festivities
2024-12-23,2025-01-09,is_sem_break,AY2425-T1,Christmas / Semestral Break
2025-01-09,2025-01-09,is_store_closed,AY2425-T2,Traslacion of the Black Nazarene
2025-01-10,2025-01-13,is_enrollment_period,AY2425-T2,Start of Registration to Start of 2nd Term
2025-01-28,2025-01-28,is_event_day,AY2425-T2,Feast of St. Thomas Aquinas
2025-02-25,2025-02-25,is_store_closed,AY2425-T2,EDSA Revolution Day
2025-03-13,2025-03-18,is_exam_week,AY2425-T2,Preliminary Examinations begin
2025-04-09,2025-04-09,is_store_closed,AY2425-T2,Araw ng Kagitingan
2025-04-14,2025-04-21,is_sem_break,AY2425-T2,Easter Break
2025-05-01,2025-05-01,is_store_closed,AY2425-T2,Labor Day
2025-05-09,2025-05-15,is_exam_week,AY2425-T2,Final Examinations for Graduating Students begin
2025-05-23,2025-05-23,is_event_day,AY2425-T2,Student Awards Day (date uncertain - verify)
2025-05-23,2025-05-29,is_exam_week,AY2425-T2,Final Examinations begin
2025-05-30,2025-05-30,is_event_day,AY2425-T2,Baccalaureate Mass
2025-06-02,2025-06-02,is_event_day,AY2425-T2,Solemn Investitures
2025-06-03,2025-06-05,is_sem_break,AY2425-T2,Inter-term Break (before Special Term)
2025-06-06,2025-06-09,is_enrollment_period,AY2425-ST,Special Term Registration
2025-06-10,2025-06-10,is_event_day,AY2425-ST,Special Term Classes Begin
2025-06-12,2025-06-12,is_store_closed,AY2425-ST,Independence Day
2025-06-24,2025-06-24,is_store_closed,AY2425-ST,Manila Day
2025-06-30,2025-07-05,is_exam_week,AY2425-ST,Special Term Preliminary Examinations
2025-07-17,2025-07-17,is_event_day,AY2425-ST,Integration Day
2025-07-18,2025-07-22,is_exam_week,AY2425-ST,Special Term Final Examinations
2025-07-23,2025-07-31,is_sem_break,AY2425-ST,Post-Special-Term Break
2025-08-01,2025-08-06,is_event_day,AY2526-T1,UST Cloud Campus Orientation / Freshman Orientation / Virtual & In-Person RoArientation / Misa y Discurso de Apertura
2025-08-07,2025-08-07,is_event_day,AY2526-T1,Institutional Mass (St. Dominic) / Start of Regular Classes (1st Term)
2025-08-08,2025-08-08,is_store_closed,AY2526-T1,Feast of St. Dominic (School Holiday)
2025-08-21,2025-08-21,is_store_closed,AY2526-T1,Ninoy Aquino Day
2025-08-25,2025-08-25,is_store_closed,AY2526-T1,National Heroes Day
2025-10-08,2025-10-13,is_exam_week,AY2526-T1,Preliminary Examinations begin
2025-10-30,2025-11-04,is_sem_break,AY2526-T1,Undas Break
2025-11-30,2025-11-30,is_store_closed,AY2526-T1,Bonifacio Day
2025-12-08,2025-12-08,is_store_closed,AY2526-T1,Feast of the Immaculate Conception
2025-12-12,2025-12-18,is_exam_week,AY2526-T1,Final Examinations begin
2025-12-19,2025-12-19,is_event_day,AY2526-T1,Paskuhan Festivities
2025-12-20,2026-01-11,is_sem_break,AY2526-T1,Christmas / Semestral Break
2026-01-09,2026-01-09,is_store_closed,AY2526-T2,Traslacion of the Black Nazarene
2026-01-12,2026-01-16,is_enrollment_period,AY2526-T2,Start of Registration to Start of Regular Classes (2nd Term)
2026-01-28,2026-01-28,is_event_day,AY2526-T2,Feast of St. Thomas Aquinas
2026-02-17,2026-02-17,is_store_closed,AY2526-T2,Lunar New Year
2026-02-25,2026-02-25,is_store_closed,AY2526-T2,EDSA Revolution Anniversary
2026-03-04,2026-03-06,is_event_day,AY2526-T2,University-Wide Retreat
2026-03-18,2026-03-23,is_exam_week,AY2526-T2,Preliminary Examinations begin
2026-03-30,2026-04-05,is_sem_break,AY2526-T2,Easter Break
2026-04-09,2026-04-09,is_store_closed,AY2526-T2,Araw ng Kagitingan
2026-05-01,2026-05-01,is_store_closed,AY2526-T2,Labor Day
2026-05-09,2026-05-15,is_exam_week,AY2526-T2,Final Examinations for Graduating Students begin
2026-05-22,2026-05-22,is_event_day,AY2526-T2,Student Awards Day
2026-05-26,2026-06-01,is_exam_week,AY2526-T2,Final Examinations begin
2026-05-29,2026-05-29,is_event_day,AY2526-T2,Baccalaureate Mass
2026-06-01,2026-06-01,is_event_day,AY2526-T2,Solemn Investitures
2026-06-02,2026-06-05,is_sem_break,AY2526-T2,Inter-term Break (before Special Term)
2026-06-06,2026-06-09,is_enrollment_period,AY2526-ST,Special Term Registration
2026-06-10,2026-06-10,is_event_day,AY2526-ST,Special Term Classes Begin
2026-06-12,2026-06-12,is_store_closed,AY2526-ST,Independence Day
2026-06-24,2026-06-24,is_store_closed,AY2526-ST,Manila Day
2026-07-01,2026-07-06,is_exam_week,AY2526-ST,Special Term Preliminary Examinations
2026-07-20,2026-07-24,is_exam_week,AY2526-ST,Special Term Final Examinations
2026-07-25,2026-07-31,is_sem_break,AY2526-ST,Post-Special-Term Break
2026-08-01,2026-08-06,is_event_day,AY2627-T1,UST Cloud Campus Orientation / Freshman Orientation Activities / Virtual & In-Person ROARientation / Misa y Discurso de Apertura
2026-08-07,2026-08-07,is_event_day,AY2627-T1,Institutional Mass in Honor of St. Dominic / Start of Regular Classes (1st Term)
2026-08-08,2026-08-08,is_store_closed,AY2627-T1,Feast of St. Dominic (School Holiday)
2026-08-21,2026-08-21,is_store_closed,AY2627-T1,Ninoy Aquino Day
2026-08-31,2026-08-31,is_store_closed,AY2627-T1,National Heroes Day
2026-10-09,2026-10-14,is_exam_week,AY2627-T1,Preliminary Examinations begin
2026-10-29,2026-11-03,is_sem_break,AY2627-T1,Undas Break
2026-11-30,2026-11-30,is_store_closed,AY2627-T1,Bonifacio Day
