Category,Date,No,Item,Size,Location,Classification,Price,Quantity,OPEX,Notes,canonical_item_name
MAIN STORAGE,2024-11-09,1.0,Bucket Hat,,,,200.0,213.0,,ALL STOCKS ARE TAKEN  12/12/2024,Bucket Hat
MAIN STORAGE,2024-11-09,2.0,Forward Back Pack,,,,1750.0,24.0,,,Forward Back Pack
MAIN STORAGE,2024-11-09,3.0,Yellow Laptop Bag,,,,1460.0,24.0,,,Yellow Laptop Bag
MAIN STORAGE,2024-11-09,4.0,Pure Black Laptop Bag,,,,1450.0,35.0,,10 pcs. 12/11/2024,Pure Black Laptop Bag
MAIN STORAGE,2024-11-09,5.0,Artic Back Pack,,,,1750.0,41.0,,5 pcs. 11/27/2024,Artic Back Pack
MAIN STORAGE,2024-11-09,,Small Tiger,,,,750.0,30.0,,"6pcs. 04/02/25,  the rest of the stocks are taken 04/03/25",Small Tiger
MAIN STORAGE,2024-11-09,,Big Tiger,,,,850.0,175.0,,"16pcs. 04/02/25, 11 pcs. 05/06/25, 20 pcs. THE REST OF THE STOCKS ARE TAKEN",Big Tiger
MAIN STORAGE,2024-11-09,,Thomasian Kit,,,,350.0,251.0,,"10 pcs. 03-25-25,  90pcs. 05/06/25",Thomasian Kit
MAIN STORAGE,2024-11-09,,Yellow Golf Umbrella,,,,650.0,37.0,,ALL STOCKS ARE TAKEN,Yellow Golf Umbrella
MAIN STORAGE,2024-11-09,,Black Golf Umbrella,,,,650.0,41.0,,"4 pcs.( 04 - 23 - 2025), ALL STOCKS ARE TAKEN",Black Golf Umbrella
MAIN STORAGE,2024-11-09,,Umbrella,,,,350.0,840.0,,"1 box 04/02/25 , l box ( 04 - 23 -2025)",Umbrella
MAIN STORAGE,2024-11-09,,Utensils,,,,250.0,936.0,,"72 pcs. 03/24/25, 60 pcs. ( 04 - 23 - 2025), 48pcs. (05-15-25)",Utensil
MAIN STORAGE,2024-11-09,,One For UST tote,,,,350.0,188.0,,"20pcs. (03-05), 20 ( 05 -09 ), 20 pcs. ( 05 - 21 - 25 )",Tote (One For UST)
MAIN STORAGE,2024-11-09,,Viva Tote Bag,,,,350.0,658.0,,"10 pcs. 05/06/25, 20 (5 - 09 ) , 20 pcs ( 05 - 21- 25 ), 10pcs. (05-27-25)",Viva Tote Bag
MAIN STORAGE,2024-11-09,,Bookmarks,,,,30.0,3600.0,,,Bookmarks
MAIN STORAGE,2024-11-09,,Notelets,,,,50.0,1025.0,,"120 pcs. 03/24/25, 400 pcs. 05/02/25, 20 pcs. 05-20-25",Notelet
