level,density_pct,method,n_series,mae,mase_median,mase_global,rmsse_median,mape
1. per SKU,7.250006868572161,naive,266,34.24404761904762,2.532640513401724,3.917761315289774,2.0342043516906294,326.2321955554234
1. per SKU,7.250006868572161,rolling_mean_30,266,13.473057644110277,1.9529586853530843,1.5413261491458683,1.4641442470750259,203.366671665634
1. per SKU,7.250006868572161,tsb,266,14.233115202633961,1.8142386509134953,1.6282852932477425,1.3770875439786985,196.46610274432746
1. per SKU,7.250006868572161,weekly_hurdle_12w,266,14.203835481561043,1.9894298913121142,1.6249353634227068,1.3515126077910546,174.99330345592347
2. per category+speed (4),50.27405602923265,naive,4,2000.1874999999998,6.745152671431001,6.459968361516141,8.128236865845267,231.66966301192969
2. per category+speed (4),50.27405602923265,rolling_mean_30,4,533.0833333333333,1.709242507144359,1.7216893253181995,1.6433497815883658,89.62496659395832
2. per category+speed (4),50.27405602923265,tsb,4,653.5789711892635,2.1349264004405475,2.1108518454569447,2.131220954548005,95.41210823750217
2. per category+speed (4),50.27405602923265,weekly_hurdle_12w,4,565.9717261904761,1.8430954078336335,1.8279083559432068,1.5983350395663094,81.22878427253136
3. per category (2),50.48721071863581,naive,2,4000.375,6.884553395990956,7.01368744640871,8.25596545161765,223.51420304688708
3. per category (2),50.48721071863581,rolling_mean_30,2,1027.333333333333,1.7551985916463029,1.80117986520694,1.688628906025658,83.46116177191355
3. per category (2),50.48721071863581,tsb,2,1306.0677439532728,2.214891001993613,2.2898730593817866,2.155950464045116,90.81983733229633
3. per category (2),50.48721071863581,weekly_hurdle_12w,2,1093.4970238095239,1.877728356882008,1.9171818513459724,1.5652355134359601,76.9644561774763
4. whole store (1),50.669914738124234,naive,1,8000.75,7.492288807468939,7.492288807468939,8.95631517878669,225.9674825980068
4. whole store (1),50.669914738124234,rolling_mean_30,1,2035.5,1.9061405327754304,1.9061405327754304,1.8166950565780855,85.79536347046115
4. whole store (1),50.669914738124234,tsb,1,2569.941456415647,2.406617330844405,2.406617330844405,2.3755171237322954,92.65846875274848
4. whole store (1),50.669914738124234,weekly_hurdle_12w,1,2178.7916666666665,2.04032577170556,2.04032577170556,1.634030660179938,77.70755414822142
