metric_id,product_id,item_name,tier,validation_method,period_scope,n_obs,mae,rmse,mape,naive_mae,naive_rmse,naive_mape,beats_naive_mae,meets_mape_threshold,snapshot_date,mase,naive_mase
1,29,5M Rotating Keychain,standard,walk_forward_30d_aggregate,overall,12,109.83333333333331,159.47674856647072,2239.511423006236,335.5,657.0157278685699,9948.37780050951,1,0.0,2026-07-31,2.291400691218544,6.999377225224476
2,29,5M Rotating Keychain,standard,walk_forward_30d_aggregate,standard_period,11,102.8181818181818,156.73515588695815,2456.8077610363966,315.1818181818182,665.2104930020272,10923.322342126297,1,0.0,2026-07-31,2.0941228810421864,6.419384640648331
3,29,5M Rotating Keychain,standard,walk_forward_30d_aggregate,semestral_break,1,186.99999999999994,186.99999999999994,66.54804270462631,559.0,559.0,198.932384341637,1,,2026-07-31,5.325949367088605,15.920886075949365
4,39,Arch @350,standard,walk_forward_30d_aggregate,overall,12,22.83333333333333,40.31335593406565,468.72783473547554,39.75,63.776301763795196,399.12891986062715,1,0.0,2026-07-31,6.852729548071919,11.929751804490166
5,39,Arch @350,standard,walk_forward_30d_aggregate,standard_period,11,24.909090909090903,42.10592702825922,468.72783473547554,43.36363636363637,66.61217469938823,399.12891986062715,1,0.0,2026-07-31,7.475704961533002,13.014274695807456
6,39,Arch @350,standard,walk_forward_30d_aggregate,semestral_break,1,0.0,0.0,,0.0,0.0,,0,,2026-07-31,,
7,48,Automatic Umbrella,standard,walk_forward_30d_aggregate,overall,12,27.083333333333332,43.344549830399664,201.43168253416695,106.91666666666667,215.05212546419222,495.7946815089672,1,0.0,2026-07-31,3.7831210000598126,14.934597671005353
8,48,Automatic Umbrella,standard,walk_forward_30d_aggregate,standard_period,11,29.545454545454547,45.27190579758548,201.43168253416695,116.63636363636364,224.6146194545833,495.7946815089672,1,0.0,2026-07-31,4.127041090974341,16.292288368369476
9,48,Automatic Umbrella,standard,walk_forward_30d_aggregate,semestral_break,1,0.0,0.0,,0.0,0.0,,0,,2026-07-31,,
10,54,Ballpen 2 Designs @50 (B&Y),standard,walk_forward_30d_aggregate,overall,12,66.16666666666667,135.45417429275972,31.35921150679496,78.16666666666667,164.7953276036672,89.00353277395354,1,0.0,2026-07-31,2.1079055917316003,2.490195774614913
11,54,Ballpen 2 Designs @50 (B&Y),standard,walk_forward_30d_aggregate,standard_period,11,64.45454545454545,139.13662350366275,34.18722193066351,80.18181818181819,171.29294418414534,107.9525291749891,1,0.0,2026-07-31,2.0202020830111636,2.513142788738852
