sku,method,fold,origin,n_train,horizon,actual_30d,pred_30d,abs_error,naive_scale
2,weekly_hurdle_12w,0,461,461,30,0.0,0.0,0.0,0.0
2,weekly_hurdle_12w,1,491,491,30,0.0,0.0,0.0,0.0
2,weekly_hurdle_12w,2,521,521,30,0.0,0.0,0.0,0.0
2,weekly_hurdle_12w,3,551,551,30,0.0,0.0,0.0,0.0
2,weekly_hurdle_12w,4,581,581,30,0.0,0.0,0.0,0.0
2,weekly_hurdle_12w,5,611,611,30,0.0,0.0,0.0,0.0
2,weekly_hurdle_12w,6,641,641,30,0.0,0.0,0.0,0.0
2,weekly_hurdle_12w,7,671,671,30,1.0,0.0,1.0,0.0
2,weekly_hurdle_12w,8,701,701,30,0.0,0.3571428571428572,0.3571428571428572,0.045454545454545456
2,weekly_hurdle_12w,9,731,731,30,0.0,0.3571428571428572,0.3571428571428572,0.08695652173913043
2,weekly_hurdle_12w,10,761,761,30,0.0,0.3571428571428572,0.3571428571428572,0.08333333333333333
2,weekly_hurdle_12w,11,791,791,30,0.0,0.0,0.0,0.08
5,weekly_hurdle_12w,0,461,461,30,0.0,0.0,0.0,0.0
5,weekly_hurdle_12w,1,491,491,30,0.0,0.0,0.0,0.0
5,weekly_hurdle_12w,2,521,521,30,0.0,0.0,0.0,0.0
5,weekly_hurdle_12w,3,551,551,30,2.0,0.0,2.0,0.0
5,weekly_hurdle_12w,4,581,581,30,2.0,0.7142857142857144,1.2857142857142856,0.1111111111111111
5,weekly_hurdle_12w,5,611,611,30,0.0,1.4285714285714288,1.4285714285714288,0.10526315789473684
5,weekly_hurdle_12w,6,641,641,30,0.0,1.4285714285714288,1.4285714285714288,0.2
5,weekly_hurdle_12w,7,671,671,30,1.0,0.7142857142857144,0.2857142857142856,0.19047619047619047
5,weekly_hurdle_12w,8,701,701,30,0.0,0.3571428571428572,0.3571428571428572,0.22727272727272727
5,weekly_hurdle_12w,9,731,731,30,0.0,0.3571428571428572,0.3571428571428572,0.2608695652173913
5,weekly_hurdle_12w,10,761,761,30,0.0,0.3571428571428572,0.3571428571428572,0.25
5,weekly_hurdle_12w,11,791,791,30,0.0,0.0,0.0,0.24
6,weekly_hurdle_12w,0,461,461,30,0.0,0.0,0.0,0.0
6,weekly_hurdle_12w,1,491,491,30,0.0,0.0,0.0,0.0
6,weekly_hurdle_12w,2,521,521,30,0.0,0.0,0.0,0.0
6,weekly_hurdle_12w,3,551,551,30,0.0,0.0,0.0,0.0
6,weekly_hurdle_12w,4,581,581,30,2.0,0.0,2.0,0.0
6,weekly_hurdle_12w,5,611,611,30,0.0,0.7142857142857144,0.7142857142857144,0.10526315789473684
6,weekly_hurdle_12w,6,641,641,30,0.0,0.7142857142857144,0.7142857142857144,0.2
6,weekly_hurdle_12w,7,671,671,30,0.0,0.7142857142857144,0.7142857142857144,0.19047619047619047
6,weekly_hurdle_12w,8,701,701,30,0.0,0.0,0.0,0.18181818181818182
6,weekly_hurdle_12w,9,731,731,30,0.0,0.0,0.0,0.17391304347826086
6,weekly_hurdle_12w,10,761,761,30,0.0,0.0,0.0,0.16666666666666666
6,weekly_hurdle_12w,11,791,791,30,0.0,0.0,0.0,0.16
23,weekly_hurdle_12w,0,461,461,30,0.0,0.0,0.0,0.0
23,weekly_hurdle_12w,1,491,491,30,0.0,0.0,0.0,0.0
23,weekly_hurdle_12w,2,521,521,30,0.0,0.0,0.0,0.0
23,weekly_hurdle_12w,3,551,551,30,1.0,0.0,1.0,0.0
23,weekly_hurdle_12w,4,581,581,30,1.0,0.3571428571428572,0.6428571428571428,0.05555555555555555
23,weekly_hurdle_12w,5,611,611,30,0.0,0.7142857142857144,0.7142857142857144,0.05263157894736842
23,weekly_hurdle_12w,6,641,641,30,0.0,0.7142857142857144,0.7142857142857144,0.1
23,weekly_hurdle_12w,7,671,671,30,0.0,0.3571428571428572,0.3571428571428572,0.09523809523809523
23,weekly_hurdle_12w,8,701,701,30,0.0,0.0,0.0,0.09090909090909091
23,weekly_hurdle_12w,9,731,731,30,0.0,0.0,0.0,0.08695652173913043
23,weekly_hurdle_12w,10,761,761,30,0.0,0.0,0.0,0.08333333333333333
23,weekly_hurdle_12w,11,791,791,30,0.0,0.0,0.0,0.08
24,weekly_hurdle_12w,0,461,461,30,0.0,0.0,0.0,0.0
24,weekly_hurdle_12w,1,491,491,30,0.0,0.0,0.0,0.0
24,weekly_hurdle_12w,2,521,521,30,0.0,0.0,0.0,0.0
