product_id,item_name,legacy_category,fsn_class,forecast_category
1,(white/black/yellow line design),Uncategorised,N,Uncategorised
2,0.50L B1T1 Tumbler (MCX-A501) Push Button Lid,Drinkware,S,Drinkware
3,0.50L B1T1 Tumbler (MCY-A050) screw lid,Drinkware,S,Drinkware
4,0.8L B1T1 Tumbler 2 way lid,Drinkware,S,Drinkware
5,1.2L Tumbler (MTA-T120) for Carbonated drinks,Drinkware,S,Drinkware
6,1.5 Tumbler (MTA-T150) for Carbonated Drinks,Drinkware,S,Drinkware
7,1.5L Tumbler (MTA-T150) for Carbonated drinks,Drinkware,N,Drinkware
8,1.75 Glitter Button Pin (typographic),Keychains & Charms,N,Keychains & Charms
9,1.75 Glossy Button Pin (typographic),Keychains & Charms,N,Keychains & Charms
10,1.75 Matte Button Pin (typographic),Keychains & Charms,N,Keychains & Charms
11,2 Color Polo Shirt (tiger pattern color),Shirts & Tops,N,Shirts & Tops
12,2 Color Polo Shirt (white w/black collar),Shirts & Tops,N,Shirts & Tops
13,2 Color Polo Shirt (white w/black scratch),Shirts & Tops,N,Shirts & Tops
14,2 Color Polo Shirt (white w/black sleeves),Shirts & Tops,N,Shirts & Tops
15,2 Color Polo Shirt (white w/black top w/yellow line),Shirts & Tops,N,Shirts & Tops
16,2 Color Polo Shirt (white w/yellow collar),Shirts & Tops,N,Shirts & Tops
17,2 Color Polo Shirt (white w/yellow sleeves),Shirts & Tops,N,Shirts & Tops
18,2 Color Polo Shirt (yellow w/black collar),Shirts & Tops,N,Shirts & Tops
19,2 Color Polo Shirt (yelow w/black scratch),Shirts & Tops,N,Shirts & Tops
20,2.25 Glitter Button Pin (main building),Keychains & Charms,N,Keychains & Charms
21,2.25 Glossy Button Pin (main building),Keychains & Charms,N,Keychains & Charms
22,2.25 Matte Button Pin (main building),Keychains & Charms,N,Keychains & Charms
23,280ml Desk Mug,Drinkware,S,Drinkware
24,280ml Desk Mug / MCIA028,Drinkware,S,Drinkware
25,3 Color Polo Shirt,Shirts & Tops,N,Shirts & Tops
26,480ml Tumbler (MKA-KO48)Push Botton Lid Anti Bacterial,Drinkware,S,Drinkware
27,500ml Tumbler (MTA-T050) for Carbonated drinks,Drinkware,S,Drinkware
28,5M Magnetic Pin,Keychains & Charms,S,Keychains & Charms
29,5M Rotating Keychain,Keychains & Charms,F,Keychains & Charms
30,800ml Sports Tumbler (MCZ-2080) screw lid anti bacterial,Drinkware,N,Drinkware
31,800ml Sports Tumbler (MCZ-S040) screw lid antibacterial,Drinkware,S,Drinkware
32,800ml Sports Tumbler (MCZ-S080) screw lid antibacterial,Drinkware,S,Drinkware
33,800ml Tumbler (MTA-T080) for Carbonated drinks,Drinkware,S,Drinkware
