forecast_category,origin,actual_30d,n_trading_days,n_train_obs,tier,cap,naive_scale,pred_30d,fallback,capped,regressors,error,pred_raw_30d
Bags,2025-07-13,121.0,23,143,full,3429.0,331.0,541.0795388224046,0,0,"is_enrollment_period,is_exam_week,is_event_day,is_sem_break",,541.0795388224046
Bags,2025-08-12,169.0,23,156,full,3429.0,266.25,97.2907248564552,0,0,"is_enrollment_period,is_exam_week,is_event_day,is_sem_break",,97.2907248564552
Bags,2025-09-11,312.0,27,173,full,3429.0,276.75,456.97604770753793,0,0,"is_enrollment_period,is_exam_week,is_event_day,is_sem_break",,456.97604770753793
Bags,2025-10-11,168.0,17,192,full,3429.0,253.8,213.89091160951884,0,0,"is_enrollment_period,is_exam_week,is_event_day,is_sem_break",,213.89091160951884
Bags,2025-11-10,427.0,22,205,full,3429.0,257.0,284.0478760328886,0,0,"is_enrollment_period,is_exam_week,is_event_day,is_sem_break",,284.0478760328886
Bags,2025-12-10,220.0,9,222,full,3429.0,237.5,436.05999318549794,0,0,"is_enrollment_period,is_exam_week,is_event_day,is_sem_break",,436.05999318549794
Bags,2026-01-09,656.0,21,231,full,3429.0,239.66666666666666,1263.0274278064962,0,0,"is_enrollment_period,is_exam_week,is_event_day,is_sem_break",,1263.0274278064962
Bags,2026-02-08,106.0,18,251,full,3432.0,258.0,100.196658075661,0,0,"is_enrollment_period,is_exam_week,is_event_day,is_sem_break",,100.196658075661
Bags,2026-03-10,197.0,20,268,full,3432.0,330.7142857142857,340.44254750454417,0,0,"is_enrollment_period,is_exam_week,is_event_day,is_sem_break",,340.44254750454417
Bags,2026-04-09,280.0,21,284,full,3432.0,280.5,156.9391822528499,0,0,"is_enrollment_period,is_exam_week,is_event_day,is_sem_break",,156.9391822528499
Bags,2026-05-09,421.0,19,300,full,3432.0,346.6666666666667,194.5315982770849,0,0,"is_enrollment_period,is_exam_week,is_event_day,is_sem_break",,194.5315982770849
Bags,2026-06-08,465.0,22,316,full,3432.0,297.8888888888889,289.2541508206395,0,0,"is_enrollment_period,is_exam_week,is_event_day,is_sem_break",,289.2541508206395
Drinkware,2025-08-07,39.0,21,67,reduced,921.0,112.0,154.31542358451705,0,0,"is_enrollment_period,is_exam_week,is_event_day,is_sem_break",,154.31542358451705
Drinkware,2025-09-06,177.0,26,79,reduced,921.0,143.0,145.41028198770204,0,0,"is_enrollment_period,is_exam_week,is_event_day,is_sem_break",,145.41028198770204
Drinkware,2025-10-06,136.0,19,95,reduced,921.0,34.5,141.89944916194966,0,0,"is_enrollment_period,is_exam_week,is_event_day,is_sem_break",,141.89944916194966
Drinkware,2025-11-05,150.0,23,108,reduced,948.0,144.5,178.76455164628757,0,0,"is_enrollment_period,is_exam_week,is_event_day,is_sem_break",,178.76455164628757
Drinkware,2025-12-05,139.0,9,125,full,969.0,44.333333333333336,0.0,0,0,"is_enrollment_period,is_exam_week,is_event_day,is_sem_break",,0.0
Drinkware,2026-01-04,77.0,19,134,full,969.0,89.33333333333333,969.0,0,1,"is_enrollment_period,is_exam_week,is_event_day,is_sem_break",,992.0865219198231
Drinkware,2026-02-03,69.0,19,146,full,1002.0,24.0,299.15969994470777,0,0,"is_enrollment_period,is_exam_week,is_event_day,is_sem_break",,299.15969994470777
Drinkware,2026-03-05,94.0,20,161,full,1002.0,72.0,274.4009663793793,0,0,"is_enrollment_period,is_exam_week,is_event_day,is_sem_break",,274.4009663793793
Drinkware,2026-04-04,171.0,20,172,full,1002.0,68.5,367.81677987753716,0,0,"is_enrollment_period,is_exam_week,is_event_day,is_sem_break",,367.81677987753716
Drinkware,2026-05-04,138.0,19,185,full,1002.0,48.6,284.85152524056474,0,0,"is_enrollment_period,is_exam_week,is_event_day,is_sem_break",,284.85152524056474
Drinkware,2026-06-03,138.0,22,201,full,1020.0,112.8,249.52812880002259,0,0,"is_enrollment_period,is_exam_week,is_event_day,is_sem_break",,249.52812880002259
Keychains & Charms,2025-07-13,156.0,23,168,full,1374.0,179.0,125.9318907903587,0,0,"is_enrollment_period,is_exam_week,is_event_day,is_sem_break",,125.9318907903587
Keychains & Charms,2025-08-12,142.0,23,181,full,1374.0,147.0,181.86661410273737,0,0,"is_enrollment_period,is_exam_week,is_event_day,is_sem_break",,181.86661410273737
