forecast_category,tier,n_folds,mape_pct,mae,mase,rmse,mean_actual_30d,n_mape_undefined,n_fallback,n_capped
Outerwear,n/a,12,37.013142431885875,86.55185185185184,0.8996275295709196,98.07496597306204,279.5833333333333,0,0,0
Uncategorised,n/a,12,42.21180508406461,40.13137063316319,0.8244390603430541,54.38666493142768,126.33333333333333,0,0,0
Shirts & Tops,n/a,12,46.25855040236135,432.12175925925925,0.8978389550010489,532.2867741603088,1127.25,0,0,0
Stationery,n/a,12,46.30799410347488,302.154711328976,0.6422096909067675,369.63858565722893,841.0,0,0,0
Lanyards & IDs,n/a,12,57.56398604444567,377.0342592592593,1.0697819739007053,440.90555083043176,825.0,0,0,0
Drinkware,n/a,12,59.05867308466083,74.83122369816198,0.6722062221977899,90.92903137922784,186.25,0,0,0
Bags,n/a,12,62.86775939439181,160.1681530214425,0.5378551298355804,181.91390043229183,330.0,0,0,0
Keychains & Charms,n/a,12,64.14255236267485,242.62970328282827,0.9154625788006164,327.1842090074426,440.1666666666667,0,0,0
Umbrellas & Gear,n/a,12,102.53065279276541,93.7366269447203,0.630310310080943,105.92540128411812,138.91666666666666,0,0,0
Plush & Souvenirs,n/a,12,125.51880324550464,157.64457084068195,0.421637010790867,198.65535335322554,182.25,0,0,0
Apparel Accessories,n/a,10,693.4008062365315,54.42376423054716,0.7665318905710867,62.728535135601426,46.8,0,0,0
Home & Novelty,n/a,10,888.4643031575549,103.48145760278771,1.412716144747955,113.70530703975115,37.5,0,0,0
