category,sub_group,n_folds,mape_pct,mae,n_items_last_fold,n_fallback
Home & Novelty,Fast,10,3872.107307639645,144.84119003325964,1,9
Home & Novelty,Slow,10,1002.9998587800536,83.3365146386088,3,4
Lanyards & IDs,Fast,12,92.02650522807888,429.0075991050259,3,0
Lanyards & IDs,NonMoving,9,100.0,15.777777777777779,1,9
Lanyards & IDs,Slow,12,43.44918141129927,97.62523542598228,9,0
Shirts & Tops,Fast,12,70.61707645386743,570.5168607202205,9,0
Shirts & Tops,NonMoving,12,100.0,21.25,1,12
Shirts & Tops,Slow,12,50.35666690008506,114.55001530512273,32,0
Uncategorised,Fast,12,237.28080255253067,40.784336736525084,5,3
Uncategorised,NonMoving,7,100.0,36.857142857142854,2,7
Uncategorised,Slow,12,117.11703224508494,44.86479715425176,18,1
