method,wmape_pooled_pct_category,zero_targets_category,wmape_pooled_pct_sku,zero_targets_sku,n_folds,wmape_change_pct
RM6_6month_180d,49.3009538386874,0,84.72927355593164,361.0,696.0,-41.8135530146582
rolling_mean_30,54.527467194295646,0,74.82472399065195,361.0,696.0,-27.1264038326317
weekly_hurdle_12w,54.915055825029135,0,80.3084550767684,361.0,696.0,-31.619832840097875
RM3_3month_90d,55.21375817420466,0,80.4998164414717,361.0,696.0,-31.41132413097059
sba,55.59006385184008,0,138.26316498958144,361.0,696.0,-59.794017549049336
extra_trees,56.363478466293905,0,93.232067402953,361.0,696.0,-39.544965550652734
random_forest,56.75557878342491,0,92.6576496403694,361.0,696.0,-38.747012250246584
prophet_plain,56.792962123268616,0,97.51223261119308,361.0,696.0,-41.758115261582525
rolling_mean_60,57.51124633677412,0,80.148816719048,361.0,696.0,-28.244422449338398
croston,57.80298159405094,0,143.38737851749224,361.0,696.0,-59.68753861623923
gradient_boosting,58.01835366654691,0,95.46315959870385,361.0,696.0,-39.22435218943387
ets,58.35755472055462,0,102.47067898220554,361.0,696.0,-43.049509088654865
prophet_cal,59.410627428933154,0,99.79498145687641,361.0,696.0,-40.46731953689898
xgboost,59.93397373564178,0,97.65764348895432,361.0,696.0,-38.62848662488904
lightgbm,60.7670307923615,0,96.54235902729317,361.0,696.0,-37.05661286442954
ridge,61.62588755927289,0,157.79521500913845,361.0,696.0,-60.945655065837116
ewma_a0.1,63.213288555360265,0,80.64407644604997,361.0,696.0,-21.614467743766294
tsb,64.23743846924646,0,79.22091227635806,361.0,696.0,-18.913533531200112
rolling_q75_30,64.69583558882273,0,84.63480806941199,361.0,696.0,-23.55883227647495
rolling_mean_14,67.31535874947669,0,85.21272962404399,361.0,696.0,-21.003165787001503
rolling_median_30,68.10520224740074,0,84.41453783544202,361.0,696.0,-19.3205293853942
seasonal_naive_7,72.85386295335337,0,91.2294839766836,361.0,696.0,-20.142195507788536
ewma_a0.3,91.8002719915685,0,104.32267987339131,361.0,696.0,-12.003533552838492
naive,183.51221697496874,0,194.80215972278185,361.0,696.0,-5.795594239755634
