cluster,origin,n_items,actual_30d,pred_30d,tier,fallback
cluster0,2025-07-13,31,2690.0,2214.7336449260492,full,0
cluster1,2025-07-13,141,221.0,62.667350502353045,reduced,0
cluster2,2025-07-13,60,1121.0,374.0671480451576,full,0
cluster3,2025-07-13,1,0.0,3588.0,none,1
cluster0,2025-08-12,36,4100.0,6684.237093144293,full,0
cluster1,2025-08-12,130,138.0,45.771979400467465,reduced,0
cluster2,2025-08-12,66,1284.0,1434.4157363880345,full,0
cluster3,2025-08-12,1,0.0,3588.0,none,1
cluster0,2025-09-11,34,3928.0,7968.783075438718,full,0
cluster1,2025-09-11,126,667.0,64.80502383356927,reduced,0
cluster2,2025-09-11,72,1353.0,1952.445281662047,full,0
cluster3,2025-09-11,1,0.0,4212.0,none,1
cluster0,2025-10-11,35,2039.0,3913.966309812102,full,0
cluster1,2025-10-11,118,212.0,93.62352757514807,full,0
cluster2,2025-10-11,79,1319.0,1733.4785489864098,full,0
cluster3,2025-10-11,1,0.0,2652.0,none,1
cluster0,2025-11-10,33,3013.0,4349.98643566324,full,0
cluster1,2025-11-10,125,1317.0,197.33426240382184,full,0
cluster2,2025-11-10,74,2242.0,1788.551918574346,full,0
cluster3,2025-11-10,1,0.0,3432.0,none,1
cluster0,2025-12-10,35,1573.0,1928.9165039049951,full,0
cluster1,2025-12-10,116,204.0,89.56501529999323,full,0
cluster2,2025-12-10,81,936.0,1357.1553334061093,full,0
cluster3,2025-12-10,1,0.0,1404.0,none,1
cluster0,2026-01-09,35,3145.0,5337.121899558893,full,0
cluster1,2026-01-09,115,1320.0,262.5232093931212,full,0
cluster2,2026-01-09,82,2576.0,1848.930492658288,full,0
cluster3,2026-01-09,1,0.0,3276.0,none,1
cluster0,2026-02-08,37,1267.0,2265.9441913934593,full,0
cluster1,2026-02-08,105,244.0,167.41992999217263,full,0
cluster2,2026-02-08,90,1235.0,1722.0316229376126,full,0
cluster3,2026-02-08,1,0.0,2808.0,none,1
cluster0,2026-03-10,35,864.0,2877.12755734884,full,0
cluster1,2026-03-10,104,445.0,237.84921563182965,full,0
cluster2,2026-03-10,93,1279.0,3326.818353325844,full,0
cluster3,2026-03-10,1,0.0,3120.0,none,1
cluster0,2026-04-09,34,719.0,1444.0080603117167,full,0
cluster1,2026-04-09,99,530.0,271.87718584702634,full,0
cluster2,2026-04-09,99,1519.0,2924.4184830648296,full,0
cluster3,2026-04-09,1,0.0,3276.0,none,1
cluster0,2026-05-09,31,1465.0,1610.6688407711426,full,0
cluster1,2026-05-09,93,627.0,198.86662139958105,full,0
cluster2,2026-05-09,108,3970.0,2669.6192805467554,full,0
cluster3,2026-05-09,1,0.0,2964.0,none,1
cluster0,2026-06-08,28,1597.0,1633.823511945645,full,0
cluster1,2026-06-08,92,396.0,323.75920145596075,full,0
cluster2,2026-06-08,111,3087.0,3465.355750850181,full,0
cluster3,2026-06-08,2,0.0,3479.142857142857,none,1
