label,status,n_sheets,reviewed,note
NO OPERATION,CLOSED,15,no,
CLASS SUSPENSION,SUSPENSION,5,no,
USTET SELLING DAY,SELLING_SPECIAL,4,no,
CLEANING AFTER USTET,OPS_NONSELLING,4,no,
ENHANCED VIRTUAL MODE,SUSPENSION,3,no,
EVM (ENRICHED VIRTUAL MODE),SUSPENSION,3,no,
ELECTION DAY,CLOSED,2,no,
INVENTORY,OPS_NONSELLING,2,no,
STORE MAINTENANCE,OPS_NONSELLING,2,no,
PREPARATION FOR USTET SELLING,OPS_NONSELLING,2,no,
UST VOLLEYBALL GAME SELLING,SELLING_SPECIAL,2,no,
HOLIDAY (DAY OF VALOR),CLOSED,2,no,
EVM (TRANSPORT STRIKE) AS PER UST,SUSPENSION,2,no,
MONTHLY INVENTORY,OPS_NONSELLING,2,no,
TEAM BUILDING,OPS_NONSELLING,1,no,
INVENTORY DAY,OPS_NONSELLING,1,no,
HOLIDAY,CLOSED,1,no,
MATHED SELLING,SELLING_SPECIAL,1,no,
SUPPORT STAFF GENERAL ASSEMBLY 2025,OPS_NONSELLING,1,no,
BENCH-MARKING,OPS_NONSELLING,1,no,
FEAST OF THE BLACK NAZARENE,CLOSED,1,no,
FEAST OF ST. THOMAS AQUINAS,CLOSED,1,no,
OPERATIONAL PLANNING AY 2026-2027,OPS_NONSELLING,1,no,
CHINESE NEW YEAR,CLOSED,1,no,
USTORE GENERAL SUPPLIERS MEETING,OPS_NONSELLING,1,no,
EDSA PEOPLE POWER,CLOSED,1,no,
INVENTORY FOR THE MONTH OF MARCH,OPS_NONSELLING,1,no,
UST ALAB: RETREAT 2026,OPS_NONSELLING,1,no,
EID'L FITR HOLIDAY,CLOSED,1,no,
EVM (DUE TO JEEPNEY STRIKE),SUSPENSION,1,no,
INVTY. MEZZANINE,OPS_NONSELLING,1,no,
EVM (TRANSPORT STRIKE) AND AS PER UST,SUSPENSION,1,no,
UST SUPPORT STAFF SPORTSFEST 2026,OPS_NONSELLING,1,no,
UAAP CLOSING 2026,OPS_NONSELLING,1,no,
EID'L ADHA HOLIDAY,CLOSED,1,no,
UST SUPPORT STAFF GEN. ASSEMBLY,OPS_NONSELLING,1,no,
AFTERNOON SELLING FRAY MHEL'S BDAY,SELLING_SPECIAL,1,no,
EVM (TRANSPORT STRIKE) / GENERAL CLEANING,OPS_NONSELLING,1,no,
HIYAS 2026,OPS_NONSELLING,1,no,
1 - 600,UNKNOWN,1,no,
MANILA DAY (HOLIDAY),CLOSED,1,no,
INDEPENDENCE DAY,CLOSED,1,no,
BENCHMARKING,OPS_NONSELLING,1,no,
USTORE THANKSGIVING PARTY,OPS_NONSELLING,1,no,
