group,method,mae,mase_weighted,mase_global,n_skus
apparel-fast,croston,97.36674880880041,4.660709190116541,2.885270550746455,8
apparel-fast,ets,79.89731829040774,5.027975768844697,2.367598614180016,8
apparel-fast,ewma_a0.1,61.41758340947839,3.5947261412068157,1.8199883109721893,8
apparel-fast,lightgbm,91.83433502199824,4.6683611717797175,2.721328437356702,8
apparel-fast,lightgbm_pooled_cat,76.4999271527962,4.126530119651612,2.2669236638644152,8
apparel-fast,logistic_hurdle_per_sku,76.40760006051947,4.210318943404139,2.2641877335428098,8
apparel-fast,logistic_hurdle_pooled_cat,76.12944847177364,4.098906587650295,2.2559452627047665,8
apparel-fast,naive,196.07291666666666,8.373446984599228,5.810232129330016,8
apparel-fast,random_forest,85.41048616216416,4.8751591228564894,2.5309704130364916,8
apparel-fast,random_forest_pooled_cat,81.47422318436837,4.3435583742679285,2.4143270641645893,8
apparel-fast,rolling_mean_30,58.09375,3.718297487739908,1.7214930980860381,8
apparel-fast,rolling_median_30,72.0,4.5615249110772,2.1335772447499903,8
apparel-fast,rolling_q75_30,69.42708333333333,4.314492763161444,2.0573339606855736,8
apparel-fast,sba,93.89164053502702,4.5660792519559745,2.7822926071913816,8
apparel-fast,seasonal_naive,62.125,3.7231978104383927,1.8409511990290717,8
apparel-fast,tsb,67.36458527897321,3.770277660529663,1.996215920183853,8
apparel-fast,weekly_hurdle_12w_per_sku,69.56398809523809,4.080476197077958,2.0613908618619337,8
apparel-fast,xgboost,92.41896016265257,5.435855171029766,2.738652644256824,8
apparel-fast,xgboost_pooled_cat,68.17980959431345,3.654225657341061,2.0203734764140866,8
apparel-slow,croston,11.679832149686423,5.082896608341546,2.697644002242531,76
apparel-slow,ets,9.243392215695687,7.498854789981715,2.134857091672604,76
apparel-slow,ewma_a0.1,7.202252566270772,4.874974375591979,1.6633795636138309,76
apparel-slow,lightgbm,10.761115902786747,5.368983384567308,2.4854321307041327,76
apparel-slow,lightgbm_pooled_cat,13.50419478536662,8.147516421568152,3.0841313385622424,76
apparel-slow,logistic_hurdle_per_sku,6.913681855836386,4.863762565105334,1.5967233672756225,76
apparel-slow,logistic_hurdle_pooled_cat,6.809120738535454,4.715137965344116,1.5725710672945816,76
apparel-slow,naive,16.982683982683984,12.145815495019013,3.9225359270003715,76
apparel-slow,random_forest,8.063640889747717,5.420229694074126,1.8623494075272662,76
apparel-slow,random_forest_pooled_cat,8.267192034484538,5.724493915743046,1.9086327761885207,76
apparel-slow,rolling_mean_30,6.175324675324675,3.9837993203247666,1.4261721664353528,76
apparel-slow,rolling_median_30,7.91991341991342,5.254471173483165,1.8291501738488123,76
apparel-slow,rolling_q75_30,8.24512987012987,5.555615047402974,1.9042710741141629,76
apparel-slow,sba,11.27631688233871,5.013354741307036,2.6044370622682496,76
apparel-slow,seasonal_naive,8.887445887445887,6.3637954979447535,2.052637976967692,76
apparel-slow,tsb,6.626192652249636,4.601434769232472,1.5303169853855563,76
apparel-slow,weekly_hurdle_12w_per_sku,6.292439703153989,4.240800033827886,1.4532242614916884,76
apparel-slow,xgboost,7.468604349427695,4.986002786986137,1.7249034678465738,76
apparel-slow,xgboost_pooled_cat,6.764039661148684,4.892305417365038,1.5607644252232071,76
non-apparel-fast,croston,96.05673176983865,4.475954287997572,3.022748614665533,44
non-apparel-fast,ets,49.00372902673313,4.497755269082896,2.0266429896035962,44
non-apparel-fast,ewma_a0.1,41.22023808652395,3.8790820776059216,1.7047418269387582,44
non-apparel-fast,lightgbm,96.28689255382028,4.462352522603451,3.9821287004190986,44
non-apparel-fast,lightgbm_pooled_cat,122.3920387655727,6.829650484153881,4.795120283662866,44
non-apparel-fast,logistic_hurdle_per_sku,39.86920977088533,4.075423985824837,1.6488674655579891,44
non-apparel-fast,logistic_hurdle_pooled_cat,39.75485430280443,3.976866395491199,1.644138076339823,44
non-apparel-fast,naive,87.33152173913044,8.0719153836829,3.6117622029839604,44
non-apparel-fast,random_forest,76.18596968837366,5.997377693889716,3.1508165693036005,44
non-apparel-fast,random_forest_pooled_cat,120.2561872314578,6.620016609618791,4.77341690502202,44
non-apparel-fast,rolling_mean_30,38.375,3.913647109023314,1.587071561097128,44
non-apparel-fast,rolling_median_30,38.84057971014493,3.961677968611736,1.6063265009640948,44
non-apparel-fast,rolling_q75_30,39.60597826086956,4.024500147735516,1.6379810227298286,44
non-apparel-fast,sba,92.2480075001873,4.375134924904531,2.9127246012552064,44
non-apparel-fast,seasonal_naive,45.742753623188406,4.094693108214582,1.8917791114432556,44
non-apparel-fast,tsb,39.47427227390011,3.8008851206726875,1.6325340696003052,44
non-apparel-fast,weekly_hurdle_12w_per_sku,39.214544513457554,3.831762930341504,1.6217925310406747,44
non-apparel-fast,xgboost,57.07451253727428,4.571364227295824,2.3604256862902795,44
non-apparel-fast,xgboost_pooled_cat,82.66228231252846,4.714394122719239,3.2775294987527728,44
non-apparel-slow,croston,12.5350004377313,5.738946491175976,2.7766582371267976,134
non-apparel-slow,ets,9.097605266336375,7.060758784845631,2.0151200209704085,134
non-apparel-slow,ewma_a0.1,7.136952568592261,5.256229093702694,1.580746932194484,134
non-apparel-slow,lightgbm,16.66672361019572,7.108754588267361,3.692021451864108,134
non-apparel-slow,lightgbm_pooled_cat,35.105868992440115,22.02162529355035,7.729606804736044,134
non-apparel-slow,logistic_hurdle_per_sku,7.513180871712467,5.478837665807258,1.6640984866535073,134
non-apparel-slow,logistic_hurdle_pooled_cat,7.110987652586909,5.405776634921864,1.574994531079269,134
non-apparel-slow,naive,16.410493827160494,12.045118655430336,3.6352549870937514,134
non-apparel-slow,random_forest,11.44249934344164,7.928024687923663,2.534619922353514,134
non-apparel-slow,random_forest_pooled_cat,17.53475648580205,10.4981371960657,3.8839901273913884,134
non-apparel-slow,rolling_mean_30,6.506172839506172,5.047046423946722,1.441000744827585,134
non-apparel-slow,rolling_median_30,7.288271604938272,5.989762410787889,1.6142709302405627,134
