batch_label,supplier_name,item_name,raw_item_name,total_quantity,amount_php,item_price_php,source_file,grain
Total Sales February Batch,,Shirts,Shirts,237.0,85320.0,360.0,2023 total sales by batch (3).xlsx,batch_aggregate
Total Sales February Batch,,Hoodies,Hoodies,41.0,46125.0,1125.0,2023 total sales by batch (3).xlsx,batch_aggregate
Total Sales February Batch,,Tote Bag Black (230),Tote Bag Black (230),25.0,5750.0,230.0,2023 total sales by batch (3).xlsx,batch_aggregate
Total Sales February Batch,,Tote Bag White (200),Tote Bag White (200),25.0,5000.0,200.0,2023 total sales by batch (3).xlsx,batch_aggregate
Total Sales February Batch,,Golf Umbrella,Golf Umbrella,5.0,2475.0,495.0,2023 total sales by batch (3).xlsx,batch_aggregate
total sales MARCH BATCH,NAPOLIZ ENTERPRISES,Shirts,Shirts,245.0,88200.0,360.0,2023 total sales by batch (3).xlsx,batch_aggregate
total sales MARCH BATCH,NAPOLIZ ENTERPRISES,Hoodies,Hoodies,53.0,59625.0,1125.0,2023 total sales by batch (3).xlsx,batch_aggregate
total sales MARCH BATCH,NAPOLIZ ENTERPRISES,Tote Bag Black (230),Tote Bag Black (230),17.0,3910.0,230.0,2023 total sales by batch (3).xlsx,batch_aggregate
total sales MARCH BATCH,NAPOLIZ ENTERPRISES,Tote Bag White (200),Tote Bag White (200),33.0,6600.0,200.0,2023 total sales by batch (3).xlsx,batch_aggregate
total sales MARCH BATCH,NAPOLIZ ENTERPRISES,Golf Umbrella,Golf Umbrella,3.0,1485.0,495.0,2023 total sales by batch (3).xlsx,batch_aggregate
total sales MARCH BATCH,NAPOLIZ ENTERPRISES,GT 350,GT 350,15.0,3000.0,200.0,2023 total sales by batch (3).xlsx,batch_aggregate
total sales MARCH BATCH,NAPOLIZ ENTERPRISES,VB JERSEY W/O SIG. @1000,VB JERSEY W/O SIG. @1000,17.0,13600.0,800.0,2023 total sales by batch (3).xlsx,batch_aggregate
total sales MARCH BATCH,NAPOLIZ ENTERPRISES,VB JERSEY W SIG. @1800,VB JERSEY W SIG. @1800,2.0,1600.0,800.0,2023 total sales by batch (3).xlsx,batch_aggregate
total sales MARCH BATCH,NAPOLIZ ENTERPRISES,VB JERSEY W/O SIG. @2000,VB JERSEY W/O SIG. @2000,0.0,0.0,800.0,2023 total sales by batch (3).xlsx,batch_aggregate
total sales MARCH BATCH,NAPOLIZ ENTERPRISES,VB JERSEY W SIG. @2800,VB JERSEY W SIG. @2800,0.0,0.0,800.0,2023 total sales by batch (3).xlsx,batch_aggregate
total sales MARCH BATCH,NAPOLIZ ENTERPRISES,Poloshirt 123456 @860,POLOSHIRT 123456 @860,20.0,12000.0,600.0,2023 total sales by batch (3).xlsx,batch_aggregate
total sales APRIL BATCH,NAPOLIZ ENTERPRISES,Shirts,Shirts,524.0,188640.0,360.0,2023 total sales by batch (3).xlsx,batch_aggregate
total sales APRIL BATCH,NAPOLIZ ENTERPRISES,Hoodies Breaker,Hoodies BREAKER,56.0,63000.0,1125.0,2023 total sales by batch (3).xlsx,batch_aggregate
total sales APRIL BATCH,NAPOLIZ ENTERPRISES,Tote Bag Black (230),Tote Bag Black (230),10.0,2300.0,230.0,2023 total sales by batch (3).xlsx,batch_aggregate
total sales APRIL BATCH,NAPOLIZ ENTERPRISES,Tote Bag White (200),Tote Bag White (200),18.0,3600.0,200.0,2023 total sales by batch (3).xlsx,batch_aggregate
total sales APRIL BATCH,NAPOLIZ ENTERPRISES,Golf Umbrella,Golf Umbrella,2.0,990.0,495.0,2023 total sales by batch (3).xlsx,batch_aggregate
total sales APRIL BATCH,JYL ATHLETICA,GT 350,GT 350,32.0,6400.0,200.0,2023 total sales by batch (3).xlsx,batch_aggregate
total sales APRIL BATCH,JYL ATHLETICA,VB JERSEY W/O SIG. @1000,VB JERSEY W/O SIG. @1000,35.0,28000.0,800.0,2023 total sales by batch (3).xlsx,batch_aggregate
total sales APRIL BATCH,JYL ATHLETICA,VB JERSEY W SIG. @1800,VB JERSEY W SIG. @1800,0.0,0.0,800.0,2023 total sales by batch (3).xlsx,batch_aggregate
total sales APRIL BATCH,JYL ATHLETICA,VB JERSEY W/O SIG. @2000,VB JERSEY W/O SIG. @2000,10.0,8000.0,800.0,2023 total sales by batch (3).xlsx,batch_aggregate
total sales APRIL BATCH,JYL ATHLETICA,VB JERSEY W SIG. @2800,VB JERSEY W SIG. @2800,2.0,1600.0,800.0,2023 total sales by batch (3).xlsx,batch_aggregate
total sales APRIL BATCH,JYL ATHLETICA,jacket@1650,jacket@1650,15.0,18000.0,1200.0,2023 total sales by batch (3).xlsx,batch_aggregate
total sales APRIL BATCH,JYL ATHLETICA,Poloshirt 123456 @860,POLOSHIRT 123456 @860,21.0,12600.0,600.0,2023 total sales by batch (3).xlsx,batch_aggregate
total sales APRIL BATCH,JUC,UST JUC Y/B,UST JUC Y/B,53.0,14840.0,280.0,2023 total sales by batch (3).xlsx,batch_aggregate
