calendar_date,day_status,legend_label,fill_colour,traded,units_that_day,demand_observable,is_store_closed,source_file,source_sheet,status_source
2024-08-06,NORMAL,,FF6FA8DC,1,150.0,1,0,USTore TBS AUG-DEC 2024.xlsx,AUG 2024 - TBS,colour
2024-08-07,UNKNOWN,,,0,0.0,0,0,calendar_ranges.csv (via Dim_Date),,calendar
2024-08-08,CLOSED,,,0,0.0,0,1,calendar_ranges.csv (via Dim_Date),,calendar
2024-08-09,NORMAL,,theme6+0.0,1,37.0,1,0,USTore TBS AUG-DEC 2024.xlsx,AUG 2024 - TBS,colour
2024-08-10,UNKNOWN,,,0,0.0,0,0,calendar_ranges.csv (via Dim_Date),,calendar
2024-08-11,UNKNOWN,,,0,0.0,0,0,calendar_ranges.csv (via Dim_Date),,calendar
2024-08-12,UNKNOWN,,,0,0.0,0,0,calendar_ranges.csv (via Dim_Date),,calendar
2024-08-13,UNKNOWN,,,0,0.0,0,0,calendar_ranges.csv (via Dim_Date),,calendar
2024-08-14,UNKNOWN,,,0,0.0,0,0,calendar_ranges.csv (via Dim_Date),,calendar
2024-08-15,UNKNOWN,,,0,0.0,0,0,calendar_ranges.csv (via Dim_Date),,calendar
2024-08-16,NORMAL,,theme6+0.0,1,144.0,1,0,USTore TBS AUG-DEC 2024.xlsx,AUG 2024 - TBS,colour
2024-08-17,UNKNOWN,,,0,0.0,0,0,calendar_ranges.csv (via Dim_Date),,calendar
2024-08-18,UNKNOWN,,,0,0.0,0,0,calendar_ranges.csv (via Dim_Date),,calendar
2024-08-19,UNKNOWN,,,0,0.0,0,0,calendar_ranges.csv (via Dim_Date),,calendar
2024-08-20,UNKNOWN,,,0,0.0,0,0,calendar_ranges.csv (via Dim_Date),,calendar
2024-08-21,CLOSED,,,0,0.0,0,1,calendar_ranges.csv (via Dim_Date),,calendar
2024-08-22,NORMAL,,theme6+0.0,1,17.0,1,0,USTore TBS AUG-DEC 2024.xlsx,AUG 2024 - TBS,colour
2024-08-23,UNKNOWN,,,0,0.0,0,0,calendar_ranges.csv (via Dim_Date),,calendar
2024-08-24,UNKNOWN,,,0,0.0,0,0,calendar_ranges.csv (via Dim_Date),,calendar
2024-08-25,UNKNOWN,,,0,0.0,0,0,calendar_ranges.csv (via Dim_Date),,calendar
2024-08-26,CLOSED,,,0,0.0,0,1,calendar_ranges.csv (via Dim_Date),,calendar
2024-08-27,UNKNOWN,,,0,0.0,0,0,calendar_ranges.csv (via Dim_Date),,calendar
2024-08-28,UNKNOWN,,,0,0.0,0,0,calendar_ranges.csv (via Dim_Date),,calendar
2024-08-29,UNKNOWN,,,0,0.0,0,0,calendar_ranges.csv (via Dim_Date),,calendar
2024-08-30,UNKNOWN,,,0,0.0,0,0,calendar_ranges.csv (via Dim_Date),,calendar
2024-08-31,UNKNOWN,,,0,0.0,0,0,calendar_ranges.csv (via Dim_Date),,calendar
2024-09-01,UNKNOWN,,,0,0.0,0,0,calendar_ranges.csv (via Dim_Date),,calendar
2024-09-02,UNKNOWN,,,0,0.0,0,0,calendar_ranges.csv (via Dim_Date),,calendar
2024-09-03,UNKNOWN,,,0,0.0,0,0,calendar_ranges.csv (via Dim_Date),,calendar
2024-09-04,UNKNOWN,,,0,0.0,0,0,calendar_ranges.csv (via Dim_Date),,calendar
2024-09-05,UNKNOWN,,,0,0.0,0,0,calendar_ranges.csv (via Dim_Date),,calendar
2024-09-06,UNKNOWN,,,0,0.0,0,0,calendar_ranges.csv (via Dim_Date),,calendar
2024-09-07,UNKNOWN,,,0,0.0,0,0,calendar_ranges.csv (via Dim_Date),,calendar
2024-09-08,UNKNOWN,,,0,0.0,0,0,calendar_ranges.csv (via Dim_Date),,calendar
2024-09-09,UNKNOWN,,,0,0.0,0,0,calendar_ranges.csv (via Dim_Date),,calendar
2024-09-10,UNKNOWN,,,0,0.0,0,0,calendar_ranges.csv (via Dim_Date),,calendar
2024-09-11,UNKNOWN,,,0,0.0,0,0,calendar_ranges.csv (via Dim_Date),,calendar
2024-09-12,UNKNOWN,,,0,0.0,0,0,calendar_ranges.csv (via Dim_Date),,calendar
2024-09-13,UNKNOWN,,,0,0.0,0,0,calendar_ranges.csv (via Dim_Date),,calendar
2024-09-14,UNKNOWN,,,0,0.0,0,0,calendar_ranges.csv (via Dim_Date),,calendar
2024-09-15,UNKNOWN,,,0,0.0,0,0,calendar_ranges.csv (via Dim_Date),,calendar
2024-09-16,UNKNOWN,,,0,0.0,0,0,calendar_ranges.csv (via Dim_Date),,calendar
2024-09-17,NORMAL,,theme6+0.0,1,46.0,1,0,USTore TBS AUG-DEC 2024.xlsx,SEPT 2024 - TBS,colour
2024-09-18,NORMAL,,theme6+0.0,1,132.0,1,0,USTore TBS AUG-DEC 2024.xlsx,SEPT 2024 - TBS,colour
2024-09-19,NORMAL,,theme6+0.0,1,88.0,1,0,USTore TBS AUG-DEC 2024.xlsx,SEPT 2024 - TBS,colour
2024-09-20,UNKNOWN,,,0,0.0,0,0,calendar_ranges.csv (via Dim_Date),,calendar
2024-09-21,UNKNOWN,,,0,0.0,0,0,calendar_ranges.csv (via Dim_Date),,calendar
2024-09-22,UNKNOWN,,,0,0.0,0,0,calendar_ranges.csv (via Dim_Date),,calendar
2024-09-23,UNKNOWN,,,0,0.0,0,0,calendar_ranges.csv (via Dim_Date),,calendar
2024-09-24,UNKNOWN,,,0,0.0,0,0,calendar_ranges.csv (via Dim_Date),,calendar
2024-09-25,UNKNOWN,,,0,0.0,0,0,calendar_ranges.csv (via Dim_Date),,calendar
2024-09-26,UNKNOWN,,,0,0.0,0,0,calendar_ranges.csv (via Dim_Date),,calendar
2024-09-27,UNKNOWN,,,0,0.0,0,0,calendar_ranges.csv (via Dim_Date),,calendar
2024-09-28,UNKNOWN,,,0,0.0,0,0,calendar_ranges.csv (via Dim_Date),,calendar
2024-09-29,UNKNOWN,,,0,0.0,0,0,calendar_ranges.csv (via Dim_Date),,calendar
2024-09-30,UNKNOWN,,,0,0.0,0,0,calendar_ranges.csv (via Dim_Date),,calendar
2024-10-01,NORMAL,,theme6+0.0,1,124.0,1,0,USTore TBS AUG-DEC 2024.xlsx,OCT 2024 - TBS,colour
2024-10-02,NORMAL,,theme6+0.0,1,106.0,1,0,USTore TBS AUG-DEC 2024.xlsx,OCT 2024 - TBS,colour
2024-10-03,NORMAL,,theme6+0.0,1,181.0,1,0,USTore TBS AUG-DEC 2024.xlsx,OCT 2024 - TBS,colour
2024-10-04,NORMAL,,theme6+0.0,1,34.0,1,0,USTore TBS AUG-DEC 2024.xlsx,OCT 2024 - TBS,colour
2024-10-05,NORMAL,,FFA4C2F4,0,0.0,1,0,USTore TBS AUG-DEC 2024.xlsx,OCT 2024 - TBS,colour
2024-10-06,NORMAL,,FFA4C2F4,0,0.0,1,0,USTore TBS AUG-DEC 2024.xlsx,OCT 2024 - TBS,colour
2024-10-07,NORMAL,,theme6+0.0,1,107.0,1,0,USTore TBS AUG-DEC 2024.xlsx,OCT 2024 - TBS,colour
2024-10-08,NORMAL,,theme6+0.0,1,168.0,1,0,USTore TBS AUG-DEC 2024.xlsx,OCT 2024 - TBS,colour
2024-10-09,NORMAL,,theme6+0.0,1,155.0,1,0,USTore TBS AUG-DEC 2024.xlsx,OCT 2024 - TBS,colour
2024-10-10,NORMAL,,theme6+0.0,1,146.0,1,0,USTore TBS AUG-DEC 2024.xlsx,OCT 2024 - TBS,colour
2024-10-11,NORMAL,,theme6+0.0,1,132.0,1,0,USTore TBS AUG-DEC 2024.xlsx,OCT 2024 - TBS,colour
2024-10-12,NORMAL,,FF9FC5E8,0,0.0,1,0,USTore TBS AUG-DEC 2024.xlsx,OCT 2024 - TBS,colour
2024-10-13,NORMAL,,FF9FC5E8,0,0.0,1,0,USTore TBS AUG-DEC 2024.xlsx,OCT 2024 - TBS,colour
2024-10-14,NORMAL,,FFEA9999,0,0.0,1,0,USTore TBS AUG-DEC 2024.xlsx,OCT 2024 - TBS,colour
2024-10-15,NORMAL,,FFEA9999,0,0.0,1,0,USTore TBS AUG-DEC 2024.xlsx,OCT 2024 - TBS,colour
2024-10-16,NORMAL,,theme6+0.0,1,176.0,1,0,USTore TBS AUG-DEC 2024.xlsx,OCT 2024 - TBS,colour
2024-10-17,NORMAL,,theme6+0.0,1,200.0,1,0,USTore TBS AUG-DEC 2024.xlsx,OCT 2024 - TBS,colour
2024-10-18,NORMAL,,theme6+0.0,1,223.0,1,0,USTore TBS AUG-DEC 2024.xlsx,OCT 2024 - TBS,colour
2024-10-19,NORMAL,,theme6+0.0,1,279.0,1,0,USTore TBS AUG-DEC 2024.xlsx,OCT 2024 - TBS,colour
2024-10-20,NORMAL,,theme6+0.0,1,664.0,1,0,USTore TBS AUG-DEC 2024.xlsx,OCT 2024 - TBS,colour
2024-10-21,UNKNOWN,,,0,0.0,0,0,calendar_ranges.csv (via Dim_Date),,calendar
2024-10-22,UNKNOWN,,,0,0.0,0,0,calendar_ranges.csv (via Dim_Date),,calendar
2024-10-23,UNKNOWN,,,0,0.0,0,0,calendar_ranges.csv (via Dim_Date),,calendar
2024-10-24,UNKNOWN,,,0,0.0,0,0,calendar_ranges.csv (via Dim_Date),,calendar
2024-10-25,UNKNOWN,,,0,0.0,0,0,calendar_ranges.csv (via Dim_Date),,calendar
2024-10-26,UNKNOWN,,,0,0.0,0,0,calendar_ranges.csv (via Dim_Date),,calendar
2024-10-27,UNKNOWN,,,0,0.0,0,0,calendar_ranges.csv (via Dim_Date),,calendar
2024-10-28,CLOSED,,,0,0.0,0,1,calendar_ranges.csv (via Dim_Date),,calendar
2024-10-29,CLOSED,,,0,0.0,0,1,calendar_ranges.csv (via Dim_Date),,calendar
2024-10-30,CLOSED,,,0,0.0,0,1,calendar_ranges.csv (via Dim_Date),,calendar
2024-10-31,CLOSED,,,0,0.0,0,1,calendar_ranges.csv (via Dim_Date),,calendar
2024-11-01,CLOSED,,,0,0.0,0,1,calendar_ranges.csv (via Dim_Date),,calendar
2024-11-02,CLOSED,,,0,0.0,0,1,calendar_ranges.csv (via Dim_Date),,calendar
2024-11-03,NORMAL,,theme6+0.0,1,42.0,1,0,USTore TBS AUG-DEC 2024.xlsx,NOV 2024 - TBS,colour
2024-11-04,NORMAL,,theme6+0.0,1,99.0,1,0,USTore TBS AUG-DEC 2024.xlsx,NOV 2024 - TBS,colour
2024-11-05,NORMAL,,theme6+0.0,1,166.0,1,0,USTore TBS AUG-DEC 2024.xlsx,NOV 2024 - TBS,colour
2024-11-06,NORMAL,,theme6+0.0,1,106.0,1,0,USTore TBS AUG-DEC 2024.xlsx,NOV 2024 - TBS,colour
2024-11-07,NORMAL,,theme6+0.0,1,83.0,1,0,USTore TBS AUG-DEC 2024.xlsx,NOV 2024 - TBS,colour
2024-11-08,NORMAL,,FFD5A6BD,1,148.0,1,0,USTore TBS AUG-DEC 2024.xlsx,NOV 2024 - TBS,colour
2024-11-09,NORMAL,,FF3D85C6,0,0.0,1,0,USTore TBS AUG-DEC 2024.xlsx,NOV 2024 - TBS,colour
2024-11-10,NORMAL,,FF3D85C6,0,0.0,1,0,USTore TBS AUG-DEC 2024.xlsx,NOV 2024 - TBS,colour
2024-11-11,NORMAL,,FFCC4125,0,0.0,1,0,USTore TBS AUG-DEC 2024.xlsx,NOV 2024 - TBS,colour
2024-11-12,NORMAL,,theme6+0.0,1,113.0,1,0,USTore TBS AUG-DEC 2024.xlsx,NOV 2024 - TBS,colour
2024-11-13,NORMAL,,theme6+0.0,1,132.0,1,0,USTore TBS AUG-DEC 2024.xlsx,NOV 2024 - TBS,colour
2024-11-14,NORMAL,,theme6+0.0,1,91.0,1,0,USTore TBS AUG-DEC 2024.xlsx,NOV 2024 - TBS,colour
2024-11-15,NORMAL,,theme6+0.0,1,80.0,1,0,USTore TBS AUG-DEC 2024.xlsx,NOV 2024 - TBS,colour
2024-11-16,NORMAL,,FF3C78D8,0,0.0,1,0,USTore TBS AUG-DEC 2024.xlsx,NOV 2024 - TBS,colour
2024-11-17,NORMAL,,FF3C78D8,0,0.0,1,0,USTore TBS AUG-DEC 2024.xlsx,NOV 2024 - TBS,colour
2024-11-18,NORMAL,,FFCC4125,0,0.0,1,0,USTore TBS AUG-DEC 2024.xlsx,NOV 2024 - TBS,colour
2024-11-19,NORMAL,,theme6+0.0,1,110.0,1,0,USTore TBS AUG-DEC 2024.xlsx,NOV 2024 - TBS,colour
2024-11-20,NORMAL,,theme6+0.0,1,99.0,1,0,USTore TBS AUG-DEC 2024.xlsx,NOV 2024 - TBS,colour
2024-11-21,NORMAL,,theme6+0.0,1,115.0,1,0,USTore TBS AUG-DEC 2024.xlsx,NOV 2024 - TBS,colour
2024-11-22,NORMAL,,theme6+0.0,1,138.0,1,0,USTore TBS AUG-DEC 2024.xlsx,NOV 2024 - TBS,colour
2024-11-23,NORMAL,,theme4+0.0,0,0.0,1,0,USTore TBS AUG-DEC 2024.xlsx,NOV 2024 - TBS,colour
2024-11-24,NORMAL,,theme4+0.0,0,0.0,1,0,USTore TBS AUG-DEC 2024.xlsx,NOV 2024 - TBS,colour
2024-11-25,NORMAL,,theme6+0.0,1,94.0,1,0,USTore TBS AUG-DEC 2024.xlsx,NOV 2024 - TBS,colour
2024-11-26,NORMAL,,theme6+0.0,1,110.0,1,0,USTore TBS AUG-DEC 2024.xlsx,NOV 2024 - TBS,colour
2024-11-27,NORMAL,,theme6+0.0,1,128.0,1,0,USTore TBS AUG-DEC 2024.xlsx,NOV 2024 - TBS,colour
2024-11-28,NORMAL,,theme6+0.0,1,40.0,1,0,USTore TBS AUG-DEC 2024.xlsx,NOV 2024 - TBS,colour
2024-11-29,NORMAL,,theme6+0.0,1,109.0,1,0,USTore TBS AUG-DEC 2024.xlsx,NOV 2024 - TBS,colour
2024-11-30,CLOSED,,,0,0.0,0,1,calendar_ranges.csv (via Dim_Date),,calendar
2024-12-01,UNKNOWN,,,0,0.0,0,0,calendar_ranges.csv (via Dim_Date),,calendar
2024-12-02,NORMAL,,theme6+0.0,1,127.0,1,0,USTore TBS AUG-DEC 2024.xlsx,DEC 2024 - TBS,colour
2024-12-03,NORMAL,,theme6+0.0,1,48.0,1,0,USTore TBS AUG-DEC 2024.xlsx,DEC 2024 - TBS,colour
