source_file,source_sheet,n_dates,n_sales_rows,legend_entries,stated_selling_days,parsed_selling_days,selling_days_match,n_normal,n_selling_special,n_suspension,n_ops_nonselling,n_closed,n_unknown
2025 USTore TBS.xlsx,JAN 2025 - TBS,25,405,0,,18,,25,0,0,0,0,0
2025 USTore TBS.xlsx,FEB 2025 - TBS,26,514,0,,20,,26,0,0,0,0,0
2025 USTore TBS.xlsx,APR 2025 - TBS,29,440,0,,15,,29,0,0,0,0,0
2025 USTore TBS.xlsx,MAR 2025 - TBS,29,598,0,,23,,29,0,0,0,0,0
2025 USTore TBS.xlsx,MAY 2025 - TBS,30,902,3,22.0,24,0.0,25,0,0,0,5,0
2025 USTore TBS.xlsx,JUNE 2025 - TBS,29,997,3,22.0,23,0.0,23,0,1,0,5,0
2025 USTore TBS.xlsx,JULY 2025 - TBS,31,323,4,11.0,12,0.0,18,0,6,0,7,0
2025 USTore TBS.xlsx,AUG 2025 - TBS,31,832,4,19.0,19,1.0,19,0,1,1,10,0
2025 USTore TBS.xlsx,SEPT 2025 - TBS,30,871,3,20.0,20,1.0,22,0,5,0,3,0
USTore TBS AUG-DEC 2024.xlsx,AUG 2024 - TBS,4,74,0,,4,,4,0,0,0,0,0
USTore TBS AUG-DEC 2024.xlsx,SEPT 2024 - TBS,3,64,0,,3,,3,0,0,0,0,0
USTore TBS AUG-DEC 2024.xlsx,OCT 2024 - TBS,20,396,0,,14,,20,0,0,0,0,0
USTore TBS AUG-DEC 2024.xlsx,NOV 2024 - TBS,27,440,0,,19,,27,0,0,0,0,0
USTore TBS AUG-DEC 2024.xlsx,DEC 2024 - TBS,20,382,0,,14,,20,0,0,0,0,0
USTore TBS OCTOBER A.Y. 2025-2026.xlsx,OCTOBER 2025 - TBS,29,978,7,18.0,17,0.0,17,3,3,3,3,0
USTore TBS OCTOBER A.Y. 2025-2026.xlsx,NOVEMBER 2025 - TBS,26,703,5,16.0,17,0.0,17,0,4,3,2,0
USTore TBS OCTOBER A.Y. 2025-2026.xlsx,DECEMBER 2025 - TBS,18,640,6,11.0,11,1.0,11,1,0,4,2,0
USTore TBS OCTOBER A.Y. 2025-2026.xlsx,JANUARY 2026 - TBS,25,746,6,17.0,17,1.0,17,1,0,3,4,0
USTore TBS OCTOBER A.Y. 2025-2026.xlsx,FEBRUARY 2026 - TBS,28,801,7,17.0,18,0.0,19,1,0,3,5,0
USTore TBS OCTOBER A.Y. 2025-2026.xlsx,MARCH 2026 - TBS,28,693,6,16.0,15,0.0,17,1,2,5,3,0
USTore TBS OCTOBER A.Y. 2025-2026.xlsx,APRIL 2026 - TBS,26,689,6,15.0,14,0.0,14,1,5,2,4,0
USTore TBS OCTOBER A.Y. 2025-2026.xlsx,MAY 2026 - TBS,26,811,9,15.0,15,1.0,15,1,0,6,4,0
USTore TBS OCTOBER A.Y. 2025-2026.xlsx,JUNE 2026 - TBS,30,1250,5,18.0,22,0.0,22,0,1,1,6,0
USTore TBS OCTOBER A.Y. 2025-2026.xlsx,JULY 2026 - TBS,31,225,6,18.0,5,0.0,20,0,5,2,4,0
