calendar_date,item_name,raw_item_name,supplier_name,quantity_sold,day_status,source_file,source_sheet
2025-01-12,Back pack,Back pack,NAPOLIZ ENTERPRISES,2.0,NORMAL,2025 USTore TBS.xlsx,JAN 2025 - TBS
2025-01-30,Cane Umbrella,Cane Umbrella,NAPOLIZ ENTERPRISES,1.0,NORMAL,2025 USTore TBS.xlsx,JAN 2025 - TBS
2025-01-08,Hoodies Breaker,Hoodies Breaker,NAPOLIZ ENTERPRISES,2.0,NORMAL,2025 USTore TBS.xlsx,JAN 2025 - TBS
2025-01-10,Hoodies Breaker,Hoodies Breaker,NAPOLIZ ENTERPRISES,2.0,NORMAL,2025 USTore TBS.xlsx,JAN 2025 - TBS
2025-01-12,Hoodies Breaker,Hoodies Breaker,NAPOLIZ ENTERPRISES,16.0,NORMAL,2025 USTore TBS.xlsx,JAN 2025 - TBS
2025-01-15,Hoodies Breaker,Hoodies Breaker,NAPOLIZ ENTERPRISES,2.0,NORMAL,2025 USTore TBS.xlsx,JAN 2025 - TBS
2025-01-16,Hoodies Breaker,Hoodies Breaker,NAPOLIZ ENTERPRISES,3.0,NORMAL,2025 USTore TBS.xlsx,JAN 2025 - TBS
2025-01-17,Hoodies Breaker,Hoodies Breaker,NAPOLIZ ENTERPRISES,3.0,NORMAL,2025 USTore TBS.xlsx,JAN 2025 - TBS
2025-01-18,Hoodies Breaker,Hoodies Breaker,NAPOLIZ ENTERPRISES,2.0,NORMAL,2025 USTore TBS.xlsx,JAN 2025 - TBS
2025-01-20,Hoodies Breaker,Hoodies Breaker,NAPOLIZ ENTERPRISES,1.0,NORMAL,2025 USTore TBS.xlsx,JAN 2025 - TBS
2025-01-21,Hoodies Breaker,Hoodies Breaker,NAPOLIZ ENTERPRISES,1.0,NORMAL,2025 USTore TBS.xlsx,JAN 2025 - TBS
2025-01-22,Hoodies Breaker,Hoodies Breaker,NAPOLIZ ENTERPRISES,2.0,NORMAL,2025 USTore TBS.xlsx,JAN 2025 - TBS
2025-01-23,Hoodies Breaker,Hoodies Breaker,NAPOLIZ ENTERPRISES,1.0,NORMAL,2025 USTore TBS.xlsx,JAN 2025 - TBS
2025-01-24,Hoodies Breaker,Hoodies Breaker,NAPOLIZ ENTERPRISES,2.0,NORMAL,2025 USTore TBS.xlsx,JAN 2025 - TBS
2025-01-25,Hoodies Breaker,Hoodies Breaker,NAPOLIZ ENTERPRISES,1.0,NORMAL,2025 USTore TBS.xlsx,JAN 2025 - TBS
2025-01-27,Hoodies Breaker,Hoodies Breaker,NAPOLIZ ENTERPRISES,1.0,NORMAL,2025 USTore TBS.xlsx,JAN 2025 - TBS
2025-01-30,Hoodies Breaker,Hoodies Breaker,NAPOLIZ ENTERPRISES,2.0,NORMAL,2025 USTore TBS.xlsx,JAN 2025 - TBS
2025-01-31,Hoodies Breaker,Hoodies Breaker,NAPOLIZ ENTERPRISES,11.0,NORMAL,2025 USTore TBS.xlsx,JAN 2025 - TBS
2025-01-12,Double Canopy,Double Canopy,NAPOLIZ ENTERPRISES,12.0,NORMAL,2025 USTore TBS.xlsx,JAN 2025 - TBS
2025-01-31,Double Canopy,Double Canopy,NAPOLIZ ENTERPRISES,1.0,NORMAL,2025 USTore TBS.xlsx,JAN 2025 - TBS
2025-01-27,Shirts,Shirts,Laptop Bag,1.0,NORMAL,2025 USTore TBS.xlsx,JAN 2025 - TBS
2025-01-07,Jacket,Jacket,GT 375,1.0,NORMAL,2025 USTore TBS.xlsx,JAN 2025 - TBS
2025-01-08,Jacket,Jacket,GT 375,1.0,NORMAL,2025 USTore TBS.xlsx,JAN 2025 - TBS
2025-01-12,Jacket,Jacket,GT 375,3.0,NORMAL,2025 USTore TBS.xlsx,JAN 2025 - TBS
2025-01-17,Jacket,Jacket,GT 375,1.0,NORMAL,2025 USTore TBS.xlsx,JAN 2025 - TBS
2025-01-20,Jacket,Jacket,GT 375,2.0,NORMAL,2025 USTore TBS.xlsx,JAN 2025 - TBS
2025-01-21,Jacket,Jacket,GT 375,1.0,NORMAL,2025 USTore TBS.xlsx,JAN 2025 - TBS
2025-01-22,Jacket,Jacket,GT 375,2.0,NORMAL,2025 USTore TBS.xlsx,JAN 2025 - TBS
2025-01-23,Jacket,Jacket,GT 375,1.0,NORMAL,2025 USTore TBS.xlsx,JAN 2025 - TBS
2025-01-30,Jacket,Jacket,GT 375,2.0,NORMAL,2025 USTore TBS.xlsx,JAN 2025 - TBS
2025-01-31,Jacket,Jacket,GT 375,1.0,NORMAL,2025 USTore TBS.xlsx,JAN 2025 - TBS
2025-01-08,Corp Jacket,Corp Jacket,GT 375,2.0,NORMAL,2025 USTore TBS.xlsx,JAN 2025 - TBS
2025-01-10,Corp Jacket,Corp Jacket,GT 375,2.0,NORMAL,2025 USTore TBS.xlsx,JAN 2025 - TBS
2025-01-12,Corp Jacket,Corp Jacket,GT 375,4.0,NORMAL,2025 USTore TBS.xlsx,JAN 2025 - TBS
2025-01-20,Corp Jacket,Corp Jacket,GT 375,1.0,NORMAL,2025 USTore TBS.xlsx,JAN 2025 - TBS
2025-01-21,Corp Jacket,Corp Jacket,GT 375,6.0,NORMAL,2025 USTore TBS.xlsx,JAN 2025 - TBS
2025-01-22,Corp Jacket,Corp Jacket,GT 375,2.0,NORMAL,2025 USTore TBS.xlsx,JAN 2025 - TBS
2025-01-23,Corp Jacket,Corp Jacket,GT 375,1.0,NORMAL,2025 USTore TBS.xlsx,JAN 2025 - TBS
2025-01-25,Corp Jacket,Corp Jacket,GT 375,1.0,NORMAL,2025 USTore TBS.xlsx,JAN 2025 - TBS
2025-01-29,Corp Jacket,Corp Jacket,GT 375,1.0,NORMAL,2025 USTore TBS.xlsx,JAN 2025 - TBS
2025-01-31,Corp Jacket,Corp Jacket,GT 375,1.0,NORMAL,2025 USTore TBS.xlsx,JAN 2025 - TBS
2025-01-10,Corp Windbreaker,Corp Windbreaker,GT 375,1.0,NORMAL,2025 USTore TBS.xlsx,JAN 2025 - TBS
2025-01-12,Corp Windbreaker,Corp Windbreaker,GT 375,6.0,NORMAL,2025 USTore TBS.xlsx,JAN 2025 - TBS
2025-01-16,Corp Windbreaker,Corp Windbreaker,GT 375,1.0,NORMAL,2025 USTore TBS.xlsx,JAN 2025 - TBS
2025-01-22,Corp Windbreaker,Corp Windbreaker,GT 375,2.0,NORMAL,2025 USTore TBS.xlsx,JAN 2025 - TBS
2025-01-27,Corp Windbreaker,Corp Windbreaker,GT 375,1.0,NORMAL,2025 USTore TBS.xlsx,JAN 2025 - TBS
2025-01-29,Corp Windbreaker,Corp Windbreaker,GT 375,1.0,NORMAL,2025 USTore TBS.xlsx,JAN 2025 - TBS
2025-01-30,Corp Windbreaker,Corp Windbreaker,GT 375,2.0,NORMAL,2025 USTore TBS.xlsx,JAN 2025 - TBS
2025-01-31,Corp Windbreaker,Corp Windbreaker,GT 375,2.0,NORMAL,2025 USTore TBS.xlsx,JAN 2025 - TBS
2025-01-07,Cotton Brush Jacket,Cotton Brush Jacket,GT 375,2.0,NORMAL,2025 USTore TBS.xlsx,JAN 2025 - TBS
2025-01-10,Cotton Brush Jacket,Cotton Brush Jacket,GT 375,1.0,NORMAL,2025 USTore TBS.xlsx,JAN 2025 - TBS
2025-01-12,Cotton Brush Jacket,Cotton Brush Jacket,GT 375,13.0,NORMAL,2025 USTore TBS.xlsx,JAN 2025 - TBS
2025-01-15,Cotton Brush Jacket,Cotton Brush Jacket,GT 375,5.0,NORMAL,2025 USTore TBS.xlsx,JAN 2025 - TBS
2025-01-16,Cotton Brush Jacket,Cotton Brush Jacket,GT 375,1.0,NORMAL,2025 USTore TBS.xlsx,JAN 2025 - TBS
2025-01-17,Cotton Brush Jacket,Cotton Brush Jacket,GT 375,6.0,NORMAL,2025 USTore TBS.xlsx,JAN 2025 - TBS
2025-01-18,Cotton Brush Jacket,Cotton Brush Jacket,GT 375,1.0,NORMAL,2025 USTore TBS.xlsx,JAN 2025 - TBS
2025-01-21,Cotton Brush Jacket,Cotton Brush Jacket,GT 375,1.0,NORMAL,2025 USTore TBS.xlsx,JAN 2025 - TBS
2025-01-22,Cotton Brush Jacket,Cotton Brush Jacket,GT 375,1.0,NORMAL,2025 USTore TBS.xlsx,JAN 2025 - TBS
2025-01-24,Cotton Brush Jacket,Cotton Brush Jacket,GT 375,1.0,NORMAL,2025 USTore TBS.xlsx,JAN 2025 - TBS
2025-01-27,Cotton Brush Jacket,Cotton Brush Jacket,GT 375,1.0,NORMAL,2025 USTore TBS.xlsx,JAN 2025 - TBS
2025-01-30,Cotton Brush Jacket,Cotton Brush Jacket,GT 375,2.0,NORMAL,2025 USTore TBS.xlsx,JAN 2025 - TBS
2025-01-31,Cotton Brush Jacket,Cotton Brush Jacket,GT 375,8.0,NORMAL,2025 USTore TBS.xlsx,JAN 2025 - TBS
2025-01-12,Poloshirt 123456 @860,Poloshirt 123456 @860,GT 375,1.0,NORMAL,2025 USTore TBS.xlsx,JAN 2025 - TBS
2025-01-22,Poloshirt 123456 @860,Poloshirt 123456 @860,GT 375,1.0,NORMAL,2025 USTore TBS.xlsx,JAN 2025 - TBS
2025-01-07,Poloshirt @800,Poloshirt @800,GT 375,1.0,NORMAL,2025 USTore TBS.xlsx,JAN 2025 - TBS
2025-01-08,Poloshirt @800,Poloshirt @800,GT 375,1.0,NORMAL,2025 USTore TBS.xlsx,JAN 2025 - TBS
2025-01-10,Poloshirt @800,Poloshirt @800,GT 375,1.0,NORMAL,2025 USTore TBS.xlsx,JAN 2025 - TBS
2025-01-12,Poloshirt @800,Poloshirt @800,GT 375,10.0,NORMAL,2025 USTore TBS.xlsx,JAN 2025 - TBS
2025-01-15,Poloshirt @800,Poloshirt @800,GT 375,1.0,NORMAL,2025 USTore TBS.xlsx,JAN 2025 - TBS
2025-01-16,Poloshirt @800,Poloshirt @800,GT 375,1.0,NORMAL,2025 USTore TBS.xlsx,JAN 2025 - TBS
2025-01-17,Poloshirt @800,Poloshirt @800,GT 375,1.0,NORMAL,2025 USTore TBS.xlsx,JAN 2025 - TBS
2025-01-20,Poloshirt @800,Poloshirt @800,GT 375,2.0,NORMAL,2025 USTore TBS.xlsx,JAN 2025 - TBS
2025-01-21,Poloshirt @800,Poloshirt @800,GT 375,2.0,NORMAL,2025 USTore TBS.xlsx,JAN 2025 - TBS
2025-01-23,Poloshirt @800,Poloshirt @800,GT 375,1.0,NORMAL,2025 USTore TBS.xlsx,JAN 2025 - TBS
2025-01-24,Poloshirt @800,Poloshirt @800,GT 375,1.0,NORMAL,2025 USTore TBS.xlsx,JAN 2025 - TBS
2025-01-30,Poloshirt @800,Poloshirt @800,GT 375,1.0,NORMAL,2025 USTore TBS.xlsx,JAN 2025 - TBS
2025-01-31,Poloshirt @800,Poloshirt @800,GT 375,70.0,NORMAL,2025 USTore TBS.xlsx,JAN 2025 - TBS
2025-01-12,VB Jersey without Sig @1500,VB Jersey without Sig @1500,VB Jersey without Sig @1000,3.0,NORMAL,2025 USTore TBS.xlsx,JAN 2025 - TBS
2025-01-21,VB Jersey without Sig @1500,VB Jersey without Sig @1500,VB Jersey without Sig @1000,1.0,NORMAL,2025 USTore TBS.xlsx,JAN 2025 - TBS
