method,mae,rmse,mase,mase_median,mae_median,wmape_pct,mape_pct,bias,mase_n_skus,n_skus,n_folds,wmape_pooled_pct,mean_demand_30d,mae_pct_of_demand,rmse_pct_of_demand,mase_pct,pct_better_than_naive_mae,pct_better_than_naive_rmse,pct_better_than_naive_mase,arm,series_days
tsb [control],42.372943984367545,63.60111293148339,3.450470984369979,1.5410955525359964,28.064894582617963,83.06134616645971,365.91052103744954,0.9784669721784396,58,58,696,79.22091227635806,53.48706896551725,79.22091227635804,118.90932549040329,345.0470984369979,,,,real only,821
rolling_mean_30 [control],40.02155172413793,61.083394834203794,3.4682425053902928,1.6365792067417895,26.833333333333336,83.74675616351306,386.75462327053225,1.6566091954022983,58,58,696,74.82472399065195,53.48706896551725,74.82472399065193,114.20217262902149,346.82425053902926,,,,real only,821
xgboost,52.23421112303595,75.8961273403516,4.265468200366654,2.3107380533866917,34.6175297430406,116.52931172271043,394.4163662699364,3.481011820144833,58,58,696,97.65764348895432,53.48706896551725,97.65764348895429,141.89621680201117,426.5468200366654,,,,real only,821
lightgbm,51.637678153865565,73.99494249548094,4.297083205245004,2.0472377426810713,35.5646910257599,110.44469858836918,389.7443046196004,2.9932355643360324,58,58,696,96.54235902729317,53.48706896551725,96.54235902729316,138.34174114716396,429.7083205245004,,,,real only,821
ridge,84.40003547622409,179.9244518755496,6.985238643515551,2.4831763093129955,38.54146974587607,196.2026312809988,438.85284329348434,40.11110625385439,58,58,696,157.79521500913845,53.48706896551725,157.79521500913842,336.3886923614111,698.5238643515551,,,,real only,821
tsb [control],42.007605632623516,62.9470286716524,1.4607191711825869,1.4761020170367631,27.636849597101595,81.00248814099919,363.6355767308635,0.642988530231311,58,58,696,78.53787176056615,53.48706896551725,78.53787176056615,117.68644251610407,146.07191711825868,,,,+synthetic (iid),1916
rolling_mean_30 [control],40.02155172413793,61.083394834203794,1.47870510614792,1.5728312519889647,26.833333333333336,83.74675616351306,386.75462327053225,1.6566091954022983,58,58,696,74.82472399065195,53.48706896551725,74.82472399065193,114.20217262902149,147.87051061479198,,,,+synthetic (iid),1916
ridge,46.07074993920437,67.12686294780251,1.8480167164326162,1.736428770195365,33.300556184225385,103.51056320895515,278.0457951270359,-9.428930621812935,58,58,696,86.13437010150223,53.48706896551725,86.13437010150223,125.50110568047529,184.8016716432616,,,,+synthetic (iid),1916
lightgbm,46.689437934334016,68.14806379601305,1.8640634100711293,1.6282841401267056,34.95415950295025,107.87540694730309,304.71749336133325,-6.223624282395781,58,58,696,87.29107583822622,53.48706896551725,87.2910758382262,127.41035378092532,186.40634100711293,,,,+synthetic (iid),1916
xgboost,47.42419029251223,68.93417429078737,1.8759420654232528,1.6472542411964985,34.949050082534086,107.99766463320556,287.69889530052615,-4.857292237601929,58,58,696,88.66477675769875,53.48706896551725,88.66477675769873,128.8800744255191,187.59420654232528,,,,+synthetic (iid),1916
rolling_mean_30 [control],40.02155172413793,61.083394834203794,1.2215663559101766,1.1255781381886716,26.833333333333336,83.74675616351306,386.75462327053225,1.6566091954022983,58,58,696,74.82472399065195,53.48706896551725,74.82472399065193,114.20217262902149,122.15663559101766,,,,+synthetic (block-14),1916
tsb [control],42.14704959354891,63.033101181574736,1.2262438523878254,1.0430841372592592,28.197686396101773,81.80747488715686,365.4679172263944,0.9464790857796546,58,58,696,78.79857769121882,53.48706896551725,78.79857769121884,117.84736460734416,122.62438523878254,,,,+synthetic (block-14),1916
ridge,42.643682614218235,60.72462540228724,1.4782065440604484,1.2556151917681833,31.097360343527917,95.0817841653152,288.90547475525796,-13.146759943256807,58,58,696,79.72708813360165,53.48706896551725,79.72708813360164,113.53141343646254,147.82065440604484,,,,+synthetic (block-14),1916
lightgbm,45.955713986967105,64.23439785033393,1.5380566281231778,1.4125342942073875,33.449079196881684,104.41252252691844,293.78097025965104,-8.672460232426438,58,58,696,85.91929764667877,53.48706896551725,85.91929764667874,120.09332179287186,153.8056628123178,,,,+synthetic (block-14),1916
xgboost,46.40845730699513,64.41928871637234,1.5571652120918074,1.4159371822093612,33.920112142960235,107.6434013382533,296.12870775102857,-6.392923847311873,58,58,696,86.76575143220946,53.48706896551725,86.76575143220943,120.43899574662245,155.71652120918074,,,,+synthetic (block-14),1916
