fold,origin,origin_date,sku,category,actual_30d,naive_denom,arm,method,yhat,abs_err,sq_err,mase
0,461,2025-08-06,29,Keychains & Charms,108.0,28.428571428571427,per-SKU,persku_rolling_mean_30,45.99999999999999,62.00000000000001,3844.000000000001,2.1809045226130657
0,461,2025-08-06,29,Keychains & Charms,108.0,28.428571428571427,per-SKU,persku_rolling_mean_180,61.49999999999998,46.50000000000002,2162.250000000002,1.6356783919598
0,461,2025-08-06,29,Keychains & Charms,108.0,28.428571428571427,per-SKU,persku_tsb,60.21072952269846,47.78927047730154,2283.814372752685,1.6810296147794512
0,461,2025-08-06,29,Keychains & Charms,108.0,28.428571428571427,per-SKU,persku_ewma_a0.1,79.64697054485472,28.353029455145276,803.8942792843357,0.9973427446533515
0,461,2025-08-06,29,Keychains & Charms,108.0,28.428571428571427,top-down,topdown_RM6_180,77.3505154639175,30.649484536082497,939.3909023275601,1.0781225716209923
0,461,2025-08-06,29,Keychains & Charms,108.0,28.428571428571427,top-down,topdown_rolling_mean_30,65.30412371134021,42.69587628865979,1822.9378520565413,1.501864995078485
0,461,2025-08-06,29,Keychains & Charms,108.0,28.428571428571427,top-down,topdown_tsb,72.51464130000907,35.485358699990925,1259.2106820670217,1.2482286979896307
0,461,2025-08-06,39,Plush & Souvenirs,0.0,0.0,per-SKU,persku_rolling_mean_30,0.0,0.0,0.0,
0,461,2025-08-06,39,Plush & Souvenirs,0.0,0.0,per-SKU,persku_rolling_mean_180,0.0,0.0,0.0,
0,461,2025-08-06,39,Plush & Souvenirs,0.0,0.0,per-SKU,persku_tsb,0.0,0.0,0.0,
0,461,2025-08-06,39,Plush & Souvenirs,0.0,0.0,per-SKU,persku_ewma_a0.1,0.0,0.0,0.0,
0,461,2025-08-06,39,Plush & Souvenirs,0.0,0.0,top-down,topdown_RM6_180,0.0,0.0,0.0,
0,461,2025-08-06,39,Plush & Souvenirs,0.0,0.0,top-down,topdown_rolling_mean_30,0.0,0.0,0.0,
0,461,2025-08-06,39,Plush & Souvenirs,0.0,0.0,top-down,topdown_tsb,0.0,0.0,0.0,
0,461,2025-08-06,48,Umbrellas & Gear,0.0,0.0,per-SKU,persku_rolling_mean_30,0.0,0.0,0.0,
0,461,2025-08-06,48,Umbrellas & Gear,0.0,0.0,per-SKU,persku_rolling_mean_180,0.0,0.0,0.0,
0,461,2025-08-06,48,Umbrellas & Gear,0.0,0.0,per-SKU,persku_tsb,0.0,0.0,0.0,
0,461,2025-08-06,48,Umbrellas & Gear,0.0,0.0,per-SKU,persku_ewma_a0.1,0.0,0.0,0.0,
0,461,2025-08-06,48,Umbrellas & Gear,0.0,0.0,top-down,topdown_RM6_180,0.0,0.0,0.0,
0,461,2025-08-06,48,Umbrellas & Gear,0.0,0.0,top-down,topdown_rolling_mean_30,0.0,0.0,0.0,
0,461,2025-08-06,48,Umbrellas & Gear,0.0,0.0,top-down,topdown_tsb,0.0,0.0,0.0,
0,461,2025-08-06,54,Stationery,114.0,12.714285714285714,per-SKU,persku_rolling_mean_30,53.999999999999986,60.000000000000014,3600.000000000002,4.719101123595507
0,461,2025-08-06,54,Stationery,114.0,12.714285714285714,per-SKU,persku_rolling_mean_180,49.0,65.0,4225.0,5.1123595505617985
0,461,2025-08-06,54,Stationery,114.0,12.714285714285714,per-SKU,persku_tsb,64.72970101943592,49.27029898056408,2427.5623616341736,3.8751920546511074
0,461,2025-08-06,54,Stationery,114.0,12.714285714285714,per-SKU,persku_ewma_a0.1,75.76460138342405,38.23539861657595,1461.945707368458,3.0072785428767603
0,461,2025-08-06,54,Stationery,114.0,12.714285714285714,top-down,topdown_RM6_180,82.77891621129326,31.221083788706736,974.7560729414465,2.4555908597859233
0,461,2025-08-06,54,Stationery,114.0,12.714285714285714,top-down,topdown_rolling_mean_30,49.48497267759563,64.51502732240436,4162.188750410582,5.07421563209922
0,461,2025-08-06,54,Stationery,114.0,12.714285714285714,top-down,topdown_tsb,51.99973667429416,62.00026332570584,3844.0326524568645,4.876425205392594
0,461,2025-08-06,55,Stationery,0.0,0.0,per-SKU,persku_rolling_mean_30,0.0,0.0,0.0,
0,461,2025-08-06,55,Stationery,0.0,0.0,per-SKU,persku_rolling_mean_180,0.0,0.0,0.0,
0,461,2025-08-06,55,Stationery,0.0,0.0,per-SKU,persku_tsb,0.0,0.0,0.0,
0,461,2025-08-06,55,Stationery,0.0,0.0,per-SKU,persku_ewma_a0.1,0.0,0.0,0.0,
0,461,2025-08-06,55,Stationery,0.0,0.0,top-down,topdown_RM6_180,0.0,0.0,0.0,
0,461,2025-08-06,55,Stationery,0.0,0.0,top-down,topdown_rolling_mean_30,0.0,0.0,0.0,
0,461,2025-08-06,55,Stationery,0.0,0.0,top-down,topdown_tsb,0.0,0.0,0.0,
0,461,2025-08-06,74,Bags,0.0,0.0,per-SKU,persku_rolling_mean_30,0.0,0.0,0.0,
0,461,2025-08-06,74,Bags,0.0,0.0,per-SKU,persku_rolling_mean_180,0.0,0.0,0.0,
0,461,2025-08-06,74,Bags,0.0,0.0,per-SKU,persku_tsb,0.0,0.0,0.0,
0,461,2025-08-06,74,Bags,0.0,0.0,per-SKU,persku_ewma_a0.1,0.0,0.0,0.0,
0,461,2025-08-06,74,Bags,0.0,0.0,top-down,topdown_RM6_180,0.0,0.0,0.0,
0,461,2025-08-06,74,Bags,0.0,0.0,top-down,topdown_rolling_mean_30,0.0,0.0,0.0,
