date_id,calendar_date,semester_id,semester_week,is_enrollment_period,is_exam_week,is_event_day,is_sem_break,is_tally_date,is_store_closed
1,2023-01-01,,,0,0,0,0,0,0
2,2023-01-02,,,0,0,0,0,0,0
3,2023-01-03,,,0,0,0,0,0,0
4,2023-01-04,,,0,0,0,0,0,0
5,2023-01-05,,,0,0,0,0,0,0
6,2023-01-06,,,0,0,0,0,0,0
7,2023-01-07,,,0,0,0,0,0,0
8,2023-01-08,,,0,0,0,0,0,0
9,2023-01-09,AY2223-T2,1,0,0,0,0,0,1
10,2023-01-10,AY2223-T2,1,1,0,0,0,0,0
11,2023-01-11,AY2223-T2,1,1,0,0,0,0,0
12,2023-01-12,AY2223-T2,1,1,0,0,0,0,0
13,2023-01-13,AY2223-T2,1,1,0,0,0,0,0
14,2023-01-14,AY2223-T2,1,1,0,0,0,0,0
15,2023-01-15,AY2223-T2,1,1,0,0,0,0,0
16,2023-01-16,AY2223-T2,2,1,0,0,0,0,0
17,2023-01-17,AY2223-T2,2,0,0,0,0,0,0
18,2023-01-18,AY2223-T2,2,0,0,0,0,0,0
19,2023-01-19,AY2223-T2,2,0,0,0,0,0,0
20,2023-01-20,AY2223-T2,2,0,0,0,0,0,0
21,2023-01-21,AY2223-T2,2,0,0,0,0,0,0
22,2023-01-22,AY2223-T2,2,0,0,0,0,0,0
23,2023-01-23,AY2223-T2,3,0,0,0,0,0,0
24,2023-01-24,AY2223-T2,3,0,0,0,0,0,0
25,2023-01-25,AY2223-T2,3,0,0,0,0,0,0
26,2023-01-26,AY2223-T2,3,0,0,0,0,0,0
27,2023-01-27,AY2223-T2,3,0,0,0,0,0,0
28,2023-01-28,AY2223-T2,3,0,0,1,0,0,0
29,2023-01-29,AY2223-T2,3,0,0,0,0,0,0
30,2023-01-30,AY2223-T2,4,0,0,0,0,0,0
31,2023-01-31,AY2223-T2,4,0,0,0,0,0,0
32,2023-02-01,AY2223-T2,4,0,0,0,0,0,0
33,2023-02-02,AY2223-T2,4,0,0,0,0,0,0
34,2023-02-03,AY2223-T2,4,0,0,0,0,0,0
35,2023-02-04,AY2223-T2,4,0,0,0,0,0,0
36,2023-02-05,AY2223-T2,4,0,0,0,0,0,0
37,2023-02-06,AY2223-T2,5,0,0,0,0,0,0
38,2023-02-07,AY2223-T2,5,0,0,0,0,0,0
39,2023-02-08,AY2223-T2,5,0,0,0,0,0,0
40,2023-02-09,AY2223-T2,5,0,0,0,0,0,0
41,2023-02-10,AY2223-T2,5,0,0,0,0,0,0
42,2023-02-11,AY2223-T2,5,0,0,0,0,0,0
43,2023-02-12,AY2223-T2,5,0,0,0,0,0,0
44,2023-02-13,AY2223-T2,6,0,0,0,0,0,0
45,2023-02-14,AY2223-T2,6,0,0,0,0,0,0
46,2023-02-15,AY2223-T2,6,0,0,0,0,0,0
47,2023-02-16,AY2223-T2,6,0,0,0,0,0,0
48,2023-02-17,AY2223-T2,6,0,0,0,0,0,0
49,2023-02-18,AY2223-T2,6,0,0,0,0,0,0
50,2023-02-19,AY2223-T2,6,0,0,0,0,0,0
51,2023-02-20,AY2223-T2,7,0,0,0,0,0,0
52,2023-02-21,AY2223-T2,7,0,0,0,0,0,0
53,2023-02-22,AY2223-T2,7,0,0,0,0,0,0
54,2023-02-23,AY2223-T2,7,0,0,0,0,0,0
55,2023-02-24,AY2223-T2,7,0,0,0,0,0,0
56,2023-02-25,AY2223-T2,7,0,0,0,0,0,1
57,2023-02-26,AY2223-T2,7,0,0,0,0,0,0
58,2023-02-27,AY2223-T2,8,0,0,0,0,0,0
59,2023-02-28,AY2223-T2,8,0,0,0,0,0,0
60,2023-03-01,AY2223-T2,8,0,0,0,0,0,0
61,2023-03-02,AY2223-T2,8,0,0,0,0,0,0
62,2023-03-03,AY2223-T2,8,0,0,0,0,0,0
63,2023-03-04,AY2223-T2,8,0,0,0,0,0,0
64,2023-03-05,AY2223-T2,8,0,0,0,0,0,0
