anchor_month,term_tag,n_skus_eligible,n_skus_positive_30d,n_skus_positive_365d,pct_positive_30d,median_add,total_units_30d,days_available
2024-05,AY2324-T2,266,56,56,21.1,0.9333,4022.0,30
2024-06,AY2324-ST*,266,0,56,0.0,0.0,0.0,60
2024-07,AY2324-ST,266,0,56,0.0,0.0,0.0,91
2024-08,AY2425-T1,266,44,70,16.5,0.1667,545.0,122
2024-09,AY2425-T1,266,37,75,13.9,0.1,266.0,152
2024-10,AY2425-T1,266,58,83,21.8,0.6667,2571.0,183
2024-11,AY2425-T1,266,54,88,20.3,0.4833,2003.0,213
2024-12,AY2425-T1,266,56,98,21.1,0.8,3664.0,244
2025-01,AY2425-T2*,266,59,100,22.2,0.5,2926.0,275
2025-02,AY2425-T2,266,63,109,23.7,1.0667,3092.0,303
2025-03,AY2425-T2,266,67,120,25.2,0.7,2800.0,334
2025-04,AY2425-T2,266,67,124,25.2,0.5333,1799.0,364
2025-05,AY2425-T2,266,88,124,33.1,0.8667,4849.0,395
2025-06,AY2425-ST*,266,93,132,35.0,0.8667,4854.0,425
2025-07,AY2425-ST,266,81,141,30.5,0.2667,1200.0,456
2025-08,AY2526-T1,266,98,152,36.8,0.6,6318.0,487
2025-09,AY2526-T1,266,104,164,39.1,0.6667,5737.0,517
2025-10,AY2526-T1,266,100,164,37.6,0.8333,5061.0,548
2025-11,AY2526-T1,266,107,178,40.2,0.4333,3378.0,578
2025-12,AY2526-T1,266,116,184,43.6,0.6667,6162.0,609
2026-01,AY2526-T2*,266,104,189,39.1,0.7,6092.0,640
2026-02,AY2526-T2,266,108,194,40.6,0.65,5036.0,668
2026-03,AY2526-T2,266,108,206,40.6,0.3667,2757.0,699
2026-04,AY2526-T2,266,114,216,42.9,0.3667,2637.0,729
2026-05,AY2526-T2,266,120,211,45.1,0.55,3940.0,760
2026-06,AY2526-ST*,266,130,212,48.9,0.6167,6847.0,790
2026-07,AY2526-ST,266,79,208,29.7,0.1333,926.0,821
