item_name,fsn_class,supplier_name
(white/black/yellow line design),N,
1.5L Tumbler (MTA-T150) for Carbonated drinks,N,
1.75 Glitter Button Pin (typographic),N,
1.75 Glossy Button Pin (typographic),N,
1.75 Matte Button Pin (typographic),N,
2 Color Polo Shirt (tiger pattern color),N,
2 Color Polo Shirt (white w/black collar),N,
2 Color Polo Shirt (white w/black scratch),N,
2 Color Polo Shirt (white w/black sleeves),N,
2 Color Polo Shirt (white w/black top w/yellow line),N,
2 Color Polo Shirt (white w/yellow collar),N,
2 Color Polo Shirt (white w/yellow sleeves),N,
2 Color Polo Shirt (yellow w/black collar),N,
2 Color Polo Shirt (yelow w/black scratch),N,
2.25 Glitter Button Pin (main building),N,
2.25 Glossy Button Pin (main building),N,
2.25 Matte Button Pin (main building),N,
3 Color Polo Shirt,N,
800ml Sports Tumbler (MCZ-2080) screw lid anti bacterial,N,TIGER FLASK
Alessandrini,N,
Arch,N,
Arch Clicker,N,
Architecture (maroon/yellow),N,
Arts & Letters Shirt (blue/gray),N,
Athletic Shirt V2(Yellow UAAP Shirt),N,
Athletic V.1,N,
Athletic V.2,N,
Back pack,N,NAPOLIZ ENTERPRISES
Ballpen (display included),N,
Ballpen w/ Box,N,
"Baseball Shirt (Y,W)",N,JYL ATHLETICA
Basketball V.1,N,
Basketball V.2,N,
Big Handcrafted Sling Bag,N,
Big Handcrafted Tote Bag,N,
Big Tiger,N,
Big Tiger (display Included),N,
Black Aquaflask (display included),N,
Black Blaze Polo Shirt,N,
Black Click Pen,N,
Black Embro,N,BLAZE
Black Embro Varsity Jacket,N,
Black Golden Tigresses,N,
Black Golf Umbrella,N,
Black Happy Tiger,N,
Black Hoodie w/ Tigers Lettering,N,
Black Keep Growling Oversized Shirt,N,
Black Oat Hoodie,N,
Black Oat Mug,N,
Black Oat Shirt,N,
Black Pen 1 line,N,
Black Pen 2 lines,N,
Black Quiana Two Toned,N,
Black Script Shirt,N,
Black Shorts,N,
Black Sporty Shirt,N,
Black Sporty Sweatshirt,N,
Black Tiger Pattern,N,
Black UAAP Subli Polo Shirt,N,
