item_name,fsn_class,supplier_name,first_sale,total_units
UST T-Shirt Santo Tomas Shirt/UST T-Shirt Tiger Pattern/HAPPY,F,JUC,2024-08-06,6637
UST OAT T-Shirt Y/B/COLLEGE,F,JUC,2024-08-06,3919
UST College ID Lace,F,JUC,2024-05-02,3107
MJ Sticker Small,F,USTORE,2025-02-03,2156
5M Rotating Keychain,F,USTORE,2025-05-02,1731
C. Keychain,F,USTORE,2024-08-06,1701
MJ Sticker Medium,F,USTORE,2025-02-03,1625
MJ Sticker Large,F,USTORE,2025-02-03,881
Tote (Viva),F,USTORE,2024-12-06,832
Hoodies Breaker,S,NAPOLIZ ENTERPRISES,2024-05-02,762
"UST OAT MUG (Y,W,B)",F,JUC,2025-08-01,747
UST T-Shirt Santo Tomas Shirt/UST T-Shirt Tiger Pattern/HAPPY/Script,F,JUC,2026-04-05,727
Corp Jacket V2,S,STITCH CORP.,2025-06-02,636
"QUIANA SUBLI SHIRT (B&Y), 2 TONED",F,JYL ATHLETICA,2026-01-07,634
5M Magnetic Pin,S,USTORE,2025-05-02,628
UST Sweatshirt Sporty,S,JUC,2024-08-13,582
UST OAT MUG (Y/B inside),F,JUC,2024-05-02,552
UST OAT T-Shirt Y/B/COLLEGE (XS-2XL),F,JUC,2026-03-02,550
DRI-FIT NEW,S,JYL ATHLETICA,2024-12-02,513
Tiger Plushie Small,F,USTORE,2025-11-05,483
ID Case,F,USTORE,2025-03-03,455
Cotton Brush Jacket,S,JYL ATHLETICA,2024-12-11,448
Aquaflask,S,USTORE,2025-02-03,431
VL Sticker Pack,S,VARSITY LIFESTYLE,2024-10-20,423
UST Keyboard Clicker (Fidget),F,THREADMARKED,2026-04-05,406
Tiger Plushie Big,S,USTORE,2025-11-05,368
New GT Shirts,S,VARSITY LIFESTYLE,2024-10-20,361
Automatic Umbrella,F,USTORE,2026-01-07,339
Button Pin (Big),S,USTORE,2025-07-01,332
"Y,B VL UST",S,VARSITY LIFESTYLE,2026-01-07,325
UST-Pen W/Box,S,NEW TRENDS,2024-10-01,319
Tiger Headband (2 Designs),S,MADEBYRUZ CONSUMER GOODS TRADING,2025-08-01,309
"UST OAT MUG (Y,W)",F,JUC,2025-09-01,306
UST OAT MUG (B),F,JUC,2025-09-01,301
Chibi Stickers,S,USTORE,2025-11-05,292
"UST Embro OS (B,V)",F,THREADMARKED,2026-02-01,286
BASE BALL SHIRT,S,JYL ATHLETICA,2024-08-13,262
Dri-Fit Golden Tigresses,S,JYL ATHLETICA,2026-02-01,247
"Double Canopy (B,Y)",S,STITCH CORP.,2026-03-02,232
Button Pin (Small),S,USTORE,2025-11-05,224
White Embro,S,BLAZE,2025-04-02,201
New Tiger Plushie Small,F,USTORE,2024-08-06,199
Cotton Gray Jacket,S,JYL ATHLETICA,2025-03-03,187
Triple Black Embro,S,BLAZE,2025-06-02,177
Corp Jacket V3,S,JYL ATHLETICA,2025-12-07,176
Sci Totebag,S,COLLEGE OF SCIENCE AT 100,2026-04-05,171
"Chibi Stickers (S1,S2)",S,USTORE,2025-07-01,167
Corp Jacket v.3,S,,2024-08-13,160
New Tiger Plushie Big,F,USTORE,2024-08-06,134
Small Mystery Car,S,MADEBYRUZ CONSUMER GOODS TRADING,2025-06-02,126
Machete V2,S,JYL ATHLETICA,2025-09-01,125
Stainless Eco Tumbler,S,USTORE,2025-08-01,125
"UST 1611 Embro Shirt (B,V)",S,THREADMARKED,2026-04-05,122
VL Keychain,S,VARSITY LIFESTYLE,2026-03-02,110
"Keep Growling OS (B,V)",S,THREADMARKED,2026-02-01,103
Varsity Jacket Embro,S,THREADMARKED,2026-03-02,94
Eco Bag @ 130,S,TET AND DARS,2024-05-02,85
Black w/ Yellow UST Embro,S,BLAZE,2026-03-02,73
Jersey Short,S,JYL ATHLETICA,2026-02-01,73
Button Pins Small,S,USTORE,2025-07-01,69
UST OAT MUG (Pure Black),S,JUC,2026-01-07,69
S88 UAAP Poloshirt,S,SHIRT HAPPENS,2026-03-02,65
Go Fight UST Shirt,S,SHIRT HAPPENS,2025-12-07,64
Tiger BUNDLE,S,USTORE,2024-10-09,63
UST College ID Lace / GENERIC Lace,F,JUC,2024-12-02,61
UST T-Shirt Sporty UPSIZE (3XL-5XL),S,JUC,2025-03-03,55
Ceramic Mug 18oz,S,TOP GUN PHILS.,2026-03-02,54
UST Arch Clicker,S,MADEBYRUZ CONSUMER GOODS TRADING,2026-03-02,54
Tiger Costume,S,MADEBYRUZ CONSUMER GOODS TRADING,2025-06-02,45
UST T-Shirt (College Shirt),F,JUC,2024-05-02,44
UST Logo Embro Polo Shirt (XS-XL),S,THREADMARKED,2026-04-05,43
USTORE Voucher (1000),S,USTORE,2025-05-02,39
IPEA Shirt,S,IPEA,2024-08-13,34
