product_id,item_name,n_obs,n_test,n_test_break,naive_last_MAE,naive_last_RMSE,naive_last_MAPE,naive_last_MAPE_sem,naive_last_MAE_break,naive_mean_MAE,naive_mean_RMSE,naive_mean_MAPE,naive_mean_MAPE_sem,naive_mean_MAE_break,prophet_base_MAE,prophet_base_RMSE,prophet_base_MAPE,prophet_base_MAPE_sem,prophet_base_MAE_break,prophet_reg_MAE,prophet_reg_RMSE,prophet_reg_MAPE,prophet_reg_MAPE_sem,prophet_reg_MAE_break,prophet_tuned_MAE,prophet_tuned_RMSE,prophet_tuned_MAPE,prophet_tuned_MAPE_sem,prophet_tuned_MAE_break,prophet_flatlog_MAE,prophet_flatlog_RMSE,prophet_flatlog_MAPE,prophet_flatlog_MAPE_sem,prophet_flatlog_MAE_break
28,5M Magnetic Pin,124,25,2,1.04,1.47,36.3,39.5,0.0,3.728,3.87,267.2,249.0,4.768,27.597,71.573,1563.1,1582.2,13.433,12.861,45.276,642.3,689.5,1.0,15.046,15.655,1011.4,966.5,15.283,1.846,2.442,144.3,129.5,3.15
29,5M Rotating Keychain,181,36,4,5.0,7.024,69.7,68.3,7.0,5.961,6.583,222.3,235.3,5.679,6.78,8.588,188.8,175.2,12.33,6.778,8.554,185.3,173.8,11.245,8.594,9.317,305.7,320.1,7.847,3.238,5.583,47.0,43.6,6.643
33,ABSC College Shirt (60th),78,16,0,2.75,2.784,250.0,250.0,,2.137,2.181,196.4,196.4,,64.409,98.057,6087.6,6087.6,,68.02,102.696,6426.3,6426.3,,1.229,1.294,99.0,99.0,,0.757,1.208,56.7,56.7,
35,Aquaflask,136,27,2,1.111,1.466,70.4,69.3,2.5,1.977,2.106,163.2,164.8,2.5,2.646,3.008,224.6,227.7,2.587,2.707,3.251,221.9,220.0,2.663,2.753,3.051,233.8,238.3,2.535,1.067,1.4,73.0,64.9,2.503
37,Arch @320,130,26,1,2.308,4.197,38.5,37.0,3.0,2.521,3.509,123.4,127.4,0.846,2.243,3.426,81.0,82.1,2.146,2.825,4.283,82.9,82.2,4.0,2.794,3.66,153.1,158.1,1.11,2.317,3.717,80.2,81.4,2.053
38,Arch @350,63,13,0,11.692,12.366,574.8,574.8,,4.032,5.553,138.9,138.9,,25.966,31.745,1230.5,1230.5,,202.953,225.024,10096.1,10096.1,,35.398,35.794,1525.2,1525.2,,4.164,6.242,94.2,94.2,
47,Automatic Umbrella,79,16,1,3.625,4.555,146.0,151.3,12.0,3.25,4.638,89.0,89.7,14.111,4.438,5.677,91.0,92.9,11.103,60.608,70.121,2485.1,2649.9,2.329,3.679,5.054,159.5,165.0,13.636,3.437,5.134,59.9,58.8,13.73
49,BASE BALL SHIRT,113,23,0,0.913,1.922,22.4,22.4,,1.493,1.767,104.9,104.9,,6.198,7.599,505.1,505.1,,4.474,5.465,338.9,338.9,,1.647,2.446,76.8,76.8,,1.61,2.073,105.7,105.7,
55,Ballpen 2 Designs @50 (B&Y),126,25,0,26.76,54.945,64.7,64.7,,25.602,53.579,77.1,77.1,,26.68,54.876,72.7,72.7,,25.354,53.692,77.6,77.6,,25.824,53.784,85.8,85.8,,25.449,52.546,115.7,115.7,
56,"Ballpen 3 Designs @50 (B,Y,W)",94,19,3,5.684,7.934,76.3,72.3,7.667,7.461,8.492,147.0,140.1,9.436,390.686,560.997,6225.9,7379.8,6.742,89.465,126.441,1492.4,1756.4,9.703,21.973,23.694,422.1,472.9,8.83,8.702,10.458,171.9,187.0,7.524
58,Bamboo Notebook @150,88,18,1,4.556,12.936,57.5,60.8,0.0,4.683,12.459,119.9,120.9,2.029,22.893,38.252,992.1,1050.0,0.181,19.611,24.591,903.3,882.0,25.297,5.296,12.373,157.4,156.2,3.563,5.012,12.611,128.8,116.6,6.724
59,Bamboo Pen @60,103,21,2,2.048,4.053,36.4,40.3,0.0,3.033,3.619,171.2,157.9,2.976,64.854,74.964,4373.6,3870.9,91.494,61.869,71.299,4166.8,3683.5,87.579,2.611,3.922,110.5,119.3,0.269,2.011,3.764,59.7,64.1,0.18
60,Baseball Cap METAL @380,100,20,3,1.7,3.912,30.5,28.5,1.333,1.989,3.534,88.0,91.6,1.137,4.446,5.541,285.0,310.4,2.128,5.145,5.846,325.9,348.8,3.193,3.814,4.963,224.1,216.6,3.828,2.775,3.943,142.4,124.3,3.609
74,Black Eco Bag,95,19,4,17.684,20.607,519.0,634.6,17.75,14.328,20.129,210.6,255.9,18.454,171.953,207.537,5265.5,6634.4,19.18,20.737,27.728,100.0,100.0,30.25,17.648,24.721,174.4,194.2,30.25,17.313,24.431,111.6,117.2,28.454
80,Black Hoodie Embro,71,14,2,0.429,1.134,12.9,15.0,0.0,0.649,1.051,39.9,40.1,0.386,45.317,85.748,4488.9,5220.3,1.0,43.666,82.165,4323.7,5027.7,1.0,1.595,1.718,142.6,130.8,2.131,0.794,1.182,53.7,43.8,1.132
83,Black Lanyard,97,19,0,2.211,3.728,61.0,61.0,,4.07,4.317,256.9,256.9,,3.474,4.877,100.0,100.0,,3.474,4.877,100.0,100.0,,16.424,16.788,1018.6,1018.6,,3.117,3.67,171.3,171.3,
111,C. Keychain,322,64,4,4.609,7.857,51.9,49.3,10.0,4.606,6.379,181.5,190.3,5.841,5.312,8.192,94.9,95.4,9.777,5.093,7.975,92.5,92.0,11.0,5.092,8.039,89.1,88.3,11.0,3.945,6.732,85.2,86.1,8.073
123,Chibi Stickers,62,12,0,1.667,2.082,100.2,100.2,,2.75,3.073,203.2,203.2,,18.375,38.205,1397.7,1397.7,,2.833,3.512,100.0,100.0,,2.833,3.512,100.0,100.0,,1.622,2.182,63.6,63.6,
134,Corp Jacket V2,160,32,4,3.219,5.394,52.3,51.8,3.5,2.549,4.695,56.3,60.0,2.215,2.995,4.863,57.6,61.1,2.145,3.579,4.914,87.7,90.8,3.152,2.738,4.726,64.1,68.6,2.323,3.311,5.395,57.0,54.8,4.269
135,Corp Jacket V3,73,15,2,0.733,0.856,64.4,64.1,1.0,1.163,1.274,104.8,107.7,1.0,51.528,59.515,4149.3,3952.7,81.37,33.877,44.404,2666.0,2464.3,60.005,0.863,1.003,70.0,71.6,1.052,0.768,0.865,67.1,65.5,1.001
137,Corp Jacket v.3,135,27,0,0.111,0.333,5.6,5.6,,0.27,0.328,22.5,22.5,,0.378,0.489,31.9,31.9,,0.403,0.531,33.9,33.9,,0.304,0.416,25.9,25.9,,0.319,0.377,28.0,28.0,
138,Cotton Black Jacket,108,22,3,0.545,1.477,14.1,13.7,0.333,0.907,1.378,59.6,61.2,0.554,1.169,1.5,88.7,86.7,1.108,1.13,1.505,85.0,83.7,0.994,1.157,1.532,87.0,89.3,0.732,0.92,1.413,60.9,62.2,0.57
140,Cotton Brush Jacket,177,35,3,1.171,1.964,58.7,56.9,1.0,1.462,1.977,90.8,88.9,1.2,2.971,4.564,193.2,190.1,2.475,3.111,4.936,194.9,198.7,1.593,2.405,2.658,177.6,167.9,3.227,1.333,1.829,79.7,74.1,1.398
142,Cotton Gray Jacket,95,19,2,1.474,2.695,30.1,33.7,0.0,1.602,2.35,67.6,65.9,0.816,20.208,41.11,1620.9,1730.1,6.923,19.271,39.41,1546.4,1660.2,5.791,2.002,3.038,69.1,70.4,0.579,1.771,2.838,53.8,52.9,0.616
143,DRI-FIT NEW,188,38,3,0.947,1.539,30.5,30.3,0.667,1.432,1.555,113.3,114.9,1.253,1.947,2.294,100.0,100.0,1.667,1.947,2.294,100.0,100.0,1.667,1.947,2.294,100.0,100.0,1.667,1.128,1.359,75.0,74.2,1.044
153,Eco Bag @80,65,13,2,8.231,8.607,591.0,516.7,10.0,2.482,2.818,168.8,144.2,3.038,17.596,21.942,1222.0,1092.1,19.361,15.82,20.19,1050.0,904.0,18.529,3.422,3.914,242.3,210.4,4.181,2.782,3.02,198.5,173.1,3.379
169,"Go USTE (W,Y,B) @450",132,26,3,2.0,2.935,48.1,45.3,3.0,2.001,2.293,115.0,124.3,1.399,2.933,3.614,98.7,98.5,4.0,2.999,3.689,100.0,100.0,3.99,2.969,3.655,99.0,98.9,4.0,1.88,2.816,47.9,42.5,3.651
182,"Hoodie UST embro (V,G,Y,B) @1800",142,28,3,1.464,1.763,83.1,90.4,1.0,1.666,1.954,96.5,104.8,1.135,1.708,2.1,98.1,106.9,1.248,2.01,2.636,100.8,109.2,1.154,1.576,1.831,89.5,97.0,1.119,1.764,2.217,55.1,53.1,3.212
