raw_supplier,supplier_name,payment_status,row_count,note
(Paid),,PAID,574,"parser artefact - a payment-status suffix that lost its supplier name; no supplier can be recovered from these rows"
ARTS AND LETTERS (SHIRT HAPPENS),SHIRT HAPPENS,UNKNOWN,290,"faculty-commissioned run; Shirt Happens is the actual producer - confirm on the store visit"
"ASSOCIATION FOR THE EDUCATIONAL ASSISTANCE OF POOR SEMINARIANS, INC.","ASSOCIATION FOR THE EDUCATIONAL ASSISTANCE OF POOR SEMINARIANS, INC.",UNKNOWN,1401,
BLAZE,BLAZE,UNKNOWN,1687,
BLAZE (CONSIGNMENT),BLAZE,CONSIGNMENT,903,
CENTRAL SEMINARY,CENTRAL SEMINARY,UNKNOWN,339,
COLLEGE OF SCIENCE AT 100,COLLEGE OF SCIENCE AT 100,UNKNOWN,339,"a UST unit's commissioned merchandise, not a trade supplier - kept separate pending the store visit"
IPEA,IPEA,UNKNOWN,325,"a UST unit's commissioned merchandise, not a trade supplier - kept separate pending the store visit"
JUC,JUC,UNKNOWN,4469,
JUC (CONSIGNMENT),JUC,CONSIGNMENT,2856,
JYL ATHLETICA,JYL ATHLETICA,UNKNOWN,5701,
JYL ATHLETICA (CONSIGNMENT),JYL ATHLETICA,CONSIGNMENT,3718,
MADEBYRUZ CONSUMER GOODS TRADING,MADEBYRUZ CONSUMER GOODS TRADING,UNKNOWN,689,
MADEBYRUZ CONSUMER GOODS TRADING (CONSIGNMENT),MADEBYRUZ CONSUMER GOODS TRADING,CONSIGNMENT,1626,
MITSUI,MITSUI,UNKNOWN,678,
NAPOLIZ,NAPOLIZ ENTERPRISES,UNKNOWN,243,
NAPOLIZ ENTERPRISES,NAPOLIZ ENTERPRISES,UNKNOWN,2856,
NAPOLIZ ENTERPRISES (CONSIGNMENT),NAPOLIZ ENTERPRISES,CONSIGNMENT,669,
NEW TRENDS,NEW TRENDS,UNKNOWN,328,
NEW TRENDS (PAID),NEW TRENDS,PAID,160,
SHIRT HAPPENS,SHIRT HAPPENS,UNKNOWN,197,
SHIRT HAPPENS (CONSIGNMENT),SHIRT HAPPENS,CONSIGNMENT,339,
STITCH CORP. (BLEEVES),STITCH CORP.,UNKNOWN,442,"BLEEVES is a product line under Stitch Corp., not a separate supplier - collapsed per plan 2.7; confirm on the store visit"
STITCH CORP. (BLEEVES CONSIGNMENT),STITCH CORP.,CONSIGNMENT,1243,BLEEVES line
STITCH CORP. (BLEEVES PAID),STITCH CORP.,PAID,434,BLEEVES line
STITCH CORP. (BLEEVES) (Consignment),STITCH CORP.,CONSIGNMENT,664,BLEEVES line
STITCH CORP. (CONSIGNMENT),STITCH CORP.,CONSIGNMENT,196,
STITCH CORP. (PAID),STITCH CORP.,PAID,736,
Subli. Shirt 2 colors,,UNKNOWN,48,"data-entry artefact - an ITEM name typed into the Supplier column; step2_load_fact_sales.py already quarantines the mirror-image case"
TET AND DARS,TET AND DARS,UNKNOWN,3844,
TET AND DARS (PAID),TET AND DARS,PAID,1525,
THREADMARKED,THREADMARKED,UNKNOWN,120,
THREADMARKED (CONSIGNMENT),THREADMARKED,CONSIGNMENT,1227,
THREADMARKED (PAID),THREADMARKED,PAID,965,
TIGER FLASK,TIGER FLASK,UNKNOWN,2206,
TOP GUN PHILS.,TOP GUN PHILS.,UNKNOWN,56,
TOP GUN PHILS. (PAID),TOP GUN PHILS.,PAID,226,
USTORE,USTORE,UNKNOWN,14329,"the store's own stock rather than a trade supplier"
USTORE (PAID),USTORE,PAID,9510,
VARSITY LIFE STYLE,VARSITY LIFESTYLE,UNKNOWN,253,
VARSITY LIFESTYLE,VARSITY LIFESTYLE,UNKNOWN,4297,
VARSITY LIFESTYLE (CONSIGNMENT),VARSITY LIFESTYLE,CONSIGNMENT,2412,
