raw_supplier,supplier_name,payment_status,note
(Paid),STITCH CORP.,PAID,"recovered artifact: STITCH CORP. BLEEVES items, Jul 2025"
ARTS AND LETTERS (SHIRT HAPPENS),SHIRT HAPPENS,UNSPECIFIED,manufacturer SHIRT HAPPENS; merch for the Arts & Letters college
"ASSOCIATION FOR THE EDUCATIONAL ASSISTANCE OF POOR SEMINARIANS, INC.",CENTRAL SEMINARY,UNSPECIFIED,ASSUMED same entity as CENTRAL SEMINARY (per project context) — verify with staff
BLAZE,BLAZE,UNSPECIFIED,
BLAZE (CONSIGNMENT),BLAZE,CONSIGNMENT,
CENTRAL SEMINARY,CENTRAL SEMINARY,UNSPECIFIED,
COLLEGE OF SCIENCE AT 100,COLLEGE OF SCIENCE AT 100,UNSPECIFIED,
IPEA,IPEA,UNSPECIFIED,
JUC,JUC,UNSPECIFIED,
JUC (CONSIGNMENT),JUC,CONSIGNMENT,
JYL,JYL ATHLETICA,UNSPECIFIED,abbreviation of JYL ATHLETICA
JYL ATHLETICA,JYL ATHLETICA,UNSPECIFIED,
JYL ATHLETICA (CONSIGNMENT),JYL ATHLETICA,CONSIGNMENT,
MADEBYRUZ CONSUMER GOODS TRADING,MADEBYRUZ CONSUMER GOODS TRADING,UNSPECIFIED,
MADEBYRUZ CONSUMER GOODS TRADING (CONSIGNMENT),MADEBYRUZ CONSUMER GOODS TRADING,CONSIGNMENT,
NAPOLIZ,NAPOLIZ ENTERPRISES,UNSPECIFIED,short form of NAPOLIZ ENTERPRISES
NAPOLIZ ENTERPRISES,NAPOLIZ ENTERPRISES,UNSPECIFIED,
NAPOLIZ ENTERPRISES (CONSIGNMENT),NAPOLIZ ENTERPRISES,CONSIGNMENT,
NEW TRENDS,NEW TRENDS,UNSPECIFIED,
NEW TRENDS (PAID),NEW TRENDS,PAID,
SHIRT HAPPENS,SHIRT HAPPENS,UNSPECIFIED,
SHIRT HAPPENS (CONSIGNMENT),SHIRT HAPPENS,CONSIGNMENT,
STITCH CORP. (BLEEVES CONSIGNMENT),STITCH CORP.,CONSIGNMENT,BLEEVES product line
STITCH CORP. (BLEEVES PAID),STITCH CORP.,PAID,BLEEVES product line
STITCH CORP. (BLEEVES),STITCH CORP.,UNSPECIFIED,BLEEVES = product line; no payment marker
STITCH CORP. (CONSIGNMENT),STITCH CORP.,CONSIGNMENT,
STITCH CORP. (PAID),STITCH CORP.,PAID,
TET AND DARS,TET AND DARS,UNSPECIFIED,
TET AND DARS (PAID),TET AND DARS,PAID,
THREADMARKED,THREADMARKED,UNSPECIFIED,
THREADMARKED (CONSIGNMENT),THREADMARKED,CONSIGNMENT,
THREADMARKED (PAID),THREADMARKED,PAID,
TIGER FLASK,TIGER FLASK,UNSPECIFIED,
TOP GUN PHILS.,TOP GUN PHILS.,UNSPECIFIED,
TOP GUN PHILS. (PAID),TOP GUN PHILS.,PAID,
USTORE,USTORE,UNSPECIFIED,
USTORE (PAID),USTORE,PAID,
VARSITY LIFE STYLE,VARSITY LIFESTYLE,UNSPECIFIED,spacing variant
VARSITY LIFESTYLE,VARSITY LIFESTYLE,UNSPECIFIED,
VARSITY LIFESTYLE (CONSIGNMENT),VARSITY LIFESTYLE,CONSIGNMENT,
