raw_name,canonical_item_name,merged,row_count,source,revisit_with_store
(white/black/yellow line design),(white/black/yellow line design),no,35,inventory,
0.50L B1T1 Tumbler (MCX-A501) Push Button Lid,0.50L B1T1 Tumbler (MCX-A501) Push Button Lid,no,8,sales+inventory,
0.50L B1T1 Tumbler (MCY-A050) screw lid,0.50L B1T1 Tumbler (MCY-A050) screw lid,no,21,inventory,
0.8L B1T1 Tumbler 2 way lid,0.8L B1T1 Tumbler 2 way lid,no,7,inventory,
1.2L Tumbler (MTA-T120) for Carbonated Drinks,1.2L Tumbler (MTA-T120) for Carbonated drinks,yes,3,sales,
1.2L Tumbler (MTA-T120) for Carbonated drinks,1.2L Tumbler (MTA-T120) for Carbonated drinks,no,35,inventory,
1.5 Tumbler (MTA-T150) for Carbonated Drinks,1.5 Tumbler (MTA-T150) for Carbonated Drinks,no,1,sales,
1.5L Tumbler (MTA-T150) for Carbonated drinks,1.5L Tumbler (MTA-T150) for Carbonated drinks,no,35,inventory,"DEFERRED pass2: possible match to '1.5 Tumbler (MTA-T150) for Carbonated Drinks' - Differs by: 5, 5l"
1.75 Glitter Button Pin (typographic),1.75 Glitter Button Pin (typographic),no,10,inventory,
1.75 Glossy Button Pin (typographic),1.75 Glossy Button Pin (typographic),no,10,inventory,
1.75 Matte Button Pin (typographic),1.75 Matte Button Pin (typographic),no,10,inventory,Reversed a bad auto-merge - kept separate. Confirm with store.
2 Color Polo Shirt (tiger pattern color),2 Color Polo Shirt (tiger pattern color),no,179,inventory,
2  Color Polo Shirt (white w/black collar),2 Color Polo Shirt (white w/black collar),yes,175,inventory,
2 Color Polo Shirt (white w/black collar),2 Color Polo Shirt (white w/black collar),no,2,inventory,
2 Color Polo Shirt (white w/black scratch),2 Color Polo Shirt (white w/black scratch),no,5,inventory,
2 Color Polo Shirt (white w/black sleeves),2 Color Polo Shirt (white w/black sleeves),no,178,inventory,
2 Color Polo Shirt (white w/black top w/yellow line),2 Color Polo Shirt (white w/black top w/yellow line),no,178,inventory,
2 Color Polo Shirt (white w/yellow collar),2 Color Polo Shirt (white w/yellow collar),no,175,inventory,
2 Color Polo Shirt (white w/yellow sleeves),2 Color Polo Shirt (white w/yellow sleeves),no,178,inventory,
2 Color Polo Shirt (yellow w/black collar),2 Color Polo Shirt (yellow w/black collar),no,178,inventory,
2 Color Polo Shirt (yelow w/black scratch),2 Color Polo Shirt (yelow w/black scratch),no,5,inventory,
2.25 Glitter Button Pin (main building),2.25 Glitter Button Pin (main building),no,10,inventory,
2.25 Glossy Button Pin (main building),2.25 Glossy Button Pin (main building),no,10,inventory,
2.25 Matte Button Pin (main building),2.25 Matte Button Pin (main building),no,10,inventory,Reversed a bad auto-merge - kept separate. Confirm with store.
280ml Desk Mug,280ml Desk Mug,no,30,sales+inventory,
280ml Desk Mug / MCIA028,280ml Desk Mug / MCIA028,no,3,sales,
3 Color Polo Shirt,3 Color Polo Shirt,no,180,inventory,PRICE-GROUPED: sales logs generic 'Polo Shirt' - handle in proportional allocation
480ML Tumbler (MKA-KO48) Push Button Lid Anti-Bacterial,480ml Tumbler (MKA-KO48)Push Botton Lid Anti Bacterial,yes,2,sales,
480ml Tumbler (MKA-KO48)Push Botton Lid Anti Bacterial,480ml Tumbler (MKA-KO48)Push Botton Lid Anti Bacterial,no,40,inventory,
500ml Tumbler (MTA-T050) for Carbonated drinks,500ml Tumbler (MTA-T050) for Carbonated drinks,no,21,inventory,
500ML Tumbler (MTA-T050) For Carbonated Drinks,500ml Tumbler (MTA-T050) for Carbonated drinks,yes,1,sales,
5M Magnetic Pin,5M Magnetic Pin,no,124,sales,
5M Rotating Keychain,5M Rotating Keychain,no,181,sales,
